Language	Value	Reference
Anejom	 Noun-Adjective	Lynch 2000: 54
Anêm	 Noun-Adjective	Thurston 1982: 25
Angami	 Noun-Adjective	Subbarao and Murthy 2000: passim
Angas	 Noun-Adjective	Burquest 1973: 50-51
Anggor	 Noun-Adjective	Litteral 1980: 91
Anguthimri	 Noun-Adjective	Crowley 1981: 162
//Ani	 Adjective-Noun	Heine 1999a: 34
Anong	 Noun-Adjective	Sun 1988: 60
Anufo	 Noun-Adjective	Smye 2004: 29
Anyi	 Noun-Adjective	Retord 1981: 149
Anywa	 Noun-Adjective	Lusted 1976: 504
Ao	 Noun-Adjective	Clark 1893: 13; Mills 1926: 340; Gowda 1975: 63
Apalaí	 Noun-Adjective	Koehn and Koehn 1986: 87
Apatani	 Noun-Adjective	Abraham 1985: 124
Apinayé	 Noun-Adjective	Callow 1962: 129
Apurinã	 Noun-Adjective	Polak 1894: 4
Arabana	 Noun-Adjective	Hercus 1994: 283
Arabic (Egyptian)	 Noun-Adjective	Gary and Gamal-Eldin 1982: 31, 33, 107
Arabic (Gulf)	 Noun-Adjective	Holes 1990: 62, 231 
Arabic (Iraqi)	 Noun-Adjective	Erwin 1963: 319, 352, 362, 366 
Arabic (Kuwaiti)	 Noun-Adjective	
Arabic (Modern Standard)	 Noun-Adjective	Cowan 1958: 10 
Arabic (Moroccan)	 Noun-Adjective	Harrell 1962: 157, 204 
Arabic (Syrian)	 Noun-Adjective	Cowell 1964: 493, 501 
Araona	 Noun-Adjective	Pitman 1980: 77-78
Arapesh (Abu)	 Noun-Adjective	Nekitel 1985: 95
Arapesh (Mountain)	 Adjective-Noun	Conrad and Wogiga 1991: 38, 57-59
Arbore	 Noun-Adjective	Hayward 1984: 184, passim
Archi	 Adjective-Noun	Kibrik et al. 1977: (III) 195
Armenian (Eastern)	 Adjective-Noun	Stevick 1955: 55-56
Armenian (Western)	 Adjective-Noun	Gulian 1965: 42
Arop-Lokep	 Noun-Adjective	D'Jernes 2002: 254
Arosi	 Noun-Adjective	Lynch and Horoi 2002: 566
Arrernte (Mparntwe)	 Noun-Adjective	Wilkins 1989: 102
Arrernte (Western)	 Noun-Adjective	Strehlow 1944: 84
Asmat	 Noun-Adjective	Voorhoeve 1965: 140
Assamese	 Adjective-Noun	Goswami and Tamuli 2003: 433
Atacameño	 Noun-Adjective	Adelaar 2004: 380 
Atayal	 No dominant order	Rau 1992: 114
Athpare	 Adjective-Noun	Ebert 1997b: 108
Au	 Noun-Adjective	Scorza 1985: 240
Avar	 Adjective-Noun	Bokarev 1949b: 149
Awa	 Adjective-Noun	Loving 1973: 79
Awa Pit	 Adjective-Noun	Curnow 1997: 88, 90, 117, 120
Awtuw	 Noun-Adjective	Feldman 1986: 116, passim 129
Awyi	 Noun-Adjective	Voorhoeve 1971: 65
Ayiwo	 Noun-Adjective	Wurm et al. 1985: passim
Aymara (Central)	 Adjective-Noun	Ebbing 1965: 10, 32; Wexler 1967: passim
Ayomán	 Noun-Adjective	Adelaar 2004: 129 
Azerbaijani	 Adjective-Noun	Householder and Lofti 1965: 24
Babole	 Noun-Adjective	Leitch 1994: 192
Babungo	 Noun-Adjective	Schaub 1985: 77
Bachamal	 No dominant order	Ford 1990: 88
Badimaya	 Noun-Adjective	Dunn 1988: 57
Bafia	 Noun-Adjective	Guarisma 1973: 194
Bafut	 Noun-Adjective	Chumbow and Tamanji 1994: 212
Bagirmi	 Noun-Adjective	Stevenson 1969: 153
Baham	 Noun-Adjective	Flassy et al. 1984: 76
Bai	 Adjective-Noun	Wiersma 2003: 669; Xu and Zhao 1984: passim
Bajau (Sama)	 Noun-Adjective	Verheijen 1986: passim
Bajau (West Coast)	 Noun-Adjective	Miller 2007: 312-313, 316 
Baka (in Cameroon)	 Adjective-Noun	Kilian-Hatz 1995: 22; Kilian-Hatz 1989: xii
Baka (in South Sudan)	 Adjective-Noun	Santandrea 1976: 201, passim
Bakueri	 Noun-Adjective	Kagaya 1992: 12, 25-26
Balanta	 Noun-Adjective	Fudemann 1999: 202-203
Bali-Vitu	 Noun-Adjective	Ross 2002c: 369
Balti	 Adjective-Noun	Read 1934: 20
Bambara	 Noun-Adjective	Bird et al. 1977: 270, 136
Bandjalang	 Adjective-Noun	Crowley 1978: 31
Bangime	 Noun-Adjective	Blench 2005: 11
Bankon	 Noun-Adjective	Spellenberg 1969: 35, 83
Banoni	 Noun-Adjective	Lincoln 1976: 108-109, passim
Baoulé	 Noun-Adjective	Carteron 1972: 34, 76
Baragaunle	 Noun-Adjective	Kretschmar 1995: 202
Barai	 Noun-Adjective	Olson 1975: 490
Barambu	 Adjective-Noun	Santandrea 1965b: 148; Tucker and Bryan 1966: 159
Barasano	 No dominant order	Jones and Jones 1991: 29; Garcia and Sanchez 1975: 97; Smith 1973: 25, 54
Baré	 Noun-Adjective	Aikhenvald 1996: 25, 40
Bari	 Noun-Adjective	Spagnolo 1933: 58
Barupu	 Noun-Adjective	Corris 2005: 133, 142
Baruya	 Noun-Adjective	Lloyd 1969: 51ff; Lloyd 1989: 4
Basaá	 Noun-Adjective	Hyman 2003: 271
Basari	 Noun-Adjective	Ferry 1981: 58
Bashkir	 Adjective-Noun	Poppe 1964: 80, 83
Basque	 Noun-Adjective	Hualde and Ortiz de Urbina 2003: 138
Batak (Karo)	 Noun-Adjective	Woollams 1996: 106, 138
Batak (Toba)	 Noun-Adjective	Percival 1981: 91, passim; Nababan 1981: 75, 108; van der Tuuk 1864: 88 
Baure	 Noun-Adjective	Baptista and Wallin 1967: 42-44
Bawm	 Noun-Adjective	Reichle 1981: 41, 82
Beja	 No dominant order	Reinisch 1893: 81
Belhare	 Adjective-Noun	Bickel 2003: 562
Bella Coola	 Adjective-Noun	Nater 1984: 47; Davis and Saunders 1997: 108-109
Belorussian	 Adjective-Noun	Mayo 1993: 926
Bemba	 Noun-Adjective	van Sambeek 1955: 19
Bena-Lulua	 Noun-Adjective	DeClercq 1897: 15
Bera	 Noun-Adjective	Meinhof 1938/39: 285
Berber (Chaouia)	 Noun-Adjective	Penchoen 1973a: 17-18
Berber (Figuig)	 Noun-Adjective	Kossmann 1997: 245
Berber (Middle Atlas)	 Noun-Adjective	Penchoen 1973b: 21, 63, 70
Berber (Rif)	 Noun-Adjective	Kossmann 2000: 155 
Berber (Siwa)	 Noun-Adjective	Laoust 1931: 102
Beria	 Noun-Adjective	Crass and Jakobi 2004: 133, 134
Berta	 Noun-Adjective	Tucker and Bryan 1966: 351
Bhojpuri	 Adjective-Noun	Shukla 1981: 84-85
Bhumij	 Adjective-Noun	Ramaswami 1992: 134
Biak	 Noun-Adjective	van den Heuvel 2006: 201
Bidiya	 Noun-Adjective	Alio 1986: 214, 217
Bikol	 No dominant order	Mintz 1971a: 76
Bilin	 Noun-Adjective	Reinisch 1882: 103-104
Biloxi	 Noun-Adjective	Einaudi 1976: 137-138
Bilua	 Adjective-Noun	Obata 2003
Binandere	 Noun-Adjective	Wilson 1996: 13, 82
Bini	 Noun-Adjective	Dunn 1968: 209-210
Bininj Gun-Wok	 No dominant order	Evans 2004
Biri	 Adjective-Noun	Terrill 1998: 47
Birom	 Noun-Adjective	Bouquiaux 1970: 159-160, 275
Bisu	 Noun-Adjective	Nishida 1973: 76
Blackfoot	 Adjective-Noun	Uhlenbeck 1938: 59
Bobo Madaré (Northern)	 Noun-Adjective	Prost 1983: 19-20
Bodo	 Adjective-Noun	Subbarao and Murthy 2000: passim
Boko	 Noun-Adjective	
Bongo	 No dominant order	Santandrea 1963: 49
Bongu	 Noun-Adjective	Hanke 1909: 83
Bontok	 No dominant order	Seidenadel 1909: 40
Bori	 No dominant order	Megu 1988: 47
Brahui	 Adjective-Noun	Bray 1909: 65, passim
Brao	 Noun-Adjective	Keller 1976: 29, 30
Breton	 Noun-Adjective	Press 1986: 187; Ternes 1970: 220, 226
Bribri	 Noun-Adjective	Margery Peña 1982: xxi, passim
Brokskat	 Adjective-Noun	Ramaswami 1982: 86-87
Bubi	 Noun-Adjective	Abad 1928: 24-25, 32
Budu	 Noun-Adjective	Asangama 1983: 246-247, 249
Buduma	 Noun-Adjective	Lukas and Nachtigal 1939: 31
Bugun	 No dominant order	Dondrup 1990: 13
Buin	 Noun-Adjective	Grisward and Kieta 1910: 87
Bujeba	 Noun-Adjective	Gonzalez Echegaray 1960: 79
Bulgarian	 Adjective-Noun	Scatton 1984: 40
Buma	 Noun-Adjective	Tryon 2002: 576
Bunan	 Noun-Adjective	Sharma 1989b: 224, passim
Bunuba	 Adjective-Noun	Rumsey 2000: 112-113
Bunu (Younuo)	 Noun-Adjective	Mao and Tsu-yao 1972: 252
Burarra	 No dominant order	Glasgow 1984: passim; Glasgow 1994: passim
Buriat	 Adjective-Noun	Poppe 1960: 76, passim
Burmese	 Noun-Adjective	Wheatley 1982: 53; Okell 1969: 43, 79, 81
Buru	 Noun-Adjective	Grimes 1991: 177-179
Burunge	 Noun-Adjective	Kiessling 1994: 183, 197-198
Burushaski	 Adjective-Noun	Tiffou and Pesot 1989: 70; Lorimer 1935: 119, 403
Busa	 Noun-Adjective	Wedekind 1972: 23-24
Bushoong	 Noun-Adjective	Edmiston 1932: 32
Byansi	 Adjective-Noun	Trivedi 1991: 24, 51, 58, 148-149
Cahuilla	 Adjective-Noun	Seiler 1977: 228
Cakchiquel	 Adjective-Noun	García Matzar and Rodríguez Guaján 1997: 253
Campa (Axininca)	 Noun-Adjective	Payne 1981: 9, passim
Camsá	 No dominant order	Fabre 2002: 177
Canamarí	 Noun-Adjective	
Canela	 Noun-Adjective	Popjes and Popjes 1986: 170-172
Cantonese	 Adjective-Noun	Matthews and Yip 1994: 88 
Carapana	 Noun-Adjective	Metzger 1981: 150
Carib	 Adjective-Noun	Hoff 1968: passim
Carib (De'kwana)	 Noun-Adjective	Hall 1988: 52
Cashibo	 Noun-Adjective	Abreu 1914: 18
Catalan	 Noun-Adjective	Hualde 1992: 116
Catawba	 Noun-Adjective	Voorhis 2003: 260
Cavineña	 Noun-Adjective	Guillaume 2004: 69 
Cayapa	 Adjective-Noun	Abrahamson 1962: 229
Cayuvava	 Adjective-Noun	Key 1967: 44-45, 49-50, 62
Cèmuhî	 Noun-Adjective	Lynch 2002c: 757
Chácobo	 Noun-Adjective	Prost 1967: 320-321
Chaga	 Noun-Adjective	Raum 1909: 229
Chaha	 Adjective-Noun	Leslau 1950: 31
Chai	 Noun-Adjective	Last and Lucassen 1998: 400
Chaldean (Modern)	 Noun-Adjective	Sara 1974: 101
Chambri	 Noun-Adjective	Laycock and Z'graggen 1975: 757
Cham (Eastern)	 Noun-Adjective	Aymonier 1889: 48
Chamorro	 Adjective-Noun	Topping 1973: 208-209 
Cham (Western)	 Noun-Adjective	Baumgartner 1998: 11
Chang	 No dominant order	Hutton 1987: 11-12, 47
Chantyal	 Adjective-Noun	Noonan 2003b: 329
Chatino (Sierra Occidental)	 Noun-Adjective	Pride 1965: 29, 31
Chatino (Yaitepec)	 Noun-Adjective	Rasch 2002: 82
Chaudangsi	 Adjective-Noun	Sharma 1989a: 149
Chechen	 Adjective-Noun	Desheriev 1967: 196; Nichols 1994a: 54, 58
Chemehuevi	 No dominant order	Press 1979: 56
Chepang	 Adjective-Noun	Caughley 1982: 40-41
Cherokee	 Adjective-Noun	Holmes and Smith 1976: 219 ; Foley 1980: 45; Scancarelli 1987: 183; Scancarelli 1986: 234
Chichewa	 Noun-Adjective	Mchombo 2004: 24 
Chimariko	 Noun-Adjective	Dixon 1910: 334
Chinantec (Comaltepec)	 Noun-Adjective	Anderson 1989: 61
Chinantec (Lealao)	 Noun-Adjective	Rupp 1989: 85, passim 5
Chinantec (Palantla)	 Noun-Adjective	Merrifield 1968: 55-56
Chinantec (Quiotepec)	 Noun-Adjective	Robbins 1968: 51, passim
Chin (Mara)	 Noun-Adjective	Lorrain 1951: 20
Chinook (Lower)	 Adjective-Noun	Boas 1911b: passim
Chin (Siyin)	 No dominant order	Naylor 1925: 6
Chin (Tiddim)	 Noun-Adjective	Henderson 1965: 64-65, 87, passim
Chipaya	 Adjective-Noun	Cerron Palomino 2006: 103
Chitimacha	 Noun-Adjective	Swanton 1919: 20; Swadesh 1946b: 333
Choctaw	 Only internally-headed relative clauses	Davies 1981c: 17; Nicklas 1979: 27
Cholón	 Adjective-Noun	Alexander Bakkerus 2005: 187
Chontal (Huamelultec Oaxaca)	 Adjective-Noun	Waterhouse 1962: 69
Chontal Maya	 Adjective-Noun	Knowles 1984: 238, 302
Chrau	 Noun-Adjective	Thomas 1971: 139
Chukchi	 Adjective-Noun	Dunn 1999: passim 161ff
Chuvash	 Adjective-Noun	Krueger 1961: 182, passim
Cocama	 Noun-Adjective	Faust 1972: 36
Comanche	 Adjective-Noun	Canonge 1958: passim; Wistrand-Robinson and Armagost 1990: 296-297; Charney 1993: 153, passim
Coos (Hanis)	 Adjective-Noun	Frachtenberg 1922a: 414
Coptic	 Noun-Adjective	Plumley 1948: 45-46; Lambdin 1983: 57 
Cora	 Noun-Adjective	Casad 1984: 277-278, 411
Cornish	 Noun-Adjective	Jenner 1904: 92
Crow	 Noun-Adjective	Lowie 1941: 8
Cubeo	 Adjective-Noun	Morse and Maxwell 1999a: 91
Cuiba	 Noun-Adjective	Berg and Kerr 1973: passim
Cuica	 No dominant order	Adelaar 2004: 128 
Cupeño	 Noun-Adjective	Hill 2005: 356
Czech	 Adjective-Noun	Harkins 1953: 34
Dadjriwalé	 Noun-Adjective	Gode 2008: 142
Daga	 Noun-Adjective	Murane 1974: 89
Dagaare	 Noun-Adjective	Bodomo 1997: 50
Dagbani	 Noun-Adjective	Olawsky 1999: 38
Dagur	 Adjective-Noun	Martin 1961: 3
Dan	 Noun-Adjective	Doneux 1968: 38
Danish	 Adjective-Noun	Allan et al. 1995: 84 ; Bredsdorff 1958: 171; Koefoed 1958: 196
Dargwa	 Adjective-Noun	Isaev 2004: 327
Darma	 Adjective-Noun	Sharma 1989a: 60, 96
Dâw	 Noun-Adjective	Martins 1994: 45, 192
Day	 Noun-Adjective	Nougayrol 1979: 136
Degema	 No dominant order	Kari 1997: 50
Desano	 Adjective-Noun	Miller 1999: 3, 51
Deuri	 Adjective-Noun	Brown 1895: 12
Dhaasanac	 Noun-Adjective	Tosco 2001: 252, 256
Dhimal	 Adjective-Noun	Cooper 1999: 30
Dhivehi	 Adjective-Noun	Cain and Gair 2000: 33
Didinga	 Noun-Adjective	Tucker and Bryan 1966: 390
Diegueño (Mesa Grande)	 Only internally-headed relative clauses	Langdon 1970: 169, 171
Digaro	 Noun-Adjective	Sastry 1984: 102, 169
Dimasa	 Noun-Adjective	Dundas 1908: 5
Dime	 Noun-Adjective	Fleming 1990: 528-534
Dinka	 Noun-Adjective	Tucker and Bryan 1966: 440; Nebel 1948: 7, 31
Diola-Fogny	 Noun-Adjective	Sapir 1965: 87 
Diyari	 Noun-Adjective	Austin 1981: 34
Djambarrpuyngu	 No dominant order	Buchanan 1978: passim
Djaru	 No dominant order	Tsunoda 1981: 95
Djinang	 Noun-Adjective	Waters 1989: 197
Djingili	 Noun-Adjective	Chadwick 1975: 83
Dla (Menggwa)	 No dominant order	de Sousa 2006: passim
Dla (Proper)	 No dominant order	Voorhoeve 1971: 76
Domaaki	 Adjective-Noun	Lorimer 1939: 73
Domari	 Adjective-Noun	Macalister 1914: 17
Dongo	 Noun-Adjective	Tucker and Bryan 1966: 137
Dong (Southern)	 Noun-Adjective	Long and Zheng 1998: 154
Donno So	 Noun-Adjective	Kervran and Prost 1969: 26-28
Doyayo	 Noun-Adjective	Wiering and Wiering 1994: 161, 163, 164-166
Drehu	 Noun-Adjective	Tryon 1967a: 60, 63-64
Duala	 Noun-Adjective	Ittmann 1978: 240
Duka	 Noun-Adjective	Bendor-Samuel et al. 1973: 144
Dulong	 No dominant order	Sun 1982: 131
Duma	 Noun-Adjective	Adam 1954: 117
Dumi	 Adjective-Noun	van Driem 1993: 89
Dumo	 Noun-Adjective	Ross 1980: 84
Duna	 Noun-Adjective	
Dutch	 Adjective-Noun	Shetter 1958: 39-40
Dyirbal	 Noun-Adjective	Dixon 1972: 291 
Edolo	 Noun-Adjective	Gossner 1994: 91
Efate (South)	 Noun-Adjective	
Ega	 Noun-Adjective	Richard 1983: passim
Eipo	 Adjective-Noun	Heeschen 1998: 210, 265
Elseng	 Noun-Adjective	Burung 2000: 9
Emberá (Northern)	 Noun-Adjective	Loewen 1958: 114
Émérillon	 Noun-Adjective	Rose 2003b: 56
Emmi	 Noun-Adjective	Ford 1998: 138
Enets	 Adjective-Noun	Künnap 1999a: 18
Engenni	 Noun-Adjective	Thomas 1978: 114
Enggano	 Noun-Adjective	Kähler 1940: 93
English	 Adjective-Noun	
Epena Pedee	 Noun-Adjective	Harms 1994: 9, 13, 23, 43, 52
Erromangan	 Noun-Adjective	Crowley 1998a: 164 
Ese Ejja	 Noun-Adjective	Shoemaker and Shoemaker 1967: 252-253
Esmeraldeño	 No dominant order	Adelaar 2004: 155 
Esselen	 Adjective-Noun	Kroeber 1904: 60
Estonian	 Adjective-Noun	de Sivers 1969: 18, 43
Even	 Adjective-Noun	Benzing 1955: 116
Evenki	 Adjective-Noun	Nedjalkov 1997: 77, 81 ; Konstantinova 1968: 84
Ewe	 Noun-Adjective	Ameka 1991: 45; Warburton et al. 1968: viii 147; Westermann 1930: 95
Ewondo	 Noun-Adjective	Redden 1979: 41, 44
Fasu	 Noun-Adjective	Loeweke and May 1980: 32, 39
Fijian	 Noun-Adjective	Dixon 1988: 36, 112 
Finnish	 Adjective-Noun	Whitney 1973: 22; Sulkala and Karjalainen 1992: 87
Foe	 Noun-Adjective	Rule 1977: 46
Folopa	 No dominant order	
Fongbe	 Noun-Adjective	Lefebvre and Brousseau 2002: 50
Fore	 Adjective-Noun	Scott 1978: 89
French	 Noun-Adjective	Harris 1988: 227
Frisian	 Adjective-Noun	Tiersma 1985: 47, 50
Fulfulde (Adamawa)	 Noun-Adjective	Arnott 1970: 21
Fulniô	 Noun-Adjective	Lapenda 1968: 154
Fur	 Noun-Adjective	Beaton 1968: 52; Tucker and Bryan 1966: 228
Futuna-Aniwa	 Noun-Adjective	Dougherty 1983: 91, 92; Capell 1958: passim
Fyem	 Noun-Adjective	Nettle 1998: 22
Gã	 Noun-Adjective	Ablorh-Odjidja 1968: 108
Gaagudju	 Noun-Adjective	Harvey 2002: 316, 319
Ga'anda	 Noun-Adjective	Newman 1971: 240-244
Gadsup	 Adjective-Noun	McKaughan 1973a: passim
Gaelic (Scots)	 Noun-Adjective	Calder 1923: 4, 108, 110
Gahuku	 No dominant order	Deibler 1976: 9
Galo	 Adjective-Noun	Das Gupta 1963: 16
Gamo	 Adjective-Noun	Taylor 1994: 57
Garífuna	 Noun-Adjective	Taylor 1958: 37; Taylor 1956b: 146
Garo	 Noun-Adjective	Burling 1961: 68
Garrwa	 Noun-Adjective	Furby and Furby 1977: passim
Gavião	 Noun-Adjective	Moore 1984: 34-35, 143
Gbaya (Southwest)	 Adjective-Noun	Tucker and Bryan 1966: 105
Gbeya Bossangoa	 Adjective-Noun	Samarin 1966: 80-82
Gela	 Noun-Adjective	Crowley 2002a: 529
Gelao	 Noun-Adjective	Edmondson 2008: 667
Georgian	 Adjective-Noun	Vogt 1971: 220
German	 Adjective-Noun	Lederer 1969: 604
Gidabal	 Adjective-Noun	Geytenbeek and Geytenbeek 1971: passim
Gilaki	 Adjective-Noun	Christensen 1930: 81
Gimira	 No dominant order	Breeze 1990: passim 39, passim
Gitksan	 Adjective-Noun	Rigsby 1986: 58-59, 6
Goajiro	 Noun-Adjective	Ehrman 1972a: 46, 38; Holmer 1949a: 116
Godoberi	 Adjective-Noun	Kibrik 1996: 149
Goemai	 Noun-Adjective	Hellwig 2003: 29, 31
Gokana	 Adjective-Noun	
Golin	 Noun-Adjective	Bunn 1974: 79, 82
Gondi	 Adjective-Noun	Subrahmanyam 1968: 86, 89; Lincoln 1969: 145-156
Gooniyandi	 Noun-Adjective	McGregor 1990: 253, 261-267 
Great Andamanese	 Noun-Adjective	Radcliffe-Brown 1948: 504
Grebo	 Noun-Adjective	Innes 1966: 89
Greek (Modern)	 Adjective-Noun	Mackridge 1985: 193
Greenlandic (West)	 Noun-Adjective	Fortescue 1984: 102, 108; Woodbury 1977: 308
Guajajara	 Noun-Adjective	Bendor-Samuel 1972: 109-110
Guaraní	 Noun-Adjective	Gregores and Suarez 1967: 147-148
Guarijío	 No dominant order	Miller 1996a: 240-241
Guató	 Noun-Adjective	Rodrigues 1999b: 193
Gude	 Adjective-Noun	Hoskison 1983: 53
Gugada	 Noun-Adjective	Platt 1972: 56ff
Guhu-Samane	 Noun-Adjective	Richert 1975: 778, 782
Gujarati	 Adjective-Noun	Cardona 1965: 70, 73, 87-88
Gula (in Central African Republic)	 Noun-Adjective	Nougayrol 1999: 87-88
Gumawana	 Noun-Adjective	Olson 1988: 7-8
Gumbaynggir	 No dominant order	Eades 1979: passim
Gumuz	 No dominant order	Bender 1979: 51
Gunbalang	 Adjective-Noun	Harris 1969b: 19
Gungbe	 Noun-Adjective	Hazoume 1979: 144
Gunin	 Noun-Adjective	McGregor 1993: 50
Gününa Küne	 Noun-Adjective	Casamiquela 1983: 43; Adelaar 2004: 562 
Gureng Gureng	 Noun-Adjective	Brasch 1975: 2C
Gurr-goni	 No dominant order	Green 1995: 79
Gurung	 Adjective-Noun	Glover 1974: 96, passim
Gutob	 Adjective-Noun	Subba Rao and Patnaik 1992: 33
Guugu Yimidhirr	 Noun-Adjective	Haviland 1979: 103
Gwari	 Noun-Adjective	Hyman and Magaji 1970: 34, 46
Gyarong (Cogtse)	 Noun-Adjective	Lin 1993: 353, passim
Haida	 Noun-Adjective	Enrico 2003: 564, 572, 575
Halia	 Noun-Adjective	Allen and Allen 1965: passim
Halkomelem (Upriver)	 Adjective-Noun	Galloway 1993: 415
Hamtai	 Noun-Adjective	Oates and Oates 1968: 13
Hanga Hundi	 Adjective-Noun	Wendel 1993: 119
Hani	 No dominant order	Li 1990: 150, 155, 150-151, 154-156; Lewis and Bibo 1996: 15
Haruai	 Noun-Adjective	
Hatam	 Noun-Adjective	Reesink 1999: 79, 82
Hausa	 Adjective-Noun	Newman 2000: 30
Hawaiian	 Noun-Adjective	Elbert and Pukui 1979: 49 
Hawrami	 Noun-Adjective	MacKenzie 1966: 21-22
Haya	 Noun-Adjective	Byarushengo 1977: 12
Hayu	 Adjective-Noun	Michailovsky 1988: 164, 167
Hdi	 Noun-Adjective	Frajzyngier and Shay 2002: 53, 71
Hebrew (Modern)	 Noun-Adjective	Glinert 1989: 103 
Hehe	 Noun-Adjective	Velten 1899a: 170
Heiltsuk	 Adjective-Noun	Rath 1981: 87
Hemba	 Noun-Adjective	Vandermeiren 1912: 42
Hidatsa	 Noun-Adjective	Matthews 1965: 186-187, 107
Hiligaynon	 No dominant order	Wolfenden 1975: passim
Hindi	 Adjective-Noun	McGregor 1977: 7
Hixkaryana	 Noun-Adjective	Derbyshire 1979: 108, 133
Hlai (Baoding)	 Noun-Adjective	Ostapirat 2008: 646
Hmar	 Noun-Adjective	Dutta Baruah and Bapui 1996: 56, 118
Hmong Njua	 Noun-Adjective	Lyman 1979: passim; Harriehausen 1990: 144
Ho	 Adjective-Noun	Deeney 1975: 8, 94
Err:509	 Noun-Adjective	Anonymous 6: passim
Hoava	 Noun-Adjective	Davis 2003: 34, 74
Holoholo	 Noun-Adjective	Coupez 1955: 120
Hopi	 Adjective-Noun	Kalectaca 1978: 120-121
Hua	 Adjective-Noun	Haiman 1980: 262, 251 
Hualapai	 Noun-Adjective	Redden 1976: 105, passim
Huastec	 Adjective-Noun	Edmonson 1988: 514-515, 517-520
Huave (San Mateo del Mar)	 Adjective-Noun	Stairs and Hollenbach 1981: 313
Huitoto (Minica)	 Adjective-Noun	Minor et al. 1982: 42
Huitoto (Murui)	 Adjective-Noun	Burtch and Wise 1968: 28
Hunde	 Noun-Adjective	Kahombo 1992: 114-115
Hungarian	 Adjective-Noun	Benkö and Imre 1972: 132; Kenesei et al. 1998: 92 
Hunzib	 Adjective-Noun	van den Berg 1995: 117
Hup	 Noun-Adjective	Epps 2008: 284
Hupa	 Noun-Adjective	Goddard 1903: passim
Iaai	 Adjective-Noun	Tryon 1968: 65, 75
Iban	 Noun-Adjective	Omar 1981: 195
Icelandic	 Adjective-Noun	Einarsson 1945: passim; Jonsson 1927: 12
Idu	 Adjective-Noun	Pulu 1978: 16
Iduna	 Noun-Adjective	Huckett 1974: 73, 90
Ifira-Mele	 Noun-Adjective	Clark 2002: 685
Ifugao (Batad)	 Adjective-Noun	Newell 1993: 23
Ifumu	 Noun-Adjective	Makouta Mboukou 1977: 195
Igbo	 Noun-Adjective	Emenanjo 1978: 70-71
Igede	 Noun-Adjective	Bergman 1981: 6, 18
Ijo (Kolokuma)	 Adjective-Noun	Williamson 1965: 66 
Ik	 Noun-Adjective	Serzisko 1989: 391; Tucker 1973: 47; Tucker 1972: 192
