Language	Value	Reference
Aari	 OV and Postpositions
Camsá	 Other
Canela	 OV and Postpositions
Cantonese	 Other
Carib	 OV and Postpositions
Carib (De'kwana)	 OV and Postpositions
Cashibo	 OV and Postpositions
Catalan	 VO and Prepositions
Catawba	 OV and Postpositions
Cavineña	 Other
Cayuvava	 VO and Prepositions
Cebuano	 VO and Prepositions
Cèmuhî	 VO and Prepositions
Chácobo	 OV and Postpositions
Chaha	 Other
Chai	 Other
Chamorro	 VO and Prepositions
Chang	 OV and Postpositions
Chantyal	 OV and Postpositions
Chatino (Sierra Occidental)	 VO and Prepositions
Chatino (Yaitepec)	 VO and Prepositions
Chechen	 OV and Postpositions
Chemehuevi	 Other
Cherokee	 OV and Postpositions
Chichewa	 VO and Prepositions
Chimariko	 OV and Postpositions
Chinantec (Comaltepec)	 VO and Prepositions
Chinantec (Lealao)	 VO and Prepositions
Chinantec (Palantla)	 VO and Prepositions
Chinantec (Quiotepec)	 VO and Prepositions
Chin (Mara)	 OV and Postpositions
Chinook (Lower)	 VO and Prepositions
Chin (Siyin)	 OV and Postpositions
Chin (Tiddim)	 OV and Postpositions
Chipewyan	 OV and Postpositions
Chiquitano	 VO and Prepositions
Chitimacha	 OV and Postpositions
Choctaw	 OV and Postpositions
Cholón	 OV and Postpositions
Chontal Maya	 VO and Prepositions
Chrau	 VO and Prepositions
Chuj	 VO and Prepositions
Chukchi	 OV and Postpositions
Chumash (Barbareño)	 VO and Prepositions
Chuvash	 OV and Postpositions
Cocama	 VO and Postpositions
Coeur d'Alene	 VO and Prepositions
Comanche	 OV and Postpositions
Comox	 VO and Prepositions
Coos (Hanis)	 Other
Coptic	 VO and Prepositions
Cora	 VO and Postpositions
Cornish	 VO and Prepositions
Cree (Swampy)	 VO and Postpositions
Cubeo	 OV and Postpositions
Cuica	 VO and Prepositions
Cupeño	 OV and Postpositions
Czech	 VO and Prepositions
Dadjriwalé	 Other
Daga	 OV and Postpositions
Dagaare	 VO and Postpositions
Dagbani	 VO and Postpositions
Dagur	 OV and Postpositions
Damana	 Other
Dan	 OV and Postpositions
Dani (Lower Grand Valley)	 OV and Postpositions
Danish	 VO and Prepositions
Dargwa	 OV and Postpositions
Darma	 OV and Postpositions
Dâw	 OV and Postpositions
Desano	 OV and Postpositions
Dhargari	 Other
Dhimal	 OV and Postpositions
Didinga	 VO and Prepositions
Diegueño (Mesa Grande)	 OV and Postpositions
Digaro	 OV and Postpositions
Dimasa	 OV and Postpositions
Dime	 OV and Postpositions
Dinka	 Other
Diola-Fogny	 VO and Prepositions
Djambarrpuyngu	 Other
Djaru	 Other
Djinang	 Other
Djingili	 OV and Postpositions
Dla (Menggwa)	 OV and Postpositions
Dla (Proper)	 OV and Postpositions
Domaaki	 OV and Postpositions
Domari	 VO and Prepositions
Dongo	 Other
Dong (Southern)	 VO and Prepositions
Donno So	 OV and Postpositions
Doyayo	 Other
Drehu	 VO and Prepositions
Duka	 VO and Prepositions
Dulong	 OV and Postpositions
Dumi	 OV and Postpositions
Duna	 OV and Postpositions
Dutch	 Other
Edolo	 OV and Postpositions
Efate (South)	 VO and Prepositions
Eipo	 OV and Postpositions
Emai	 VO and Prepositions
Emberá (Northern)	 OV and Postpositions
Émérillon	 OV and Postpositions
Emmi	 Other
Enets	 OV and Postpositions
Engenni	 VO and Prepositions
Enggano	 VO and Prepositions
English	 VO and Prepositions
Epena Pedee	 OV and Postpositions
Erromangan	 VO and Prepositions
Ese Ejja	 OV and Postpositions
Esmeraldeño	 VO and Prepositions
Estonian	 VO and Postpositions
Eudeve	 OV and Postpositions
Even	 OV and Postpositions
Evenki	 OV and Postpositions
Ewe	 VO and Postpositions
Ewondo	 VO and Prepositions
Fasu	 OV and Postpositions
Fijian	 VO and Prepositions
Finnish	 VO and Postpositions
Folopa	 OV and Postpositions
Fongbe	 Other
Fore	 OV and Postpositions
French	 VO and Prepositions
Frisian	 Other
Fulfulde (Adamawa)	 VO and Prepositions
Fulfulde (Nigerian)	 VO and Prepositions
Fulniô	 OV and Postpositions
Fur	 OV and Postpositions
Futuna-Aniwa	 VO and Prepositions
Fyem	 VO and Prepositions
Ga'anda	 VO and Prepositions
Gaelic (Scots)	 VO and Prepositions
Gamo	 OV and Postpositions
Gapapaiwa	 OV and Postpositions
Garífuna	 VO and Prepositions
Garo	 OV and Postpositions
Garrwa	 VO and Prepositions
Gavião	 OV and Postpositions
Gbeya Bossangoa	 VO and Prepositions
Gela	 VO and Prepositions
Gelao	 VO and Prepositions
Georgian	 OV and Postpositions
German	 Other
Gidabal	 Other
Gimira	 OV and Postpositions
Gitksan	 Other
Giziga	 VO and Prepositions
Goajiro	 VO and Prepositions
Goemai	 VO and Prepositions
Gokana	 VO and Prepositions
Golin	 OV and Postpositions
Gondi	 OV and Postpositions
Gooniyandi	 Other
Great Andamanese	 OV and Postpositions
Grebo	 VO and Postpositions
Greek (Modern)	 VO and Prepositions
Greenlandic (West)	 OV and Postpositions
Guahibo	 OV and Postpositions
Guajajara	 VO and Postpositions
Guaraní	 VO and Postpositions
Guarijío	 Other
Guató	 VO and Prepositions
Gude	 VO and Prepositions
Gujarati	 OV and Postpositions
Gula (in Central African Republic)	 Other
Gumawana	 OV and Postpositions
Gumbaynggir	 Other
Gumuz	 VO and Prepositions
Gunbalang	 VO and Prepositions
Gungbe	 Other
Gunin	 Other
Gureng Gureng	 Other
Gurr-goni	 Other
Gurung	 OV and Postpositions
Gwari	 Other
Gworok	 VO and Prepositions
Gyarong (Cogtse)	 OV and Postpositions
Haida	 OV and Postpositions
Halia	 VO and Prepositions
Halkomelem (Upriver)	 VO and Prepositions
Hamtai	 OV and Postpositions
Hanga Hundi	 OV and Postpositions
Hani	 OV and Postpositions
Hatam	 VO and Prepositions
Hausa	 VO and Prepositions
Hawaiian	 VO and Prepositions
Haya	 VO and Prepositions
Hayu	 OV and Postpositions
Hdi	 VO and Prepositions
Hebrew (Modern)	 VO and Prepositions
Hehe	 VO and Prepositions
Heiltsuk	 VO and Prepositions
Hemba	 VO and Prepositions
Hidatsa	 OV and Postpositions
Hiligaynon	 VO and Prepositions
Hindi	 OV and Postpositions
Hixkaryana	 OV and Postpositions
Hlai (Baoding)	 VO and Prepositions
Hmar	 OV and Postpositions
Hmong Njua	 VO and Prepositions
Ho	 OV and Postpositions
Err:509	 Other
Hoava	 VO and Prepositions
Hopi	 OV and Postpositions
Hua	 OV and Postpositions
Hualapai	 OV and Postpositions
Huastec	 VO and Prepositions
Huave (San Mateo del Mar)	 VO and Prepositions
Huitoto (Murui)	 OV and Postpositions
Hungarian	 VO and Postpositions
Hunzib	 OV and Postpositions
Hup	 OV and Postpositions
Hupa	 Other
Iaai	 VO and Prepositions
Iau	 OV and Postpositions
Iban	 VO and Prepositions
Icelandic	 VO and Prepositions
Idoma	 Other
Idu	 OV and Postpositions
Iduna	 OV and Postpositions
Ifugao (Batad)	 VO and Prepositions
Ifumu	 VO and Prepositions
Igbo	 VO and Prepositions
Ignaciano	 VO and Prepositions
Ik	 VO and Prepositions
Ika	 OV and Postpositions
Ila	 VO and Prepositions
Ilocano	 VO and Prepositions
Imonda	 OV and Postpositions
Inanwatan	 Other
Indonesian	 VO and Prepositions
Ingessana	 VO and Prepositions
Innamincka	 OV and Postpositions
Iquito	 VO and Postpositions
Iraqw	 OV and Prepositions
Irarutu	 VO and Prepositions
Irish	 VO and Prepositions
I'saka	 Other
Italian	 VO and Prepositions
Iwaidja	 Other
Iwoyo	 VO and Prepositions
Ixil	 VO and Prepositions
Izere	 VO and Prepositions
Izi	 VO and Prepositions
Jabêm	 Other
Jabutí	 OV and Postpositions
Jakaltek	 VO and Prepositions
Jaminjung	 Other
Jamsay	 OV and Postpositions
Japanese	 OV and Postpositions
Jebero	 Other
Jingpho	 OV and Postpositions
Jino	 OV and Postpositions
Johari	 OV and Postpositions
Jugli	 OV and Postpositions
Ju|'hoan	 VO and Postpositions
Jukun	 VO and Prepositions
Jur Mödö	 VO and Prepositions
Kabardian	 OV and Postpositions
Kabatei	 OV and Postpositions
Kabiyé	 VO and Prepositions
Kabyle	 VO and Prepositions
Kachari	 OV and Postpositions
Kadazan	 VO and Prepositions
Kagulu	 VO and Prepositions
Kaingang	 OV and Postpositions
Kairiru	 Other
Kalam	 OV and Postpositions
Kalmyk	 OV and Postpositions
Kaluli	 OV and Postpositions
Kamaiurá	 OV and Postpositions
Kamasau	 OV and Postpositions
Kamass	 OV and Postpositions
Kambera	 VO and Prepositions
Kambot	 OV and Postpositions
Kamu	 Other
Kana	 VO and Prepositions
Kanakuru	 VO and Prepositions
Kanashi	 OV and Postpositions
Kannada	 OV and Postpositions
Kanum (Bädi)	 OV and Postpositions
Kanuri	 OV and Postpositions
Kapampangan	 VO and Prepositions
Karachay-Balkar	 OV and Postpositions
Kara (in Central African Republic)	 VO and Prepositions
Karajá	 OV and Postpositions
Karakalpak	 OV and Postpositions
Karankawa	 Other
Karen (Bwe)	 VO and Prepositions
Karen (Pwo)	 VO and Prepositions
Karen (Sgaw)	 VO and Prepositions
Karimojong	 VO and Prepositions
Karkar-Yuri	 OV and Postpositions
Karó (Arára)	 OV and Postpositions
Karok	 Other
Kashmiri	 VO and Postpositions
Kati (in West Papua, Indonesia)	 OV and Postpositions
Kaulong	 VO and Prepositions
Kawaiisu	 Other
Kayabí	 OV and Postpositions
Kayah Li (Eastern)	 Other
Kayardild	 Other
Kele	 VO and Prepositions
Kemant	 OV and Postpositions
Kenga	 Other
Kera	 VO and Prepositions
Keresan (Santa Ana)	 OV and Postpositions
Ket	 OV and Postpositions
Kete	 VO and Prepositions
Kewa	 OV and Postpositions
Khalaj	 OV and Postpositions
Khalkha	 OV and Postpositions
Kham	 OV and Postpositions
Kham (Dege)	 OV and Postpositions
Kham (Tibetan) (Nangchen)	 OV and Postpositions
Khanty	 OV and Postpositions
Kharia	 OV and Postpositions
Khasi	 VO and Prepositions
Khmer	 VO and Prepositions
Khmu'	 VO and Prepositions
Khowar	 OV and Postpositions
Kikuyu	 VO and Prepositions
Kilivila	 VO and Prepositions
Kiluba	 VO and Prepositions
Kimaghama	 OV and Postpositions
Kinga	 VO and Prepositions
Kinnauri	 OV and Postpositions
Kinyarwanda	 VO and Prepositions
Kipea	 VO and Prepositions
Kire	 OV and Postpositions
Kiribati	 VO and Prepositions
Kirma	 VO and Postpositions
Kisi	 Other
Kiwai (Southern)	 OV and Postpositions
Klamath	 Other
Koasati	 OV and Postpositions
Kobon	 OV and Postpositions
Koegu	 VO and Prepositions
Koiali (Mountain)	 OV and Postpositions
Kokborok	 OV and Postpositions
Kokota	 VO and Prepositions
Kolami	 OV and Postpositions
Koluri	 OV and Postpositions
Kombai	 OV and Postpositions
Kombio	 VO and Prepositions
Komi-Permyak	 OV and Postpositions
Komi-Zyrian	 VO and Postpositions
Kongo	 VO and Prepositions
Konni	 Other
Korana	 OV and Postpositions
Korean	 OV and Postpositions
Koreguaje	 VO and Postpositions
Korku	 OV and Postpositions
Koromfe	 Other
Koryak	 OV and Postpositions
Kosraean	 VO and Prepositions
Koyraboro Senni	 OV and Postpositions
Koyra Chiini	 VO and Postpositions
Koyukon	 OV and Postpositions
Krahô	 OV and Postpositions
Kresh	 VO and Prepositions
Kugu Nganhcara	 OV and Postpositions
Kuikúro	 OV and Postpositions
Kuku-Yalanji	 OV and Prepositions
Kuman	 OV and Postpositions
Kumauni	 OV and Postpositions
Kuna	 OV and Postpositions
Kunama	 OV and Postpositions
Kuot	 VO and Prepositions
Kurdish (Central)	 OV and Prepositions
Kusunda	 OV and Postpositions
Kuuk Thaayorre	 Other
Kuvi	 OV and Postpositions
Kwaio	 VO and Prepositions
Kwakw'ala	 VO and Prepositions
Kwangali	 VO and Prepositions
Kwerba	 OV and Postpositions
Kwoma	 OV and Postpositions
Kwomtari	 OV and Postpositions
Kxoe	 OV and Postpositions
Kyaka	 OV and Postpositions
Kyirong	 OV and Postpositions
Kyuquot	 VO and Prepositions
Laal	 VO and Prepositions
Labu	 VO and Prepositions
Lacandón	 VO and Prepositions
Ladakhi	 OV and Postpositions
Lagwan	 VO and Prepositions
Lahu	 OV and Postpositions
Lai	 OV and Postpositions
Lak	 OV and Postpositions
Lakhota	 OV and Postpositions
Lalo	 OV and Postpositions
Lamaholot	 Other
Lamang	 VO and Prepositions
Lamani	 OV and Postpositions
Lampung	 VO and Prepositions
Langi	 VO and Prepositions
Lango	 VO and Prepositions
Lao	 VO and Prepositions
Laragia	 OV and Postpositions
Latvian	 VO and Prepositions
Lavukaleve	 OV and Postpositions
Lebeo	 VO and Prepositions
Leko	 Other
Lele	 VO and Prepositions
Lelemi	 VO and Postpositions
Lenakel	 VO and Prepositions
Lendu	 Other
Lepcha	 OV and Postpositions
Lese	 Other
Leti	 VO and Prepositions
Lewo	 VO and Prepositions
Lezgian	 OV and Postpositions
Lhomi	 OV and Postpositions
Lillooet	 VO and Prepositions
Limilngan	 Other
Linda	 VO and Prepositions
Lisu	 OV and Postpositions
Lithuanian	 VO and Prepositions
Logoti	 Other
Lokono	 VO and Postpositions
Londo	 VO and Prepositions
Longgu	 VO and Prepositions
Loniu	 VO and Prepositions
Lotha	 OV and Postpositions
Lou	 VO and Prepositions
Lugbara	 Other
Luiseño	 Other
Lunda	 VO and Prepositions
Lungchang	 OV and Postpositions
Luo	 VO and Prepositions
Lusi	 VO and Prepositions
Luvale	 VO and Prepositions
Maasai	 VO and Prepositions
Maba	 OV and Postpositions
Macedonian	 VO and Prepositions
Macushi	 OV and Postpositions
Ma'di	 Other
Madimadi	 VO and Prepositions
Mae	 VO and Prepositions
Magahi	 OV and Postpositions
Magar	 OV and Postpositions
Magi	 OV and Postpositions
Maipure	 VO and Postpositions
Maisin	 OV and Postpositions
Maithili	 OV and Postpositions
Majang	 VO and Postpositions
Makah	 Other
Makasae	 OV and Postpositions
Maklew	 OV and Postpositions
Makua	 VO and Prepositions
Malagasy	 VO and Prepositions
Maleu	 VO and Prepositions
Malgwa	 VO and Prepositions
Mam	 VO and Prepositions
Mamanwa	 VO and Prepositions
Manadonese	 VO and Prepositions
Manam	 OV and Postpositions
Manchu	 OV and Postpositions
Mandan	 OV and Postpositions
Mandarin	 Other
Mandinka (Gambian)	 OV and Postpositions
Mangap-Mbula	 VO and Prepositions
Mangarrayi	 OV and Prepositions
Manggarai	 VO and Prepositions
Mangghuer	 OV and Postpositions
Maninka (Western)	 OV and Postpositions
Mano	 OV and Postpositions
Manobo (Western Bukidnon)	 VO and Prepositions
Mansi	 OV and Postpositions
Maori	 VO and Prepositions
Mapudungun	 Other
Mara	 Other
Maranungku	 OV and Postpositions
Marathi	 OV and Postpositions
Margi	 VO and Prepositions
Maricopa	 OV and Postpositions
Mari (Meadow)	 OV and Postpositions
Marind	 OV and Postpositions
Marquesan	 VO and Prepositions
Marrithiyel	 OV and Postpositions
Maru	 OV and Postpositions
Masa	 VO and Prepositions
Massachusett	 Other
Matngele	 OV and Postpositions
Matsés	 OV and Postpositions
Mauka	 OV and Postpositions
Maung	 VO and Prepositions
Maxakalí	 OV and Postpositions
Maybrat	 VO and Prepositions
Mayogo	 VO and Prepositions
Mazatec (Huautla)	 Other
Mbara	 Other
Mbay	 Other
Mbere	 VO and Prepositions
Mbodomo	 VO and Prepositions
Mbum	 VO and Prepositions
Mehri	 VO and Prepositions
Meithei	 OV and Postpositions
Mekens	 OV and Postpositions
Mekeo	 OV and Postpositions
Mende	 OV and Postpositions
Menomini	 Other
Menya	 OV and Postpositions
Meyah	 VO and Prepositions
Mian	 OV and Postpositions
Mikir	 OV and Postpositions
Mina	 VO and Prepositions
Minangkabau	 Other
Minaveha	 OV and Postpositions
Mising	 OV and Postpositions
Miskito	 OV and Postpositions
Miwok (Southern Sierra)	 Other
Mixe (Ayutla)	 Other
Mixtec (Chalcatongo)	 VO and Prepositions
Mixtec (Jicaltepec)	 VO and Prepositions
Mixtec (Ocotepec)	 VO and Prepositions
Mixtec (Peñoles)	 VO and Prepositions
Mixtec (Yosondúa)	 VO and Prepositions
Miya	 VO and Prepositions
Mizo	 OV and Postpositions
Mlabri (Minor)	 VO and Prepositions
Mofu-Gudur	 VO and Prepositions
Mohawk	 Other
Mokilese	 VO and Prepositions
Mombum	 OV and Postpositions
Momu	 OV and Postpositions
Momuna	 OV and Postpositions
Mon	 VO and Prepositions
Mondunga	 VO and Prepositions
Mongo	 VO and Prepositions
Mono-Alu	 Other
Mono (in United States)	 OV and Postpositions
Monumbo	 OV and Postpositions
Mooré	 Other
Mor	 VO and Prepositions
Moraori	 OV and Postpositions
Mordvin (Erzya)	 VO and Postpositions
Moro	 Other
Moru	 Other
Motu	 OV and Postpositions
Movima	 VO and Prepositions
Mpur	 VO and Prepositions
Mumuye	 VO and Prepositions
Muna	 VO and Prepositions
Mundang	 VO and Prepositions
Mundari	 OV and Postpositions
Mundurukú	 OV and Postpositions
Mupun	 VO and Prepositions
Murle	 Other
Murrinh-Patha	 Other
Muruwari	 Other
Musgu	 VO and Prepositions
Musom	 VO and Prepositions
Musqueam	 VO and Prepositions
Mussau	 VO and Prepositions
Nabak	 OV and Postpositions
Nadëb	 OV and Postpositions
Nagatman	 OV and Postpositions
Naga (Zeme)	 OV and Postpositions
Nahuatl (Huasteca)	 VO and Prepositions
Nahuatl (Michoacán)	 VO and Prepositions
Nahuatl (Tetelcingo)	 VO and Prepositions
Nakanai	 VO and Prepositions
Nalik	 VO and Prepositions
Nama	 OV and Postpositions
Namia	 OV and Postpositions
Nancowry	 VO and Prepositions
Nandi	 VO and Prepositions
Nankina	 OV and Postpositions
Nara (in Ethiopia)	 OV and Postpositions
Nar-Phu	 OV and Postpositions
Nasioi	 OV and Postpositions
Natchez	 OV and Postpositions
Navajo	 OV and Postpositions
Ncàm	 Other
Ndjébbana	 OV and Postpositions
Ndonga	 VO and Prepositions
Ndumu	 VO and Prepositions
Ndut	 VO and Prepositions
Ndyuka	 VO and Prepositions
Nehan	 VO and Prepositions
Nend	 OV and Postpositions
Nenets	 OV and Postpositions
Neo-Aramaic (Arbel Jewish)	 OV and Prepositions
Nepali	 OV and Postpositions
Nevome	 OV and Postpositions
Newar (Dolakha)	 OV and Postpositions
Newari (Kathmandu)	 OV and Postpositions
Neyo	 Other
Nez Perce	 Other
Ngaanyatjarra	 OV and Postpositions
Ngäbere	 OV and Postpositions
Ngad'a	 VO and Prepositions
Ngalakan	 Other
Ngambay	 VO and Prepositions
Ngan'gityemerri	 OV and Postpositions
Ngankikurungkurr	 Other
Ngbaka (Minagende)	 VO and Prepositions
Ngbandi	 VO and Prepositions
Ngiti	 Other
Ngizim	 VO and Prepositions
Ngoni	 VO and Prepositions
Nguna	 VO and Prepositions
Nhanda	 Other
Nias	 VO and Prepositions
Nicobarese (Car)	 VO and Prepositions
Nisgha	 VO and Prepositions
Niuafo'ou	 VO and Prepositions
Niuean	 VO and Prepositions
Nivkh	 OV and Postpositions
Nkonya	 VO and Postpositions
Nkore-Kiga	 VO and Prepositions
Nocte	 OV and Postpositions
Noni	 Other
Noon	 VO and Prepositions
Norwegian	 VO and Prepositions
Nsenga	 VO and Prepositions
Nuaulu	 VO and Prepositions
Nubian (Dongolese)	 OV and Postpositions
Nuer	 Other
Nunggubuyu	 Other
Nung (in Vietnam)	 VO and Prepositions
Nuosu	 OV and Postpositions
Nupe	 VO and Prepositions
Nyangumarda	 Other
Nyimang	 OV and Postpositions
Nyishi	 OV and Postpositions
Nyulnyul	 Other
Nzakara	 VO and Prepositions
Obolo	 VO and Prepositions
Ocuilteco	 VO and Prepositions
Ogbronuagum	 VO and Prepositions
Oksapmin	 OV and Postpositions
Olo	 VO and Prepositions
Ömie	 OV and Postpositions
O'odham	 Other
Orok	 OV and Postpositions
Orokaiva	 OV and Postpositions
Oromo (Harar)	 OV and Postpositions
Oromo (Waata)	 OV and Postpositions
Orya	 OV and Postpositions
Osage	 OV and Postpositions
Ossetic	 OV and Postpositions
Otomí (Mezquital)	 VO and Prepositions
Owininga	 OV and Postpositions
Pa'a	 VO and Prepositions
Paamese	 VO and Prepositions
Páez	 OV and Postpositions
Paiute (Northern)	 Other
Paiwan	 VO and Prepositions
Palauan	 VO and Prepositions
Palaung	 VO and Prepositions
Palikur	 VO and Prepositions
Panará	 Other
Pangasinan	 VO and Prepositions
Pangwa	 VO and Prepositions
Panjabi	 OV and Postpositions
Panyjima	 Other
Pare	 VO and Prepositions
Päri	 OV and Prepositions
Pashto	 OV and Postpositions
Passamaquoddy-Maliseet	 VO and Prepositions
Patep	 VO and Prepositions
Pattani	 OV and Postpositions
Patwin	 OV and Postpositions
Paulohi	 VO and Prepositions
Paumarí	 Other
Pawaian	 OV and Postpositions
Pero	 VO and Prepositions
Persian	 OV and Prepositions
Pipil	 VO and Prepositions
Pirahã	 OV and Postpositions
Pisa	 OV and Postpositions
Pitjantjatjara	 OV and Postpositions
Pitta Pitta	 Other
Podoko	 VO and Prepositions
Pogoro	 VO and Prepositions
Pohnpeian	 VO and Prepositions
Poko-Rawo	 Other
Pokot	 VO and Prepositions
Polish	 VO and Prepositions
Pomo (Northern)	 OV and Postpositions
Pomo (Southeastern)	 OV and Postpositions
Popoluca (Sierra)	 VO and Prepositions
Port Sandwich	 VO and Prepositions
Portuguese	 VO and Prepositions
Prasuni	 OV and Postpositions
Puluwat	 VO and Prepositions
Pungupungu	 OV and Postpositions
Purépecha	 Other
Purki	 OV and Postpositions
Qafar	 OV and Postpositions
Qawasqar	 OV and Postpositions
Quechua (Huallaga)	 OV and Postpositions
Quechua (Imbabura)	 OV and Postpositions
Raga	 VO and Prepositions
Rama	 OV and Postpositions
Rapanui	 VO and Prepositions
Rawang	 OV and Postpositions
Remo	 OV and Postpositions
Resígaro	 OV and Postpositions
Retuarã	 OV and Postpositions
Rikbaktsa	 OV and Postpositions
Ritharngu	 Other
Romanian	 VO and Prepositions
Romani (Welsh)	 VO and Prepositions
Ronga	 VO and Prepositions
Rotuman	 VO and Prepositions
Rukai (Tanan)	 VO and Prepositions
Rumu	 OV and Postpositions
Runga	 OV and Postpositions
Runyankore	 VO and Prepositions
Russian	 VO and Prepositions
Rutul	 OV and Postpositions
Saami (Northern)	 VO and Postpositions
Sahu	 VO and Prepositions
Sakao	 VO and Prepositions
Saliba (in Papua New Guinea)	 OV and Postpositions
Salinan	 VO and Prepositions
Salt-Yui	 OV and Postpositions
Samba Leko	 VO and Postpositions
Samoan	 VO and Prepositions
Sandawe	 OV and Postpositions
Sango	 VO and Prepositions
Santa	 OV and Postpositions
Santali	 OV and Postpositions
Sanuma	 OV and Postpositions
Sarcee	 OV and Postpositions
Sare	 OV and Postpositions
Savi	 OV and Postpositions
Savosavo	 OV and Postpositions
Sebei	 VO and Prepositions
Sedang	 VO and Prepositions
Selknam	 OV and Postpositions
