Language	Value	Reference
Athpare	 Not initial interrogative phrase	Ebert 1997b: 107
Au	 Not initial interrogative phrase	Scorza 1985: 251
Avar	 Not initial interrogative phrase	Bokarev 1949b: passim
Awa Pit	 Not initial interrogative phrase	Curnow 1997: 315
Awtuw	 Not initial interrogative phrase	Feldman 1986: 145
Aymara (Central)	 Not initial interrogative phrase	Wexler 1967: passim
Azari (Iranian)	 Not initial interrogative phrase	Dehghani 2000: 209
Azerbaijani	 Not initial interrogative phrase	Householder and Lofti 1965: passim
Babole	 Not initial interrogative phrase	Leitch 1994: 192
Bachamal	 Initial interrogative phrase	Ford 1990: 105
Badimaya	 Initial interrogative phrase	Dunn 1988: passim
Bafia	 Not initial interrogative phrase	Guarisma 1973: 73
Baga Sitemu	 Initial interrogative phrase	Ganong 1998: 5
Bagirmi	 Not initial interrogative phrase	Stevenson 1969: 41-42
Bagiro	 Not initial interrogative phrase	Boyeldieu 2000: 122
Bai	 Not initial interrogative phrase	Fitzgerald 1941: passim; Xu and Zhao 1984: passim
Bajau (West Coast)	 Mixed	Miller 2007: 387 
Bakueri	 Not initial interrogative phrase	Kagaya 1992: 68-69
Bakundu	 Not initial interrogative phrase	Ittmann 1971: 299
Banggi	 Initial interrogative phrase	Boutin 1988: 38
Bankon	 Not initial interrogative phrase	Spellenberg 1969: 46
Baoulé	 Not initial interrogative phrase	Carteron 1972: 87-88
Barasano	 Initial interrogative phrase	Jones and Jones 1991: 8, 120
Baré	 Initial interrogative phrase	Aikhenvald 1996: 45
Bari	 Not initial interrogative phrase	Spagnolo 1933: 237-238; Mitterrutzner 1867: 82 
Barupu	 Not initial interrogative phrase	Corris 2005: 302
Basque	 Not initial interrogative phrase	Urbina 1989: 213
Batak (Karo)	 Initial interrogative phrase	Woollams 1996: 225-229
Batak (Toba)	 Not initial interrogative phrase	Percival 1981: 102; Nababan 1981: 115
Baure	 Initial interrogative phrase	Baptista and Wallin 1967: 34-35
Bawm	 Not initial interrogative phrase	Reichle 1981: 165, passim
Beja	 Not initial interrogative phrase	Hudson 1974: 141
Bemba	 Not initial interrogative phrase	van Sambeek 1955: 46
Berber (Figuig)	 Initial interrogative phrase	Kossmann 1997: 201-206, 306, 319
Berber (Middle Atlas)	 Initial interrogative phrase	Abdel-Massih 1971: 132-135; Penchoen 1973b: 79-82
Berber (Rif)	 Initial interrogative phrase	Kossmann 2000: 180-189 
Betoi	 Initial interrogative phrase	Zamponi 2003b: 38
Bhojpuri	 Not initial interrogative phrase	Shukla 1981: 123, 312
Bhumij	 Not initial interrogative phrase	Ramaswami 1992: 135
Biak	 Initial interrogative phrase	van den Heuvel 2006: 77
Bikol	 Not initial interrogative phrase	Mintz 1971a: passim
Biloxi	 Not initial interrogative phrase	Einaudi 1976: passim
Bimoba	 Not initial interrogative phrase	Jacobs 1970: 18, 66, 142
Bininj Gun-Wok	 Initial interrogative phrase	Evans 2004
Biri	 Not initial interrogative phrase	Terrill 1998: 56
Birom	 Not initial interrogative phrase	Bouquiaux 1970: 400ff
Blackfoot	 Initial interrogative phrase	
Bodo	 Not initial interrogative phrase	Bhattacharya 1977: 123, passim
Bokar	 Not initial interrogative phrase	Megu 1990: passim
Bongo	 Not initial interrogative phrase	Santandrea 1963: 40
Bontok	 Initial interrogative phrase	Seidenadel 1909: 162-177
Bori	 Not initial interrogative phrase	Megu 1988: passim
Bororo	 Initial interrogative phrase	Huestis 1963: 233
Brahui	 Not initial interrogative phrase	Bray 1909: passim
Brao	 Not initial interrogative phrase	Keller 1976: 59
Breton	 Initial interrogative phrase	Press 1986: 198
Buduma	 Not initial interrogative phrase	Lukas and Nachtigal 1939: 47
Bugis	 Not initial interrogative phrase	Samsuri 1965: 186
Bugun	 Not initial interrogative phrase	Dondrup 1990: passim
Bularnu	 Initial interrogative phrase	Breen 1980: 87, 97-98
Bulgarian	 Initial interrogative phrase	Scatton 1984: 374; Hubenova et al. 1968: 32
Buma	 Not initial interrogative phrase	Tryon 2002: 584
Burmese	 Not initial interrogative phrase	Okell 1969: 127, passim; Stewart 1955: passim
Burunge	 Not initial interrogative phrase	Kiessling 1994: passim
Burushaski	 Not initial interrogative phrase	Lorimer 1935: 161ff., 405
Bushoong	 Not initial interrogative phrase	Edmiston 1932: 82, 203
Byansi	 Not initial interrogative phrase	Trivedi 1991: passim
Cahuilla	 Not initial interrogative phrase	Seiler 1977: 236, 110-114
Cakchiquel	 Initial interrogative phrase	García Matzar and Rodríguez Guaján 1997: 210
Camling	 Not initial interrogative phrase	Ebert 1997a: 53
Campa (Axininca)	 Not initial interrogative phrase	Payne 1981: 9, 10
Canamarí	 Initial interrogative phrase	
Canela	 Initial interrogative phrase	Popjes and Popjes 1986: 153-154
Cantonese	 Not initial interrogative phrase	Matthews and Yip 1994: 323 
Carib (De'kwana)	 Initial interrogative phrase	Hall 1988: 54
Cayapa	 Initial interrogative phrase	Abrahamson 1962: 221
Chácobo	 Initial interrogative phrase	Prost 1967: 296
Chai	 Not initial interrogative phrase	Last and Lucassen 1998: 414-415
Chamorro	 Mixed	Topping 1973: 155 
Cham (Western)	 Not initial interrogative phrase	Baumgartner 1998: 17-18
Chang	 Not initial interrogative phrase	Hutton 1987: 44
Chantyal	 Not initial interrogative phrase	Noonan 2003b: 332
Chatino (Sierra Occidental)	 Initial interrogative phrase	Pride 1965: 170-171
Chatino (Yaitepec)	 Initial interrogative phrase	Rasch 2002: 239
Chechen	 Not initial interrogative phrase	Nichols 1994a: 71-72
Chemehuevi	 Not initial interrogative phrase	Press 1979: 124
Cherokee	 Initial interrogative phrase	Scancarelli 1987: 134; Holmes and Smith 1976: 73 ; Cook 1979: 175-176
Chichewa	 Not initial interrogative phrase	Mchombo 2004: 45 
Chinantec (Comaltepec)	 Initial interrogative phrase	Anderson 1989: 94
Chinantec (Lealao)	 Initial interrogative phrase	Rupp 1989: 99
Chinantec (Palantla)	 Initial interrogative phrase	Merrifield 1968: 65, 73-74, 97-98
Chinantec (Quiotepec)	 Initial interrogative phrase	Robbins 1968: 138-140
Chin (Mara)	 Not initial interrogative phrase	Lorrain 1951: passim; Savidge 1908: passim
Chinook (Lower)	 Initial interrogative phrase	Boas 1911b: passim
Chin (Siyin)	 Not initial interrogative phrase	Naylor 1925: 11, passim
Chin (Tiddim)	 Not initial interrogative phrase	Henderson 1965: passim
Choctaw	 Not initial interrogative phrase	Nicklas 1979: passim; Broadwell 1986: 3
Chontal (Huamelultec Oaxaca)	 Initial interrogative phrase	Waterhouse 1967: 364
Chontal Maya	 Initial interrogative phrase	Knowles 1984: 331
Chrau	 Initial interrogative phrase	Thomas 1971: 138, 195-199
Chuj	 Initial interrogative phrase	Buenrostro 1991: 35
Chukchi	 Not initial interrogative phrase	Dunn 1999: 124, 204, passim
Chuvash	 Not initial interrogative phrase	Krueger 1961: passim
Cocama	 Initial interrogative phrase	Faust 1972: 88-89
Comanche	 Not initial interrogative phrase	Wistrand-Robinson and Armagost 1990: 256
Coos (Hanis)	 Initial interrogative phrase	Frachtenberg 1913: passim
Coptic	 Not initial interrogative phrase	Lambdin 1983: 19, 53 ; Plumley 1948: 163-167
Cornish	 Not initial interrogative phrase	Jenner 1904: 161
Crow	 Not initial interrogative phrase	Lowie 1941: 6
Cubeo	 Initial interrogative phrase	Morse and Maxwell 1999a: 144
Cupeño	 Not initial interrogative phrase	Hill 2005: 380-387
Czech	 Not initial interrogative phrase	Harkins 1953: 36
Daga	 Not initial interrogative phrase	Murane 1974: passim
Dagbani	 Initial interrogative phrase	Olawsky 1999: 68
Dagur	 Not initial interrogative phrase	Martin 1961: passim
Dan	 Not initial interrogative phrase	Doneux 1968: 82
Danish	 Initial interrogative phrase	Allan et al. 1995: 192-199 ; Bredsdorff 1958: passim 168
Darma	 Not initial interrogative phrase	Sharma 1989a: 55
Dâw	 Initial interrogative phrase	Martins 1994: 87
Desano	 Initial interrogative phrase	Miller 1999: 8
Dhaasanac	 Not initial interrogative phrase	Tosco 2001: 276
Dharumbal	 Initial interrogative phrase	Terrill 2002: 36
Dimasa	 Not initial interrogative phrase	Dundas 1908: passim
Dinka	 Not initial interrogative phrase	Nebel 1948: passim 85
Diola-Fogny	 Not initial interrogative phrase	Sapir 1965: 48 
Diyari	 Initial interrogative phrase	Austin 1981: 151
Djabugay	 Not initial interrogative phrase	Patz 1991: 303
Djambarrpuyngu	 Not initial interrogative phrase	Buchanan 1978: 170-172
Djaru	 Initial interrogative phrase	Tsunoda 1981: 95
Djingili	 Initial interrogative phrase	Chadwick 1975: 82
Dla (Menggwa)	 Not initial interrogative phrase	de Sousa 2006: passim
Domaaki	 Not initial interrogative phrase	Lorimer 1939: passim
Dong (Southern)	 Not initial interrogative phrase	Long and Zheng 1998: 152, 176
Doyayo	 Not initial interrogative phrase	Wiering and Wiering 1994: passim 209
Drehu	 Not initial interrogative phrase	Tryon 1967a: passim
Duka	 Mixed	Bendor-Samuel et al. 1973: 46, passim
Dulong	 Not initial interrogative phrase	LaPolla 2003a: 678
Dumi	 Not initial interrogative phrase	van Driem 1993: 86
Dumo	 Not initial interrogative phrase	Ross 1980: 100
Duna	 Not initial interrogative phrase	
Dyirbal	 Not initial interrogative phrase	Dixon 1972: 291, passim 
Efate (South)	 Not initial interrogative phrase	Thieberger 2004: 285-286
Efik	 Not initial interrogative phrase	Welmers 1968a: 40
Eipo	 Not initial interrogative phrase	Heeschen 1998: 153
Emai	 Initial interrogative phrase	Schaefer and Egbokhare 2007: 19
Émérillon	 Initial interrogative phrase	Rose 2003b: 415
Emmi	 Initial interrogative phrase	Ford 1998: 149
Engenni	 Not initial interrogative phrase	Thomas 1978: passim
Enggano	 Initial interrogative phrase	Kähler 1940: 90
English	 Initial interrogative phrase	
Epena Pedee	 Initial interrogative phrase	Harms 1994: 17, 122
Erromangan	 Not initial interrogative phrase	Crowley 1998a: 236-240 
Ese Ejja	 Initial interrogative phrase	Shoemaker and Shoemaker 1967: 213
Estonian	 Initial interrogative phrase	Tauli 1983: 308
Eudeve	 Initial interrogative phrase	Shaul 1991: 94
Evenki	 Initial interrogative phrase	Nedjalkov 1997: 8 
Ewe	 Not initial interrogative phrase	Warburton et al. 1968: 120
Ewondo	 Not initial interrogative phrase	Redden 1979: 61-62, 153-154
Fijian	 Not initial interrogative phrase	Dixon 1988: 170 
Finnish	 Initial interrogative phrase	Sulkala and Karjalainen 1992: 12
Foe	 Not initial interrogative phrase	Rule 1977: 36
Folopa	 Not initial interrogative phrase	
French	 Initial interrogative phrase	
Frisian	 Initial interrogative phrase	Tiersma 1985: 117-118
Fulfulde (Adamawa)	 Initial interrogative phrase	Arnott 1970: 31
Fur	 Not initial interrogative phrase	Tucker and Bryan 1966: passim
Futuna-Aniwa	 Not initial interrogative phrase	Dougherty 1983: 85-90; Capell 1958: 80
Fyem	 Not initial interrogative phrase	Nettle 1998: 50
Gaelic (Scots)	 Initial interrogative phrase	Calder 1923: 5
Galo	 Not initial interrogative phrase	Das Gupta 1963: 14
Gapapaiwa	 Not initial interrogative phrase	McGuckin 2002: 318
Garo	 Not initial interrogative phrase	Burling 1961: 42
Garrwa	 Initial interrogative phrase	Furby and Furby 1977: 76
Gavião	 Initial interrogative phrase	Moore 1984: 107
Gbaya (Southwest)	 Not initial interrogative phrase	Tucker and Bryan 1966: passim
Gbeya Bossangoa	 Not initial interrogative phrase	Samarin 1966: passim
Georgian	 Not initial interrogative phrase	Harris 1981a: 14; Vogt 1971: 224
German	 Initial interrogative phrase	Lederer 1969: 209, 474
Gidabal	 Initial interrogative phrase	Geytenbeek and Geytenbeek 1971: 45
Gitksan	 Initial interrogative phrase	Rigsby 1986: 301, passim
Giziga	 Not initial interrogative phrase	Lukas 1970: 85
Goajiro	 Initial interrogative phrase	Holmer 1949a: 118
Goemai	 Not initial interrogative phrase	Hellwig 2003: 40
Gokana	 Not initial interrogative phrase	
Gondi	 Not initial interrogative phrase	Subrahmanyam 1968: passim
Grebo	 Initial interrogative phrase	Innes 1966: 108-109
Greek (Modern)	 Initial interrogative phrase	Mackridge 1985: 236-237
Greenlandic (West)	 Not initial interrogative phrase	Fortescue 1984: 10-12
Guahibo	 Initial interrogative phrase	Queixalós 2000: 385
Guajajara	 Initial interrogative phrase	Bendor-Samuel 1972: 162
Guaraní	 Not initial interrogative phrase	Gregores and Suarez 1967: 182-183
Guarijío	 Initial interrogative phrase	Miller 1996a: 112
Gude	 Initial interrogative phrase	Hoskison 1983: 118, 124-127
Gugada	 Not initial interrogative phrase	Peile 1971: 41, 58
Guhu-Samane	 Not initial interrogative phrase	Richert 1975: passim
Gujarati	 Not initial interrogative phrase	Cardona 1965: 83, 96
Gumawana	 Not initial interrogative phrase	Olson 1988: 36, 152ff
Gumbaynggir	 Not initial interrogative phrase	Eades 1979: passim
Gunbalang	 Initial interrogative phrase	Harris 1969b: 38
Gureng Gureng	 Not initial interrogative phrase	Brasch 1975: 25D
Gurung	 Not initial interrogative phrase	Glover 1974: 140
Gutob	 Not initial interrogative phrase	Subba Rao and Patnaik 1992: 22
Guugu Yimidhirr	 Not initial interrogative phrase	Haviland 1979: passim
Gwari	 Not initial interrogative phrase	Hyman and Magaji 1970: 113-115
Gyarong (Cogtse)	 Not initial interrogative phrase	Lin 1993: 382
Haida	 Mixed	Enrico 2003: 134, 203, 206
Hakka	 Not initial interrogative phrase	Hashimoto 1973: 445, 448-449 
Hamtai	 Not initial interrogative phrase	Oates and Oates 1968: 59
Hatam	 Not initial interrogative phrase	Reesink 1999: 69-70
Hausa	 Mixed	Kraft and Kirk-Greene 1973: 112-117; Newman 2000: 495-496
Hawaiian	 Not initial interrogative phrase	Elbert and Pukui 1979: passim 
Haya	 Not initial interrogative phrase	Bennett 1977: 176
Hdi	 Initial interrogative phrase	Frajzyngier and Shay 2002: 357ff
Hebrew (Modern)	 Initial interrogative phrase	Glinert 1989: 273 
Hehe	 Not initial interrogative phrase	Velten 1899a: 174
Hindi	 Not initial interrogative phrase	McGregor 1977: 4
Hixkaryana	 Initial interrogative phrase	Derbyshire 1985: 114; Derbyshire 1979: 6
Hmar	 Not initial interrogative phrase	Dutta Baruah and Bapui 1996: 136
Hmong Njua	 Not initial interrogative phrase	Lyman 1979: passim; Harriehausen 1990: 134-135
Err:509	 Not initial interrogative phrase	Anonymous 6: passim
Hoava	 Not initial interrogative phrase	Davis 2003: 307
Hopi	 Not initial interrogative phrase	Kalectaca 1978: 103-104
Hua	 Not initial interrogative phrase	Haiman 1980: 401 
Hualapai	 Not initial interrogative phrase	Watahomigie et al. 1982: passim
Huastec	 Initial interrogative phrase	Edmonson 1988: 540, 550, 571
Huave (San Mateo del Mar)	 Initial interrogative phrase	Stairs and Hollenbach 1981: 42
Huichol	 Not initial interrogative phrase	Grimes 1964: passim
Huitoto (Minica)	 Initial interrogative phrase	Minor et al. 1982: 58-59
Huitoto (Murui)	 Not initial interrogative phrase	Burtch and Wise 1968: 18
Hungarian	 Not initial interrogative phrase	Kiefer 1967: 90, 195; Kenesei et al. 1998: 5 
Hup	 Initial interrogative phrase	Epps 2008: 778ff
Hupa	 Not initial interrogative phrase	Golla 1970: 300; Goddard 1903: passim
Iaai	 Initial interrogative phrase	Tryon 1968: 26, 28, 30, 27, 29, 31, 30, 32
Iau	 Not initial interrogative phrase	Bateman 1986: passim
Iban	 Mixed	Omar 1981: 121, 136, 226-228
Idu	 Not initial interrogative phrase	Pulu 1978: 25
Ifugao (Batad)	 Initial interrogative phrase	Newell 1993: 33
Ifumu	 Not initial interrogative phrase	Makouta Mboukou 1977: 481
Igbo	 Not initial interrogative phrase	Carrell 1970: passim
Igede	 Not initial interrogative phrase	Bergman 1981: 40
Ignaciano	 Initial interrogative phrase	Ott and Ott 1967b: 88ff
Ijo (Kolokuma)	 Not initial interrogative phrase	Williamson 1965: 76-77 
Ik	 Initial interrogative phrase	Tucker 1973: 43
Ilocano	 Initial interrogative phrase	Rubino 1998b: 52
Inanwatan	 Not initial interrogative phrase	de Vries 1996: 50
Indonesian	 Mixed	Mintz 1994: 114
Ingessana	 Not initial interrogative phrase	Bender 1989: 171
Iquito	 Initial interrogative phrase	Eastman and Eastman 1963: 164
Iraqw	 Not initial interrogative phrase	Whiteley 1958: 63, passim
Irarutu	 Not initial interrogative phrase	Matsumura 1991a: 78
Irish	 Initial interrogative phrase	Stenson 1981: 40; Ó Dochartaigh 1992: 38, 57
I'saka	 Not initial interrogative phrase	Donohue and San Roque 2002: 80
Itelmen	 Not initial interrogative phrase	Volodin 1976: passim
Iwaidja	 Initial interrogative phrase	Capell 1962b: 165
Iwam	 Not initial interrogative phrase	Conrad 1971: 10
Izere	 Not initial interrogative phrase	Lukas and Willms 1961: 23
Izi	 Not initial interrogative phrase	Meier et al. 1975: passim
Jabêm	 Not initial interrogative phrase	Dempwolff 1939: 63-64, 70
Jakaltek	 Initial interrogative phrase	Craig 1977: 13
Jamsay	 Not initial interrogative phrase	Heath 2008: 464
Japanese	 Not initial interrogative phrase	Shibatani 1990: 257 ; Hinds 1986: 6, 27ff., 39
Jeli	 Not initial interrogative phrase	Tröbs 1998: 119
Jingpho	 Not initial interrogative phrase	Hertz 1917: passim 21, passim
Jino	 Not initial interrogative phrase	Gai 1986: passim
Jugli	 Not initial interrogative phrase	Rekhung 1988a: passim
Ju|'hoan	 Not initial interrogative phrase	Dickens 1992: 26, 53-55; Snyman 1970: passim
Jukun	 Not initial interrogative phrase	Welmers 1968b: 26, passim
Jur Mödö	 Not initial interrogative phrase	Persson and Persson 1991: 23
Kabardian	 Not initial interrogative phrase	Colarusso 1989: 351
Kachari	 Not initial interrogative phrase	Endle 1884: 44
Kadazan	 Initial interrogative phrase	Antonissen 1958: 17, 20
Kadiwéu	 Initial interrogative phrase	Sandalo 1997: 73, 78
Kairiru	 Not initial interrogative phrase	Wivell 1981: passim 84
Kaki Ae	 Not initial interrogative phrase	Clifton 1997: 26-27
Kalam	 Not initial interrogative phrase	Pawley 1966: passim
Kalkatungu	 Initial interrogative phrase	Blake 1969: 67
Kalmyk	 Not initial interrogative phrase	Street 1959: passim
Kamaiurá	 Initial interrogative phrase	Seki 2000: 217-221
Kamasau	 Not initial interrogative phrase	Sanders and Sanders 1994: 7
Kamba	 Not initial interrogative phrase	Whiteley and Muli 1962: 98
Kana	 Not initial interrogative phrase	Ikoro 1996: 322ff
Kanakuru	 Not initial interrogative phrase	Newman 1974: 63
Kannada	 Not initial interrogative phrase	Sridhar 1990: 8, 24; Schiffman 1983: passim; Bright 1958: passim
Kanoê	 Initial interrogative phrase	Bacelar 2004: 152
Kanuri	 Initial interrogative phrase	Lukas 1937: 153
Kapampangan	 Initial interrogative phrase	Mirikitani 1972: 179
Karachay-Balkar	 Not initial interrogative phrase	Seegmiller 1996: 37
Kara (in Central African Republic)	 Not initial interrogative phrase	Santandrea 1970: 152
Karajá	 Not initial interrogative phrase	Maia 1998: 37
Karakalpak	 Not initial interrogative phrase	Wurm 1951: passim
Karen (Bwe)	 Not initial interrogative phrase	Henderson 1997: passim
Karen (Sgaw)	 Not initial interrogative phrase	Jones 1961: 19, passim
Karimojong	 Not initial interrogative phrase	Novelli 1985: 127, passim
Karkar-Yuri	 Not initial interrogative phrase	Rigden n.d. (a): 27-28
Karó (Arára)	 Initial interrogative phrase	Gabas 1999: 50, 131
Kasem	 Not initial interrogative phrase	Bonvini 1988: 47
Kashmiri	 Not initial interrogative phrase	Wali and Koul 1997: 14 
Kasong	 Not initial interrogative phrase	Sunee 2003: passim
Kaulong	 Not initial interrogative phrase	Ross 2002i: 408
Kawaiisu	 Initial interrogative phrase	Zigmond et al. 1990-1991: 32
Kayabí	 Initial interrogative phrase	Gomes 2007: 82
Kayah Li (Eastern)	 Not initial interrogative phrase	Solnit 1986: 345
Kayapó	 Initial interrogative phrase	Thomson and Stout 1974b: 82
Kayardild	 Not initial interrogative phrase	Evans 1995: 366ff
Kele	 Not initial interrogative phrase	Ross 2002k: 145
Kera	 Not initial interrogative phrase	Ebert 1979: passim
Ket	 Not initial interrogative phrase	Dul'zon 1968: passim
Kewa	 Not initial interrogative phrase	Franklin 1971: passim
Khaling	 Not initial interrogative phrase	Toba 1984: 3
Khalkha	 Not initial interrogative phrase	Binnick 1979: 43
Kham	 Not initial interrogative phrase	Watters 1973: passim; Watters 1998: passim
Khanty	 Not initial interrogative phrase	Filchenko 2007: 380
Kharia	 Not initial interrogative phrase	
Khasi	 Not initial interrogative phrase	Nagaraja 1985: 12, passim; Rabel 1961: 126-127
Khinalug	 Not initial interrogative phrase	Kibrik 1994b: 406
Khmer	 Not initial interrogative phrase	Gorgoniev 1966: 74, 117
Khün	 Not initial interrogative phrase	Petsuk 1978: passim
Kikuyu	 Not initial interrogative phrase	Barlow 1960: 43
Kilivila	 Initial interrogative phrase	Senft 1986: 111-112
Kiluba	 Not initial interrogative phrase	DeClercq 1929: 31
Kinnauri	 Not initial interrogative phrase	Sharma 1988: 180
Kinyarwanda	 Not initial interrogative phrase	Hurel 1959: 70
Kiowa	 Initial interrogative phrase	Watkins 1984: 213-214
Kiribati	 Not initial interrogative phrase	Cowell 1951: 28, 46; Groves et al. 1985: 64
Kirma	 Not initial interrogative phrase	Prost 1964b: passim
Kisi	 Initial interrogative phrase	Childs 1995: 111
Kiwai (Southern)	 Not initial interrogative phrase	Ray 1933: passim
Klamath	 Initial interrogative phrase	Gatschet 1890: 646; Barker 1964: 342
Klikitat	 Initial interrogative phrase	Jacobs 1931: 270
Kobon	 Not initial interrogative phrase	Davies 1981b: 8ff., 18
Koiali (Mountain)	 Not initial interrogative phrase	Garland and Garland 1975: 431, 444
Koita	 Not initial interrogative phrase	Dutton 1975: passim
Kokota	 Not initial interrogative phrase	Palmer 2002: 520
Kolami	 Not initial interrogative phrase	Emeneau 1955: 91
Kombai	 Not initial interrogative phrase	de Vries 1989: 171
Kombio	 Not initial interrogative phrase	Yi 2008: 24
Konkow	 Initial interrogative phrase	Ultan 1967: 171-172
Konni	 Not initial interrogative phrase	Cahill 1999: 12
Korana	 Initial interrogative phrase	Meinhof 1930: 61
Korean	 Not initial interrogative phrase	Sohn 1999: 265 
Koreguaje	 Initial interrogative phrase	Cook and Criswell 1993: iv
Korku	 Mixed	Drake 1903: 142
Koromfe	 Initial interrogative phrase	Rennison 1997: 17, 28
Korowai	 Not initial interrogative phrase	van Enk and de Vries 1997: passim 
Kosraean	 Not initial interrogative phrase	Lee 1975: 158-164
Koyraboro Senni	 Initial interrogative phrase	Heath 1999a: 228, 237; Prost 1956: 150
Koyra Chiini	 Mixed	Heath 1999b: 177, 183
Krenak	 Not initial interrogative phrase	Seki 2004: 142
Kresh	 Not initial interrogative phrase	Brown 1994: 176
Krongo	 Not initial interrogative phrase	Reh 1985: 365-368
Kugu Nganhcara	 Not initial interrogative phrase	Smith and Johnson 2000: 404-405
Kuman	 Not initial interrogative phrase	Trefry 1969: 22
Kumauni	 Not initial interrogative phrase	Apte and Pattanayak 1967: 40, 60
Kuna	 Not initial interrogative phrase	Gianelli 2001: §7
Kuot	 Not initial interrogative phrase	Chung and Chung 1996: 11
Kurdish (Central)	 Not initial interrogative phrase	Blau 1980: 86-87; Abdulla and McCarus 1967: 140
Kutenai	 Initial interrogative phrase	
Kuuk Thaayorre	 Not initial interrogative phrase	Hall 1972: 113ff
Kuuku Ya'u	 Not initial interrogative phrase	Thompson 1988: 46-47
Kuvi	 Not initial interrogative phrase	Israel 1979: passim
Kwoma	 Not initial interrogative phrase	Kooyers 1974: passim
Kwomtari	 Not initial interrogative phrase	Spencer 2008: 168
Kyaka	 Not initial interrogative phrase	Draper and Draper 2002: 23
Kyirong	 Not initial interrogative phrase	Huber 2005: 143
Kyuquot	 Initial interrogative phrase	Rose 1981: 106
Laal	 Not initial interrogative phrase	Boyeldieu 1982: passim
Labu	 Not initial interrogative phrase	Siegel 1984: 110-111
Ladakhi	 Not initial interrogative phrase	Koshal 1979: passim
Lagwan	 Not initial interrogative phrase	Lukas 1936: 162
Lahu	 Not initial interrogative phrase	Matisoff 1973: 191
Lai	 Not initial interrogative phrase	Hay-Neave 1953: passim
Lakhota	 Not initial interrogative phrase	
Lalo	 Not initial interrogative phrase	Björverud 1998: passim
Lamaholot	 Not initial interrogative phrase	Nishiyama and Kelen 2007: 131
Lamani	 Not initial interrogative phrase	Trail 1970: 63-64
Lamba	 Not initial interrogative phrase	Doke 1922: 152
Lampung	 Not initial interrogative phrase	Walker 1976: passim
Lango	 Not initial interrogative phrase	Noonan 1992: 172
