Language	Value	Reference
Damana	 No dominant order	Trillos Amaya 1999a: 131-136
Dan	 OV	Doneux 1968: 77-79
Dani (Lower Grand Valley)	 OV	Bromley 1981: 96, 321, 323
Danish	 VO	Bredsdorff 1958: 165, 168; Allan et al. 1995: 481, 484 
Dargwa	 OV	Isaev 2004: A
Darma	 OV	Sharma 1989a: 95
Dâw	 OV	Martins 1994: 40, 191
Day	 VO	Nougayrol 1979: passim
Degema	 VO	Kari 1997: 59
Desano	 OV	Miller 1999: 2, 123
Deuri	 OV	Brown 1895: passim
Dhaasanac	 OV	Tosco 2001: 259
Dhargari	 No dominant order	Klokeid 1969: 13
Dharumbal	 OV	Terrill 2002: 47
Dhimal	 OV	Cooper 1999: 30
Didinga	 VO	Tucker and Bryan 1966: 389
Diegueño (Mesa Grande)	 OV	Gorbet 1976: 7; Langdon 1970: 174
Digaro	 OV	Sastry 1984: 169, 174
Dimasa	 OV	Dundas 1908: passim
Dime	 OV	Fleming 1990: 572
Dinka	 No dominant order	Tucker and Bryan 1966: 437; Andersen 1991; Nebel 1948: 9, 25, 42, 75, 82
Diola-Fogny	 VO	Sapir 1965: 25-26, 35-36, 45, 100 
Diyari	 OV	Austin 1981: 148
Djabugay	 OV	Patz 1991: 291
Djambarrpuyngu	 No dominant order	Buchanan 1978: 154, passim; Wilkinson 1991: 606
Djapu	 OV	Morphy 1983: 81-82
Djaru	 No dominant order	Tsunoda 1981: 211, passim
Djinang	 No dominant order	Waters 1989: 206
Djingili	 OV	Chadwick 1975: 85
Dla (Menggwa)	 OV	de Sousa 2006: passim
Dla (Proper)	 OV	Voorhoeve 1971: passim 77
Domaaki	 OV	Lorimer 1939: passim
Domari	 VO	Macalister 1914: passim
Dongo	 No dominant order	Tucker and Bryan 1966: 131
Dong (Southern)	 VO	Long and Zheng 1998: 157, 162, 163, 166, 172
Donno So	 OV	Kervran and Prost 1969: 51, 105-106
Doyayo	 VO	Wiering and Wiering 1994: passim
Drehu	 VO	Moyse-Faurie 1983: 143-148
Duala	 VO	Ittmann 1978: 240
Duka	 VO	Bendor-Samuel et al. 1973: 54
Dulong	 OV	Sun 1982: passim
Duma	 VO	Adam 1954: 113, 115
Dumi	 OV	van Driem 1993: passim
Dumo	 OV	Ross 1980: 98
Duna	 OV	Voorhoeve 1975: 396
Dutch	 No dominant order	Shetter 1958: passim
Dyirbal	 OV	Dixon 1972: 291 
Ebira	 VO	Adive 1989: 70
Edolo	 OV	Gossner 1994: 105
Efate (South)	 VO	Thieberger 2004: 272
Ega	 VO	Richard 1983: passim
Eipo	 OV	Heeschen 1998: 287
Ekari	 OV	Boelaars 1950: 103
Ekoti	 VO	Schadeberg and Mucanheia 2000: passim
Emai	 VO	Schaefer and Egbokhare 2007: 9
Emberá (Northern)	 OV	Loewen 1958: 107-108
Émérillon	 OV	Rose 2003b: 615
Emmi	 No dominant order	Ford 1998: 312
Enets	 OV	Künnap 1999a: 31
Engenni	 VO	Thomas 1978: 65
Enggano	 VO	Kähler 1940: passim 108
English	 VO	
Epena Pedee	 OV	Harms 1994: 9, 11
Erromangan	 VO	Crowley 1998a: 201 
Ese Ejja	 OV	Shoemaker and Shoemaker 1967: 212-213, passim
Esmeraldeño	 VO	Adelaar 2004: 155 
Estonian	 VO	Tauli 1983: 54
Eudeve	 OV	Shaul 1991: 92
Even	 OV	Benzing 1955: 116
Evenki	 OV	Nedjalkov 1997: 69, 129 ; Konstantinova 1968: 84
Ewe	 VO	Ameka 1991: 42, 49
Ewondo	 VO	Redden 1979: 163
Fasu	 OV	Loeweke and May 1980: 46
Fijian	 VO	Dixon 1988: 41 
Finnish	 VO	Sulkala and Karjalainen 1992: 69; Whitney 1973: 241
Foe	 OV	Rule 1977: 34
Folopa	 OV	
Fongbe	 VO	Lefebvre and Brousseau 2002: 5
Fore	 OV	Scott 1978: 113
French	 VO	
Frisian	 No dominant order	Tiersma 1985: 104
Fulfulde (Adamawa)	 VO	Arnott 1970: 27
Fulniô	 OV	Lapenda 1968: 156
Fur	 OV	Beaton 1968: passim; Tucker and Bryan 1966: passim
Futuna-Aniwa	 VO	Dougherty 1983: 43, 115, 118-119; Capell 1958: passim
Fyem	 VO	Nettle 1998: 24, 30
Gã	 VO	Ablorh-Odjidja 1968: passim
Ga'anda	 VO	Newman 1971: passim
Gadsup	 OV	Frantz 1973: 424
Gaelic (Scots)	 VO	Calder 1923: 4
Gahuku	 OV	Deibler 1976: 9
Galo	 OV	Das Gupta 1963: 8
Gamo	 OV	Taylor 1994: 57
Gapapaiwa	 OV	McGuckin 2002: 312
Garífuna	 VO	Taylor 1958: 38
Garo	 OV	Burling 1961: 68
Garrwa	 VO	Mushin 2005: 263
Gavião	 OV	Moore 1984: 34
Gbaya (Southwest)	 VO	Tucker and Bryan 1966: 102
Gbeya Bossangoa	 VO	Samarin 1966: 125
Gela	 VO	Crowley 2002a: 534
Gelao	 VO	Edmondson 2008: 666
Georgian	 OV	Vogt 1971: 221-222, 224
German	 No dominant order	Lederer 1969: 575ff., own knowledge
Gidabal	 No dominant order	Geytenbeek and Geytenbeek 1971: 41
Gimira	 OV	Breeze 1990: 46-47
Gitksan	 No dominant order	Rigsby 1986: 254, 260-261, 281-285
Giziga	 VO	Lukas 1970: 72
Goajiro	 VO	Holmer 1949a: 115
Godoberi	 OV	Kibrik 1996: passim
Goemai	 VO	Hellwig 2003: 41
Gogodala	 OV	Voorhoeve 1975: 354
Gokana	 VO	
Golin	 OV	Bunn 1974: 105, 111-112
Gondi	 OV	Lincoln 1969: 160
Gooniyandi	 OV	McGregor 1990: passim 
Great Andamanese	 OV	Radcliffe-Brown 1948: 504
Grebo	 VO	Innes 1966: 100-103
Greek (Modern)	 VO	Mackridge 1985: 236
Greenlandic (West)	 OV	Fortescue 1984: 93, 96, 181-184
Guahibo	 OV	Queixalós 2000: 43
Guajajara	 VO	Bendor-Samuel 1972: 78
Guaraní	 VO	Gregores and Suarez 1967: 182
Guarijío	 No dominant order	Miller 1996a: 75
Guató	 VO	Rodrigues 1999b: 188
Gude	 VO	Hoskison 1983: 1, 89, 106
Gugada	 OV	Platt 1972: 53, 56, 66; Peile 1971: 40
Guhu-Samane	 OV	Richert 1975: 794
Gujarati	 OV	Cardona 1965: 168-171
Gula (in Central African Republic)	 VO	Nougayrol 1999: 58
Gula Iro	 VO	Pairault 1969: passim
Gumawana	 OV	Olson 1988: 7-8, 96-97, 100
Gumbaynggir	 No dominant order	Eades 1979: passim
Gumuz	 VO	Bender 1979: 50-51; Uzar 1989: 368
Gunbalang	 VO	Coleman 1982: 51
Gungbe	 VO	Hazoume 1979: 75, passim
Gunin	 No dominant order	McGregor 1993: 53
Gureng Gureng	 No dominant order	Brasch 1975: 11D
Gurr-goni	 No dominant order	Green 1995: 238
Gurung	 OV	Glover 1974: 74, 82
Guugu Yimidhirr	 OV	Haviland 1979: 27, 101
Gwari	 No dominant order	Hyman and Magaji 1970: 92
Gworok	 VO	Adwiraah 1989: passim
Gyarong (Cogtse)	 OV	Lin 1993: 356
Haida	 OV	Enrico 2003: 74, 110
Hakka	 VO	Hashimoto 1973: 523 
Halia	 VO	Allen and Allen 1965: passim
Halkomelem (Upriver)	 VO	Galloway 1993: 422
Hamtai	 OV	Oates and Oates 1968: 5
Hanga Hundi	 OV	Wendel 1993: 104
Hani	 OV	Li 1990: 179
Haruai	 OV	
Hatam	 VO	Reesink 1999: 78, 89
Hausa	 VO	Smirnova 1982: 71; Newman 2000: 718; Migeod 1914: 45; Kraft 1963: (Vol. 1) 35, 105, 149, 165
Hawaiian	 VO	Elbert and Pukui 1979: 39-40 
Haya	 VO	Byarushengo 1977: 13
Hayu	 OV	Michailovsky 1988: 133
Hdi	 VO	Frajzyngier and Shay 2002: 5
Hebrew (Modern)	 VO	Glinert 1989: 413 
Hehe	 VO	Velten 1899a: passim
Heiltsuk	 VO	Rath 1981: 85
Hemba	 VO	Vandermeiren 1912: 216-217
Hidatsa	 OV	Matthews 1965: 59
Hiligaynon	 VO	Wolfenden 1975: 69, 89, 108
Hindi	 OV	McGregor 1977: 4
Hixkaryana	 OV	Derbyshire 1979: 40; Derbyshire 1985: 32, 74
Hlai (Baoding)	 VO	Ostapirat 2008: 645
Hmar	 OV	Dutta Baruah and Bapui 1996: passim
Hmong Njua	 VO	Lyman 1979: 26-27
Ho	 OV	Deeney 1975: 14
Err:509	 VO	Anonymous 6: passim
Hoava	 VO	Davis 2003: 185
Holoholo	 VO	Coupez 1955: 130
Hopi	 OV	Kalectaca 1978: 33
Hua	 OV	Haiman 1980: 335 
Hualapai	 OV	Redden 1976: 104; Watahomigie et al. 1982: 49, passim
Huastec	 VO	Edmonson 1988: 565
Huave (San Mateo del Mar)	 VO	Stairs and Hollenbach 1981: 335
Huichol	 OV	
Huitoto (Minica)	 OV	Minor et al. 1982: 40, 64
Huitoto (Murui)	 OV	Burtch and Wise 1968: 18, 15
Hunde	 VO	Kahombo 1992: passim 13, 45
Hungarian	 VO	Kenesei et al. 1998: 73 
Hunzib	 OV	van den Berg 1995: passim
Hup	 OV	Epps 2008: 750
Hupa	 No dominant order	Golla 1970: 295; Goddard 1903: passim
Iaai	 VO	Tryon 1968: 20, 21, passim 63
Iatmul	 OV	Staalsen 1972: 57
Iau	 OV	Bateman 1986: passim
Iban	 VO	Omar 1981: 215
Icelandic	 VO	Einarsson 1945: 172
Idoma	 No dominant order	Abraham 1951: 18
Idu	 OV	Pulu 1978: passim
Iduna	 OV	Huckett 1974: 113
Ifira-Mele	 VO	
Ifugao (Batad)	 VO	Newell 1993: passim
Ifumu	 VO	Makouta Mboukou 1977: 432-433, 471
Igbo	 VO	Carrell 1970: 2
Igede	 VO	Bergman 1981: 23
Ignaciano	 VO	Ott and Ott 1967b: 88-89
Iha	 OV	Voorhoeve 1975: passim
Ijo (Kolokuma)	 OV	Williamson 1965: 33-35, 71 
Ik	 VO	Tucker 1973: 41; Serzisko 1989: 387
Ika	 OV	Frank 1990: 3, 115-116, 123
Ila	 VO	Smith 1907: 236
Ilocano	 VO	Rubino 1998b: 13
Imonda	 OV	Seiler 1985: 179
Inanwatan	 No dominant order	de Vries 1996: 52-53
Indonesian	 VO	Macdonald 1976: 141 ; Sneddon 1996a: 256 
Ingessana	 VO	Bender 1989: 166
Innamincka	 OV	Breen 2004: 47
Iquito	 VO	Eastman and Eastman 1963: 158
Iranxe	 OV	Meader 1967: 60
Iraqw	 OV	Nordbustad 1988: 301, 304; Tucker and Bryan 1966: 590; Whiteley 1958: 63
Irarutu	 VO	Matsumura 1991a: 77
Irish	 VO	Stenson 1981: 40; Ó Dochartaigh 1992: 37
I'saka	 OV	Donohue and San Roque 2002: 78
Isirawa	 OV	Oguri 1985: 143
Italian	 VO	Maiden and Robustelli 2000: 354; Sauer 1891: 301; Vincent 1988: 305
Itelmen	 OV	Volodin 1976: passim
Itonama	 VO	Camp and Liccardi 1967: 261, 264
Iwaidja	 VO	Capell 1962b: 165
Iwam	 OV	Conrad 1971: passim
Iwoyo	 VO	Mingas 1994: 44
Ixil	 VO	Elliot 1960: 134
Izere	 VO	Lukas and Willms 1961: 11
Izi	 VO	Meier et al. 1975: 140-141
Jabêm	 VO	Dempwolff 1939: 68-69
Jabutí	 OV	Aikhenvald and Dixon 1999: 358
Jad	 OV	Sharma 1989c: 74
Jakaltek	 VO	Day 1973: 64; Craig 1977: 8
Jaminjung	 No dominant order	Schultze-Berndt 2000: passim
Jamsay	 OV	Heath 2008: 17
Japanese	 OV	Hinds 1986: 75; Shibatani 1990: 257, 259 
Jarawa (in Andamans)	 OV	Kumar 2003: passim
Jarawara	 OV	Dixon 2003: 165
Jebero	 No dominant order	Bendor-Samuel 1961b: passim
Jingpho	 OV	Hertz 1917: 4
Jino	 OV	Gai 1986: 95
Jivaro	 OV	Beuchat and Rivet 1909: 822
Johari	 OV	Sharma 1989a: 249
Jugli	 OV	Rekhung 1988a: passim
Ju|'hoan	 VO	Dickens 1992: 1; Snyman 1970: 182
Jukun	 VO	Shimuzu 1980: 200, 314-315; Welmers 1968b: 27
Jur Mödö	 VO	Persson and Persson 1991: 8; Persson 1981: 110
Kabardian	 OV	Colarusso 1989: 332
Kabatei	 OV	Stilo 2005: passim
Kabiyé	 VO	Lebikaza 1999: 394
Kabyle	 VO	Chaker 1983: 267, 279, 286
Kachari	 OV	Endle 1884: 40
Kadazan	 VO	Antonissen 1958: 37
Kadiwéu	 VO	Sandalo 1997: 60
Kadugli	 VO	Matsushita 1986: 111, 113; Kutoado 1969: 56-57
Kagulu	 VO	Last 1886: passim
Kaingang	 OV	Wiesemann 1972: 145; Henry 1948: 197
Kairiru	 OV	Wivell 1981: 138
Kaki Ae	 OV	Clifton 1997: 21
Kalam	 OV	Pawley 1966: 131, 132-149
Kalispel	 VO	Vogt 1940: 78
Kalkatungu	 OV	Blake 1969: 66
Kalmyk	 OV	Street 1959: 98
Kaluli	 OV	Schieffelin and Feld 1998: xix
Kamaiurá	 OV	Seki 2000: 154
Kamasau	 OV	Sanders and Sanders 1994: 5
Kamass	 OV	Künnap 1999b: 32
Kamba	 VO	Whiteley and Muli 1962: passim
Kambera	 VO	Klamer 1998: 85
