Language	Value	Reference
Anywa	 Demonstrative suffix	Lusted 1976: 500
Ao	 Noun-Demonstrative	Gowda 1975: 63; Mills 1926: 346
Apache (Western)	 Demonstrative-Noun	Edgerton 1963: 117
Apatani	 Demonstrative-Noun	Abraham 1985: 29, 125
Apinayé	 Noun-Demonstrative	Callow 1962: 126
Apurinã	 Demonstrative-Noun	Facundes 2000: 458
Arabic (Egyptian)	 Noun-Demonstrative	Gary and Gamal-Eldin 1982: 32-33, 85-86
Arabic (Gulf)	 Mixed	Holes 1990: 62, 175 
Arabic (Kuwaiti)	 Mixed	
Arabic (Modern Standard)	 Demonstrative-Noun	Haywood and Nahmad 1965: 81; Cowan 1958: passim 
Arabic (Moroccan)	 Demonstrative-Noun	Harrell 1962: 147-148, 190 
Arabic (Syrian)	 Mixed	Cowell 1964: 552, 556 
Araona	 Demonstrative-Noun	Pitman 1980: 77-78
Arapesh (Abu)	 Noun-Demonstrative	Nekitel 1985: 95
Arapesh (Mountain)	 Demonstrative-Noun	Conrad and Wogiga 1991: 57
Archi	 Demonstrative-Noun	Kibrik et al. 1977: (III) 195
Armenian (Eastern)	 Demonstrative-Noun	Stevick 1955: 55-56
Armenian (Western)	 Demonstrative-Noun	Gulian 1965: 22-23
Arop-Lokep	 Noun-Demonstrative	D'Jernes 2002: 252
Arosi	 Noun-Demonstrative	Lynch and Horoi 2002: 565
Arrernte (Mparntwe)	 Noun-Demonstrative	Wilkins 1989: 102
Arrernte (Western)	 Noun-Demonstrative	Strehlow 1944: 57
Asmat	 Demonstrative-Noun	Voorhoeve 1965: 133, 152-156
Assamese	 Demonstrative-Noun	Goswami and Tamuli 2003: 433
Atakapa	 Demonstrative-Noun	Gatschet and Swanton 1932: passim
Atayal	 Noun-Demonstrative	Rau 1992: 127
Athpare	 Demonstrative-Noun	Ebert 1997b: passim 108
Atsugewi	 Demonstrative-Noun	Walters 1977: passim
Au	 Noun-Demonstrative	Scorza 1985: 240
Avar	 Demonstrative-Noun	Bokarev 1949b: passim
Avikam	 Noun-Demonstrative	Schang 1995: 21
Avokaya	 Noun-Demonstrative	Kilpatrick 1984: passim
Awa	 Demonstrative-Noun	Loving 1973: 80
Awa Pit	 Demonstrative-Noun	Curnow 1997: 94, 117
Awtuw	 Demonstrative-Noun	Feldman 1986: 116, passim
Ayiwo	 Noun-Demonstrative	Wurm et al. 1985: passim
Aymara (Central)	 Demonstrative-Noun	Ebbing 1965: 13; Wexler 1967: passim
Babungo	 Noun-Demonstrative	Schaub 1985: 73
Badimaya	 Demonstrative-Noun	Dunn 1988: 56
Bafia	 Noun-Demonstrative	Guarisma 1973: 170, 210
Baga Sitemu	 Noun-Demonstrative	Ganong 1998: 28
Bagirmi	 Noun-Demonstrative	Stevenson 1969: 39
Bagiro	 Noun-Demonstrative	Boyeldieu 2000: 95-96
Baham	 Noun-Demonstrative	Flassy et al. 1984: 76
Bai	 Noun-Demonstrative	Wiersma 2003: 669
Bajau (Sama)	 Noun-Demonstrative	Verheijen 1986: passim
Bajau (West Coast)	 Noun-Demonstrative	Miller 2007: 312, 318, 319 
Baka (in Cameroon)	 Noun-Demonstrative	Kilian-Hatz 1989: xiii; Kilian-Hatz 1995: 22
Baka (in South Sudan)	 Noun-Demonstrative	Santandrea 1976: 87, 91
Bakueri	 Demonstrative-Noun	Kagaya 1992: 13, 25-26
Balangao	 Demonstrative-Noun	Shetler 1976: passim
Balanta	 Noun-Demonstrative	Fudemann 1999: 202-203
Bali-Vitu	 Noun-Demonstrative	Ross 2002c: 369
Balti	 Demonstrative-Noun	Read 1934: 23, 69
Bambara	 Mixed	Bird et al. 1977: 135
Bandjalang	 Demonstrative-Noun	Crowley 1978: 31, 70ff
Banoni	 Demonstrative-Noun	Lincoln 1976: 108, passim
Baoulé	 Noun-Demonstrative	Carteron 1972: 34, 79
Baragaunle	 Demonstrative-Noun	Kretschmar 1995: 203
Barai	 Noun-Demonstrative	Olson 1975: 490
Barambu	 Noun-Demonstrative	Tucker and Bryan 1966: 149; Santandrea 1965b: 98
Barasano	 Demonstrative-Noun	Smith 1973: 21-22, 24-25; Garcia and Sanchez 1975: 27; Jones and Jones 1991: 4
Baré	 Demonstrative-Noun	Aikhenvald 1996: 24, 40
Bari	 Demonstrative-Noun	Spagnolo 1933: 85
Barupu	 Noun-Demonstrative	Corris 2005: 133, 147ff
Baruya	 Noun-Demonstrative	Lloyd 1969: 51ff; Lloyd 1989: 4
Basaá	 Noun-Demonstrative	Schürle 1912: 54
Bashkir	 Demonstrative-Noun	Poppe 1964: 80-81
Basque	 Noun-Demonstrative	Hualde and Ortiz de Urbina 2003: 113, 118
Batak (Karo)	 Noun-Demonstrative	Woollams 1996: 106, 145
Batak (Toba)	 Noun-Demonstrative	Nababan 1981: 108, passim; Percival 1981: 91; van der Tuuk 1864: passim 
Baure	 Demonstrative-Noun	Baptista and Wallin 1967: passim
Bawm	 Noun-Demonstrative	Reichle 1981: 49, 136-137
Beja	 Demonstrative before and after Noun	Reinisch 1893: 113
Bella Coola	 Noun-Demonstrative	Davis and Saunders 1997: 86
Belorussian	 Demonstrative-Noun	Mayo 1993: 926
Bemba	 Mixed	van Sambeek 1955: 35
Berber (Ayt Seghrouchen Middle Atlas)	 Noun-Demonstrative	Bentolila 1981: 58
Berber (Chaouia)	 Noun-Demonstrative	Penchoen 1973a: 13-15
Berber (Figuig)	 Demonstrative-Noun	Kossmann 1997: 85, 192, 236
Berber (Middle Atlas)	 Mixed	Abdel-Massih 1971: 69-70; Penchoen 1973b: 21-22, 65
Berber (Rif)	 Noun-Demonstrative	Kossmann 2000: 154 
Berber (Siwa)	 Noun-Demonstrative	Basset 1890: 17
Beria	 Noun-Demonstrative	Crass and Jakobi 2004: 133, 136
Berta	 Demonstrative suffix	Triulzi et al. 1976a: 524
Bhojpuri	 Demonstrative-Noun	Shukla 1981: 84, 87
Biak	 Noun-Demonstrative	van den Heuvel 2006: 201
Bidiya	 Noun-Demonstrative	Alio 1986: 213
Bilinarra	 Demonstrative-Noun	Nordlinger 1990: 48
Biloxi	 Noun-Demonstrative	Einaudi 1976: passim
Bilua	 Demonstrative-Noun	Obata 2003
Bimoba	 Noun-Demonstrative	Jacobs 1970: 154
Binandere	 Noun-Demonstrative	Wilson 1996: 66-68, 82
Binga	 Demonstrative suffix	Santandrea 1956: passim
Bini	 Noun-Demonstrative	Dunn 1968: 209
Bininj Gun-Wok	 Mixed	Evans 2004
Biri	 Demonstrative-Noun	Terrill 1998: 29
Birom	 Noun-Demonstrative	Bouquiaux 1970: 275, 344, 349
Blackfoot	 Demonstrative-Noun	Taylor 1969b: 201, passim; Uhlenbeck 1938: 237, passim
Bobo Madaré (Northern)	 Mixed	Prost 1983: passim
Bodo	 Demonstrative-Noun	Bhattacharya 1977: 122; Subbarao et al 2000: passim
Bolia	 Noun-Demonstrative	Mamet 1960: 33
Bongo	 Demonstrative before and after Noun	Santandrea 1963: 42
Bori	 Demonstrative before and after Noun	Megu 1988: passim
Brahui	 Demonstrative-Noun	Bray 1909: 84
Brao	 Noun-Demonstrative	Keller 1976: 29
Breton	 Noun-Demonstrative	Ternes 1970: 213; Press 1986: 104
Bribri	 Noun-Demonstrative	Margery Peña 1982: xxi
Brokskat	 Demonstrative-Noun	Ramaswami 1982: 86
Bubi	 Demonstrative-Noun	Abad 1928: 32
Budu	 Noun-Demonstrative	Asangama 1983: 257-259
Buduma	 Noun-Demonstrative	Lukas and Nachtigal 1939: 44
Bugis	 Noun-Demonstrative	Samsuri 1965: 37
Bujeba	 Noun-Demonstrative	Gonzalez Echegaray 1960: 91
Bulgarian	 Demonstrative-Noun	Scatton 1984: 40, passim
Buma	 Noun-Demonstrative	Tryon 2002: 575
Bunuba	 Demonstrative-Noun	Rumsey 2000: 112-114
Bunu (Younuo)	 Noun-Demonstrative	Mao and Tsu-yao 1972: 249
Buriat	 Demonstrative-Noun	Poppe 1960: 110
Burmese	 Demonstrative-Noun	Okell 1969: 102
Buru	 Noun-Demonstrative	Grimes 1991: 177-178, 183-184
Burunge	 Demonstrative suffix	Kiessling 1994: 79
Burushaski	 Demonstrative-Noun	Lorimer 1935: passim
Bushoong	 Noun-Demonstrative	Edmiston 1932: 71
Bwele	 Noun-Demonstrative	Twilingiyimana 1984: 49
Byansi	 Demonstrative-Noun	Trivedi 1991: 24, 44
Cakchiquel	 Demonstrative-Noun	García Matzar and Rodríguez Guaján 1997: 246
Camling	 Demonstrative-Noun	Ebert 1997a: 52, passim
Canamarí	 Demonstrative-Noun	
Canela	 Noun-Demonstrative	Popjes and Popjes 1986: 170-172
Cantonese	 Demonstrative-Noun	Matthews and Yip 1994: 88 
Carapana	 Demonstrative-Noun	Metzger 1981: 157
Carib	 Demonstrative-Noun	Hoff 1968: passim
Carib (De'kwana)	 Demonstrative-Noun	Hall 1988: 50
Cashibo	 Demonstrative-Noun	Abreu 1914: 15
Catalan	 Demonstrative-Noun	Hualde 1992: 121
Cayapa	 Demonstrative-Noun	Abrahamson 1962: 229
Cayuvava	 Demonstrative-Noun	Key 1967: 62, passim
Cèmuhî	 Noun-Demonstrative	Lynch 2002c: 756
Chaha	 Noun-Demonstrative	Leslau 1950: 18
Chai	 Demonstrative before and after Noun	Last and Lucassen 1998: 400
Chaldean (Modern)	 Demonstrative-Noun	Sara 1974: 101
Cham (Eastern)	 Noun-Demonstrative	Aymonier 1889: 48, 74
Chamorro	 Demonstrative-Noun	Topping 1973: passim 
Chang	 Demonstrative-Noun	Hutton 1987: 7, 15, 47
Chantyal	 Demonstrative-Noun	Noonan 2003b: 329
Chatino (Sierra Occidental)	 Noun-Demonstrative	Pride 1965: 29, 31
Chatino (Yaitepec)	 Noun-Demonstrative	Rasch 2002: 82, 111
Chaudangsi	 Demonstrative-Noun	Sharma 1989a: 149
Chechen	 Demonstrative-Noun	Nichols 1994a: 54
Chemehuevi	 Mixed	Press 1979: 34, 55, 121
Chepang	 Demonstrative-Noun	Caughley 1982: 40-41
Cherokee	 Demonstrative-Noun	Scancarelli 1986: 226; Scancarelli 1987: 173
Chichewa	 Noun-Demonstrative	Mchombo 2004: 24 
Chimariko	 Mixed	
Chinantec (Comaltepec)	 Noun-Demonstrative	Anderson 1989: 65
Chinantec (Lealao)	 Noun-Demonstrative	Rupp 1989: 73
Chinantec (Palantla)	 Noun-Demonstrative	Merrifield 1968: 55, 63, passim
Chinantec (Quiotepec)	 Mixed	Robbins 1968: 54, passim
Chin (Mara)	 Demonstrative before and after Noun	Lorrain 1951: passim 23, passim; Savidge 1908: 9
Chinook (Lower)	 Demonstrative-Noun	Boas 1911b: passim
Chin (Siyin)	 Demonstrative-Noun	Naylor 1925: 7
Chin (Tiddim)	 Demonstrative-Noun	Henderson 1965: passim
Chipaya	 Demonstrative-Noun	Cerron Palomino 2006: 195
Chipewyan	 Demonstrative-Noun	Richardson 1968: 9
Choctaw	 Noun-Demonstrative	Davies 1981c: 17-19; Nicklas 1979: 27-28, 34
Cholón	 Demonstrative-Noun	Alexander Bakkerus 2005: 160
Chontal Maya	 Demonstrative before and after Noun	Knowles 1984: 208, 302
Chrau	 Noun-Demonstrative	Thomas 1971: 127, 139
Chuj	 Noun-Demonstrative	Hopkins 1967: 152
Chukchi	 Demonstrative-Noun	Dunn 1999: passim 161ff
Chumash (Barbareño)	 Demonstrative prefix	Beeler 1976: 257
Chuvash	 Demonstrative-Noun	Krueger 1961: passim 182
Cocama	 Demonstrative-Noun	Faust 1972: 36
Coeur d'Alene	 Noun-Demonstrative	Doak 1997: 46, 214ff
Comanche	 Demonstrative-Noun	Charney 1993: 92; Wistrand-Robinson and Armagost 1990: 296; Canonge 1958: passim
Comox	 Demonstrative prefix	Hagège 1981: 134
Coos (Hanis)	 Demonstrative-Noun	Frachtenberg 1913: passim
Coptic	 Mixed	Lambdin 1983: 8, 12, 57 
Cora	 Demonstrative-Noun	Casad 1984: 246
Cornish	 Noun-Demonstrative	Jenner 1904: 111
Cree (Plains)	 Demonstrative-Noun	Wolfart 1973: passim
Cree (Swampy)	 Demonstrative-Noun	Ellis 1975: passim 
Crow	 Noun-Demonstrative	Lowie 1941: 65
Cupeño	 Demonstrative-Noun	Hill 2005: 349
Czech	 Demonstrative-Noun	Harkins 1953: 18, 20, 22
Dadjriwalé	 Noun-Demonstrative	Gode 2008: 119-120
Daga	 Noun-Demonstrative	Murane 1974: 89
Dagaare	 Noun-Demonstrative	Bodomo 1997: 50
Dagbani	 Noun-Demonstrative	Olawsky 1999: 39, 41
Dagur	 Demonstrative-Noun	Martin 1961: passim
Dan	 Noun-Demonstrative	Doneux 1968: 38
Dani (Lower Grand Valley)	 Noun-Demonstrative	Bromley 1981: passim
Danish	 Demonstrative-Noun	Koefoed 1958: passim 173-174; Bredsdorff 1958: passim
Darma	 Demonstrative-Noun	Sharma 1989a: 60, 96
Dâw	 Demonstrative-Noun	Martins 1994: 45
Day	 Noun-Demonstrative	Nougayrol 1979: 119, 122-123
Degema	 Noun-Demonstrative	Kari 1997: 29-30
Desano	 Demonstrative-Noun	Miller 1999: 5
Dhaasanac	 Noun-Demonstrative	Tosco 2001: 252
Dhargari	 Mixed	Klokeid 1969: passim
Dhimal	 Demonstrative-Noun	Cooper 1999: 30
Dhivehi	 Demonstrative-Noun	Cain and Gair 2000: 33
Didinga	 Noun-Demonstrative	Tucker and Bryan 1966: 390-391
Diegueño (Mesa Grande)	 Noun-Demonstrative	Couro and Langdon 1975: 24-25; Langdon 1970: 171
Dimasa	 Demonstrative-Noun	Dundas 1908: passim
Dime	 Noun-Demonstrative	Fleming 1990: 526-527
Ding	 Noun-Demonstrative	Mertens 1934: 63
Dinka	 Demonstrative suffix	Nebel 1948: passim; Tucker and Bryan 1966: 421
Diola-Fogny	 Noun-Demonstrative	Sapir 1965: 87 
Diyari	 Demonstrative-Noun	Austin 1981: 97-98
Djabugay	 Mixed	Patz 1991: passim
Djambarrpuyngu	 Demonstrative-Noun	Buchanan 1978: passim
Djapu	 Demonstrative-Noun	Morphy 1983: 84, 87
Djaru	 Demonstrative-Noun	Tsunoda 1981: 95
Djinang	 Demonstrative-Noun	Waters 1989: 197
Dla (Menggwa)	 Demonstrative-Noun	de Sousa 2006: passim
Dla (Proper)	 Mixed	Voorhoeve 1971: 76
Domari	 Demonstrative-Noun	Macalister 1914: 8, 23
Dongo	 Noun-Demonstrative	Tucker and Bryan 1966: 121
Dong (Southern)	 Noun-Demonstrative	Long and Zheng 1998: 119, 155
Donno So	 Noun-Demonstrative	Kervran and Prost 1969: 32
Drehu	 Noun-Demonstrative	Tryon 1967a: 57
Duala	 Demonstrative-Noun	Ittmann 1978: 81, 241
Duka	 Demonstrative-Noun	Bendor-Samuel et al. 1973: 141
Dulong	 Demonstrative-Noun	Sun 1982: passim
Duma	 Noun-Demonstrative	Adam 1954: 126
Dumi	 Demonstrative-Noun	van Driem 1993: passim
Dumo	 Noun-Demonstrative	Ross 1980: 84
Duna	 Noun-Demonstrative	
Dutch	 Demonstrative-Noun	Shetter 1958: passim
Dyirbal	 Demonstrative-Noun	Dixon 1972: 291 
Edolo	 Noun-Demonstrative	Gossner 1994: 91
Efate (South)	 Noun-Demonstrative	
Efik	 Noun-Demonstrative	Welmers 1968a: 10
Ega	 Noun-Demonstrative	Richard 1983: passim
Eipo	 Mixed	Heeschen 1998: passim
Emai	 Noun-Demonstrative	Schaefer and Egbokhare 2007: 10
Emberá (Northern)	 Demonstrative-Noun	Loewen 1958: 82, 113
Émérillon	 Demonstrative-Noun	Rose 2003b: 224
Engenni	 Noun-Demonstrative	Thomas 1978: 114
Enggano	 Noun-Demonstrative	Kähler 1940: 92
English	 Demonstrative-Noun	
Epena Pedee	 Demonstrative-Noun	Harms 1994: 13, 23
Erromangan	 Noun-Demonstrative	Crowley 1998a: 161 
Estonian	 Demonstrative-Noun	Tauli 1983: 189; de Sivers 1969: 248
Eudeve	 Demonstrative-Noun	Shaul 1991: 71, passim
Evenki	 Demonstrative-Noun	Nedjalkov 1997: 83 ; Konstantinova 1968: 84, 76, 83
Ewe	 Noun-Demonstrative	Warburton et al. 1968: 17; Ameka 1991: 45
Ewondo	 Noun-Demonstrative	Redden 1979: passim
Fasu	 Noun-Demonstrative	Loeweke and May 1980: 27
Fijian	 Noun-Demonstrative	Dixon 1988: 36, 62, 112 
Finnish	 Demonstrative-Noun	Sulkala and Karjalainen 1992: 90
Foe	 Noun-Demonstrative	Rule 1977: 47
Folopa	 Demonstrative-Noun	
Fongbe	 Noun-Demonstrative	Lefebvre and Brousseau 2002: 41-43
Fore	 Demonstrative-Noun	Scott 1978: passim
French	 Demonstrative-Noun	
Frisian	 Demonstrative-Noun	Tiersma 1985: 47, passim
Fulfulde (Adamawa)	 Noun-Demonstrative	Taylor 1953: 30, 37; Stennes 1967: 120, 198, 200-202
Fur	 Demonstrative-Noun	Tucker and Bryan 1966: 224; Beaton 1968: 76
Futuna-Aniwa	 Noun-Demonstrative	Dougherty 1983: 29-30; Capell 1958: passim
Fyem	 Noun-Demonstrative	Nettle 1998: 22-23
Gã	 Demonstrative-Noun	Ablorh-Odjidja 1968: 114
Gaagudju	 Demonstrative-Noun	Harvey 2002: 316
Ga'anda	 Noun-Demonstrative	Newman 1971: 81, 88-89
Gaelic (Scots)	 Noun-Demonstrative	Calder 1923: passim 172
Gamo	 Demonstrative-Noun	Taylor 1994: 57
Garífuna	 Noun-Demonstrative	Taylor 1958: 37
Garo	 Demonstrative-Noun	Burling 1961: 49, passim
Garrwa	 Demonstrative-Noun	Furby and Furby 1977: passim
Gavião	 Demonstrative-Noun	Moore 1984: 35, 142
Gbaya (Southwest)	 Noun-Demonstrative	Tucker and Bryan 1966: 92
Gbeya Bossangoa	 Noun-Demonstrative	Samarin 1966: 83, 121-123
Gela	 Noun-Demonstrative	Crowley 2002a: 529
Gelao	 Noun-Demonstrative	Edmondson 2008: 667
Georgian	 Demonstrative-Noun	Vogt 1971: 220, 54
German	 Demonstrative-Noun	Lederer 1969: 604
Gidabal	 Demonstrative-Noun	Geytenbeek and Geytenbeek 1971: passim
Gimira	 Noun-Demonstrative	Breeze 1990: 39
Goajiro	 Noun-Demonstrative	Holmer 1949a: 118; Ehrman 1972a: 38, 43
Godoberi	 Demonstrative-Noun	Kibrik 1996: 149
Goemai	 Noun-Demonstrative	Hellwig 2003: 31
Gokana	 Noun-Demonstrative	
Golin	 Noun-Demonstrative	Bunn 1974: 79
Gondi	 Demonstrative-Noun	Subrahmanyam 1968: 86-88; Lincoln 1969: 145, 150
Gooniyandi	 Demonstrative-Noun	McGregor 1990: 144, 251, 269 
Grebo	 Noun-Demonstrative	Innes 1966: 45
Greek (Modern)	 Demonstrative-Noun	Mackridge 1985: 193
Greenlandic (West)	 Mixed	Fortescue 1984: 110
Guajajara	 Demonstrative-Noun	Bendor-Samuel 1972: 105, 110-111
Guaraní	 Demonstrative-Noun	Gregores and Suarez 1967: 150
Guarijío	 Demonstrative-Noun	Miller 1996a: 235
Guató	 Demonstrative-Noun	Rodrigues 1999b: 192
Gude	 Demonstrative suffix	Hoskison 1983: 45
Gugada	 Noun-Demonstrative	Platt 1972: 60ff
Gujarati	 Demonstrative-Noun	Cardona 1965: 87
Gula (in Central African Republic)	 Noun-Demonstrative	Nougayrol 1999: 93
Gumawana	 Noun-Demonstrative	Olson 1988: 83
Gumuz	 Noun-Demonstrative	Bender 1979: 45
Gunbalang	 Demonstrative-Noun	Coleman 1982: 55
Gunin	 Noun-Demonstrative	McGregor 1993: 50
Gureng Gureng	 Mixed	Brasch 1975: 37C, passim
Gurr-goni	 Demonstrative-Noun	Green 1995: 78
Gurung	 Demonstrative-Noun	Glover 1974: 96-97
Guugu Yimidhirr	 Demonstrative-Noun	Haviland 1979: 104
Gwari	 Noun-Demonstrative	Hyman and Magaji 1970: 41, 46
Gworok	 Noun-Demonstrative	Adwiraah 1989: 69
Gyarong (Cogtse)	 Demonstrative-Noun	Lin 1993: 352, passim
Haida	 Demonstrative-Noun	Enrico 2003: 657
Hakka	 Demonstrative-Noun	Hashimoto 1973: 442, 466 
Halia	 Noun-Demonstrative	Allen and Allen 1965: passim
Halkomelem (Upriver)	 Demonstrative-Noun	Galloway 1993: 415
Hamtai	 Noun-Demonstrative	Oates and Oates 1968: 14
Hanga Hundi	 Demonstrative-Noun	Wendel 1993: 119
Hani	 Noun-Demonstrative	Lewis and Bibo 1996: passim; Li 1990: 155-156
Hatam	 Noun-Demonstrative	Reesink 1999: 79
Hausa	 Mixed	Migeod 1914: passim
Hawaiian	 Demonstrative-Noun	Elbert and Pukui 1979: 41 
Hawrami	 Demonstrative-Noun	MacKenzie 1966: 21
Haya	 Noun-Demonstrative	Byarushengo 1977: 13
Hayu	 Demonstrative-Noun	Michailovsky 1988: 164-166
Hdi	 Demonstrative before and after Noun	Frajzyngier and Shay 2002: 85
Hebrew (Modern)	 Noun-Demonstrative	Glinert 1989: 98 
Heiltsuk	 Demonstrative-Noun	Rath 1981: 87
Hemba	 Noun-Demonstrative	Vandermeiren 1912: 61-62
Hidatsa	 Noun-Demonstrative	Matthews 1965: 167
Hiligaynon	 Demonstrative-Noun	Wolfenden 1975: passim
Hindi	 Demonstrative-Noun	McGregor 1977: 8
Hlai (Baoding)	 Noun-Demonstrative	Ostapirat 2008: 646
Hmar	 Demonstrative before and after Noun	Dutta Baruah and Bapui 1996: 54, 118
Hmong Njua	 Noun-Demonstrative	Lyman 1979: passim; Harriehausen 1990: 139
Err:509	 Noun-Demonstrative	Anonymous 6: passim
Hoava	 Noun-Demonstrative	"Davis 2003: """"34"
Holoholo	 Mixed	Coupez 1955: 120
Hopi	 Demonstrative-Noun	Kalectaca 1978: 29
Hua	 Demonstrative-Noun	Haiman 1980: 257-258 
Hualapai	 Mixed	Watahomigie et al. 1982: passim
Huastec	 Demonstrative-Noun	Edmonson 1988: 514-516
Huave (San Mateo del Mar)	 Demonstrative-Noun	Stairs and Hollenbach 1981: 310
Huitoto (Minica)	 Demonstrative-Noun	Minor et al. 1982: 42, passim
Hunde	 Noun-Demonstrative	Kahombo 1992: 85, 115
Hungarian	 Demonstrative-Noun	Benkö and Imre 1972: 89, 166; Kenesei et al. 1998: 95 
Hunzib	 Demonstrative-Noun	van den Berg 1995: 117
Hup	 Demonstrative-Noun	Epps 2008: 284
Hupa	 Demonstrative-Noun	Goddard 1903: passim
Iaai	 Noun-Demonstrative	Tryon 1968: 65, 74
Iau	 Noun-Demonstrative	Bateman 1986: passim
Iban	 Noun-Demonstrative	Omar 1981: 120, 185, 199, passim
Icelandic	 Demonstrative-Noun	Einarsson 1945: passim
Idoma	 Noun-Demonstrative	Abraham 1951: 14
Idu	 Demonstrative-Noun	Pulu 1978: 17
Iduna	 Demonstrative-Noun	Huckett 1974: 90
Ifira-Mele	 Noun-Demonstrative	Clark 2002: 685
Ifugao (Batad)	 Demonstrative-Noun	Newell 1993: passim
Ifumu	 Noun-Demonstrative	Makouta Mboukou 1977: passim
Igbo	 Noun-Demonstrative	Emenanjo 1978: 72
Igede	 Noun-Demonstrative	Bergman 1981: 18
Ijo (Kolokuma)	 Demonstrative-Noun	Williamson 1965: 41 
Ik	 Demonstrative suffix	Tucker 1972: 191
Ila	 Noun-Demonstrative	Smith 1907: 105, 234
Ilocano	 Demonstrative-Noun	Rubino 1998b: 31
Imonda	 Mixed	Seiler 1985: 61
Indonesian	 Noun-Demonstrative	Macdonald 1976: 89 ; Danusugondo 1975: passim
Ingessana	 Demonstrative suffix	Bender 1989: 159
Ingush	 Demonstrative-Noun	Nichols 1994b
Innamincka	 Noun-Demonstrative	Breen 2004: passim
Iquito	 Demonstrative-Noun	Eastman and Eastman 1963: 173
Iraqw	 Noun-Demonstrative	Nordbustad 1988: 311; Whiteley 1958: 63; Tucker and Bryan 1966: 590
Irarutu	 Noun-Demonstrative	Matsumura 1991a: 105, 107
Irish	 Noun-Demonstrative	Stenson 1981: 28; Ó Dochartaigh 1992: 54
I'saka	 Noun-Demonstrative	Donohue and San Roque 2002: 83
Italian	 Demonstrative-Noun	Maiden and Robustelli 2000: 48; Sauer 1891: 19-20, 49-50
Itelmen	 Demonstrative-Noun	Volodin 1976: passim
Itonama	 Demonstrative-Noun	Camp and Liccardi 1967: 273
Iwaidja	 Demonstrative-Noun	Capell 1962b: 161
Iwoyo	 Noun-Demonstrative	Mingas 1994: 197
Izere	 Noun-Demonstrative	Lukas and Willms 1961: 22
Izi	 Noun-Demonstrative	Meier et al. 1975: 162-163
Jabêm	 Noun-Demonstrative	Dempwolff 1939: 30-31, 74
