Language	Value	Reference
Badimaya	 No dominant order	Dunn 1988: 105-107
Bagirmi	 VOX	Stevenson 1969: 62-65
Bagiro	 VOX	Boyeldieu 2000: 214
Bai	 No dominant order	Xu and Zhao 1984: passim; Fitzgerald 1941: passim
Baka (in Cameroon)	 VOX	Kilian-Hatz 1995: 28
Bambara	 OVX	Bird and Kante 1976: passim
Barasano	 OXV	Garcia and Sanchez 1975: 122
Barupu	 OVX	Corris 2005: 180, 182
Basaá	 VOX	Hyman 2003: 277
Basque	 XOV	Saltarelli et al. 1988: 67; Lafitte 1962: 46
Batak (Karo)	 VOX	Woollams 1996: 242
Batak (Toba)	 VOX	Nababan 1981: 115
Bauzi	 XOV	Briley 1997: 1
Bawm	 OXV	Reichle 1981: 33
Belorussian	 No dominant order	Mayo 1993: 924
Bengali	 XOV	Dasgupta 2003: 375
Berber (Figuig)	 VOX	Kossmann 1997: 301
Berber (Middle Atlas)	 VOX	Penchoen 1973b: 54-55
Berber (Rif)	 VOX	Kossmann 2000: passim 
Bhojpuri	 XOV	Shukla 1981: 161
Biak	 VOX	van den Heuvel 2006: 284
Bimoba	 VOX	Jacobs 1970: 80, 139-140, 143-149
Bini	 VOX	Dunn 1968: 218
Bininj Gun-Wok	 OVX	Evans 2004
Birom	 VOX	Bouquiaux 1970: passim
Bororo	 No dominant order	Huestis 1963: 236
Bribri	 OVX	Margery Peña 1982: lxxi
Buduma	 VOX	Lukas and Nachtigal 1939: 74
Bularnu	 No dominant order	Breen 1980: 87
Bulgarian	 VOX	Scatton 1984: 374
Bunuba	 No dominant order	Rumsey 2000: passim
Burmese	 No dominant order	Okell 1969: passim
Buru	 VOX	Grimes 1991: 352
Burunge	 No dominant order	Kiessling 1994: 207
Busa	 OVX	Wedekind 1972: 54, 107-112
Camsá	 No dominant order	Fabre 2002: 176
Canela	 XOV	Popjes and Popjes 1986: 136-137
Cantonese	 XVO	Matthews and Yip 1994: 115-127 
Carib (De'kwana)	 OVX	Hall 1988: passim 47-48, 53
Cavineña	 No dominant order	Guillaume 2004: passim 
Cèmuhî	 VOX	Lynch 2002c: 761
Chaha	 XOV	Leslau 1950: passim
Chai	 No dominant order	Last and Lucassen 1998: 409
Chatino (Sierra Occidental)	 VOX	Pride 1965: 75-77
Chemehuevi	 No dominant order	Press 1979: passim
Cherokee	 No dominant order	Foley 1980: passim
Chichewa	 VOX	Mchombo 2004: 19 
Chinantec (Comaltepec)	 VOX	Anderson 1989: 37
Chinantec (Lealao)	 VOX	Rupp 1989: 43
Chinantec (Palantla)	 VOX	Merrifield 1968: 45-46
Choctaw	 XOV	Davies 1981c: 16
Chrau	 No dominant order	Thomas 1971: 78
Chuvash	 OXV	Krueger 1961: 140
Cocama	 No dominant order	Faust 1972: 32
Coos (Hanis)	 No dominant order	Frachtenberg 1913: passim
Coptic	 VOX	Lambdin 1983: 123 
Cree (Plains)	 No dominant order	Wolfart and Carroll 1981: 83; Wolfart 1996: 394
Cree (Swampy)	 No dominant order	Ellis 1975: passim 
Cua	 VOX	Burton 1969: 5
Dadjriwalé	 No dominant order	Gode 2008: 228
Damana	 No dominant order	Trillos Amaya 1999a: 131-136
Danish	 VOX	Allan et al. 1995: 504 
Darma	 XOV	
Dhaasanac	 OXV	Tosco 2001: 259
Dhargari	 No dominant order	Klokeid 1969: 13, passim
Digaro	 XOV	Sastry 1984: 169
Dinka	 No dominant order	Nebel 1948: passim
Diyari	 OVX	Austin 1981: 149
Djambarrpuyngu	 No dominant order	Wilkinson 1991: 606; Buchanan 1978: 154, passim
Djapu	 OVX	Morphy 1983: 82
Djaru	 No dominant order	Tsunoda 1981: 211, passim
Djinang	 No dominant order	Waters 1989: 206
Dongo	 No dominant order	Tucker and Bryan 1966: 131
Duka	 VOX	Bendor-Samuel et al. 1973: 70, 155
Dumo	 OVX	Ross 1980: 98
Dutch	 No dominant order	Shetter 1958: passim
Dyirbal	 No dominant order	Dixon 1972: 291 
Ega	 VOX	Richard 1983: passim
Émérillon	 No dominant order	Rose 2003b: passim
Emmi	 No dominant order	Ford 1998: 312
Enets	 XOV	Künnap 1999a: 32
Engenni	 VOX	Thomas 1978: 134
English	 VOX	
Epena Pedee	 OVX	Harms 1994: passim
Estonian	 VOX	Tauli 1983: 158
Fijian	 No dominant order	Dixon 1988: 244 
Finnish	 VOX	Sulkala and Karjalainen 1992: 69
Foe	 OXV	Rule 1977: 34
French	 VOX	
Frisian	 No dominant order	Tiersma 1985: 104
Fulfulde (Adamawa)	 VOX	Stennes 1961: 28
Futuna-Aniwa	 VOX	Dougherty 1983: 115
Gaelic (Scots)	 VOX	Calder 1923: 4
Gapapaiwa	 No dominant order	McGuckin 2002: 315
Gbeya Bossangoa	 VOX	Samarin 1966: 125
German	 No dominant order	Lederer 1969: own knowledge
Gidabal	 No dominant order	Geytenbeek and Geytenbeek 1971: 41
Gitksan	 No dominant order	Rigsby 1986: 254, 260-261, 281-285
Goajiro	 VOX	Ehrman 1972a: 131-132
Gooniyandi	 No dominant order	McGregor 1990: passim 
Grebo	 VOX	Innes 1966: 105
Greenlandic (West)	 OXV	Woodbury 1977: 308; Fortescue 1984: 93
Guajajara	 VOX	Bendor-Samuel 1972: 78
Guaraní	 VOX	Gregores and Suarez 1967: 182, 184
Guarijío	 No dominant order	Miller 1996a: 75
Gude	 VOX	Hoskison 1983: 106
Guhu-Samane	 XOV	Richert 1975: 799
Gumawana	 OVX	Olson 1988: passim
Gumbaynggir	 No dominant order	Eades 1979: passim
Gunbalang	 VOX	Coleman 1982: 51
Gunin	 No dominant order	McGregor 1993: 53
Gureng Gureng	 No dominant order	Brasch 1975: 11D, 12D
Gurr-goni	 No dominant order	Green 1995: 238
Gwari	 No dominant order	Hyman and Magaji 1970: 92
Haida	 XOV	Enrico 2003: passim
Hakka	 XVO	Hashimoto 1973: 473, 523 
Hatam	 VOX	Reesink 1999: 78, 89
Hausa	 VOX	Newman 2000: 720; Kraft 1963: (Vol. 1) 104, 115-117, 159-160
Hdi	 VOX	Frajzyngier and Shay 2002: 225-231
Heiltsuk	 VOX	Rath 1981: 85
Hixkaryana	 OVX	Derbyshire 1979: 42
Huastec	 VOX	Edmonson 1988: 565, 578
Huitoto (Minica)	 XOV	Minor et al. 1982: 66-67
Hupa	 No dominant order	Golla 1970: 295; Goddard 1903: passim
Iaai	 VOX	Tryon 1968: 22
Iban	 VOX	Omar 1981: 205, 215
Idoma	 No dominant order	Abraham 1951: 18
Ifumu	 VOX	Makouta Mboukou 1977: 471
Igbo	 VOX	
Igede	 VOX	Bergman 1981: 27
Iha	 OXV	Voorhoeve 1975: 433
Inanwatan	 No dominant order	de Vries 1996: 54
Indonesian	 VOX	Sneddon 1996a: passim 
Innamincka	 No dominant order	Breen 2004: 47
Iraqw	 No dominant order	Mous 1993: 250; Whiteley 1958: 64
Irish	 VOX	Stenson 1981: 40-41; Ó Dochartaigh 1992: 37
I'saka	 OVX	Donohue and San Roque 2002: 78
Itelmen	 No dominant order	Volodin 1976: passim
Iwoyo	 VOX	Mingas 1994: 44
Ixil	 VOX	Elliot 1960: 134
Izere	 VOX	Lukas and Willms 1961: 11
Izi	 VOX	Meier et al. 1975: 140-141, 152
Jaminjung	 No dominant order	Schultze-Berndt 2000: passim
Japanese	 XOV	Hinds 1986: 75
Jebero	 No dominant order	Bendor-Samuel 1961b: passim
Jingpho	 XOV	Hertz 1917: 4
Jukun	 VOX	Shimuzu 1980: 190, 315
Jur Mödö	 VOX	Persson and Persson 1991: 8; Persson 1981: 110
Kabyle	 VOX	Chaker 1983: 287
Kairiru	 OVX	Wivell 1981: 139-153
Kamaiurá	 OVX	Seki 2000: 157, 167
Kamasau	 OXV	Sanders and Sanders 1994: 41
Kamu	 No dominant order	Harvey 1990: passim
Kanakuru	 VOX	Newman 1974: 63-64
Kanuri	 OXV	Hutchison 1981: 7-8, 90; Hutchison 1976: 3
Kapampangan	 VOX	Mirikitani 1972: 27
Karankawa	 No dominant order	Gatschet 1891a: 92
Karen (Pwo)	 VOX	Kato 2003: 640
Karen (Sgaw)	 VOX	Jones 1961: 30, 55-56
Karimojong	 VOX	Novelli 1985: passim
Karkar-Yuri	 OXV	Rigden n.d. (a): 92-94
Karó (Arára)	 OVX	Gabas 1999: 164
Karok	 No dominant order	Bright 1977: passim 
Kasem	 VOX	Bonvini 1988: 31
Kashmiri	 VOX	Wali and Koul 1997: 89 
Kawaiisu	 No dominant order	Zigmond et al. 1990-1991: passim
Kayah Li (Eastern)	 VOX	Solnit 1986: 254
Kayapó	 XOV	Thomson and Stout 1974a: 49
Kayardild	 No dominant order	Evans 1995: passim
Kham	 OXV	Watters 1973: 62
Khasi	 VOX	Nagaraja 1985: 89-90
Kinyarwanda	 VOX	Hurel 1959: 186
Kiribati	 VOX	Groves et al. 1985: passim
Kisi	 No dominant order	Childs 1995: passim
Klamath	 No dominant order	Gatschet 1890: passim
Koasati	 OVX	Kimball 1991: 513, 518
Koiali (Mountain)	 XOV	Garland and Garland 1975: 442
Komi-Zyrian	 VOX	Hausenberg 1998: 321
Koromfe	 VOX	Rennison 1997: 73
Kosraean	 VOX	Lee 1975: 319
Koya	 OXV	Tyler 1969: 104
Koyraboro Senni	 OVX	Heath 1999a: 8; Prost 1956: 124, 89
Koyra Chiini	 VOX	Heath 1999b: 11
Krongo	 VOX	Reh 1983: 47, 52-54
Kugu Nganhcara	 No dominant order	Smith and Johnson 2000: passim
Kuku-Yalanji	 OVX	Patz 2002: 139
Kuot	 VOX	Chung and Chung 1996: 9
Kuuku Ya'u	 No dominant order	Thompson 1988: passim
Kwaio	 VOX	Keesing 1985: 164
Kwoma	 OXV	Kooyers 1974: 36
Kwomtari	 OXV	Spencer 2008: 124
Kyuquot	 VOX	Rose 1981: 57
Lamang	 VOX	Wolff 1983: 188, 228-231
Lamani	 XOV	Trail 1970: 36, 39, 43
Lampung	 VOX	Walker 1976: 23
Lango	 VOX	Noonan 1992: 119
Laragia	 No dominant order	Capell 1984b: passim
Lavukaleve	 XOV	Terrill 1999 
Leko	 No dominant order	van de Kerke 2002: passim
Lenakel	 VOX	Lynch 1978: 92
Lendu	 No dominant order	Tucker and Bryan 1966: 46, 55; Tucker 1967: 402
Lese	 No dominant order	Vorbichler 1965: 156
Lewo	 VOX	Early 1994a: 297
Limilngan	 No dominant order	Harvey 2001: passim
Lingala	 VOX	Meeuwis 1998: 40
Lisu	 OXV	Bradley 2003: 226
Logoti	 No dominant order	Tucker 1967: 189-190
Lokono	 VOX	Pet 1987: 106
Loniu	 VOX	Hamel 1985: 185
Lugbara	 No dominant order	Crazzolara 1960: 20, 74-75, 78, 83, 85
Luiseño	 No dominant order	Kroeber and Grace 1960: 172; Munro 1976a: passim; Malécot 1963a: 208; Akmajian et al. 1979: passim
Lunda	 VOX	Kawasha 2003: 248
Luo	 VOX	Omondi 1982: 119-120
Luvale	 VOX	Horton 1949: 21
Ma'di	 No dominant order	Blackings and Fabb 2003; Tucker 1967: 186-187; Tucker and Bryan 1966: 46-47
Majang	 VOX	Unseth 1989: 108
Makah	 VOX	
Malagasy	 VOX	Bennett 1986: 38, 56-62
Maleu	 VOX	Haywood 1996: 177
Mam	 VOX	England 1983: 195
Mamanwa	 VOX	Miller and Miller 1976: 70
Mandarin	 XVO	Li and Thompson 1981: 24
Mandinka (Gambian)	 OVX	Rowlands 1959: 4
Mangap-Mbula	 VOX	Bugenhagen 1995: 15
Manggarai	 VOX	Semiun 1993: 45
Mangghuer	 XOV	Slater 2003: 112
Maninka (Western)	 OVX	Delafosse 1929: passim
Mano	 OVX	Becker-Donner 1965: 20-24
Maori	 VOX	Bauer 1993: 89 
Mapudungun	 No dominant order	Augusta 1903: passim
Mara	 No dominant order	Heath 1981: passim
Maranungku	 No dominant order	Tryon 1970b: 64-66, passim
Maringarr	 No dominant order	Tryon 1974: 136
Marrithiyel	 No dominant order	Tryon 1974: 89
Martuthunira	 VOX	Dench 1995: 239
Massachusett	 No dominant order	Goddard and Bragdon 1988: 586
Matis	 OXV	Ferreira 2001: 116-117
Matngele	 No dominant order	Tryon 1974: 53
Mauka	 OVX	Ebermann 1986a: 122, 126, 162
Maung	 VOX	Capell and Hinch 1970: 100
Maybrat	 VOX	Dol 1999: 159
Mazatec (Huautla)	 No dominant order	Pike 1967: passim
Mbay	 VOX	Fortier 1971: 7, 61-62
Mbili	 VOX	Ayuninjam 1998: 323 
Mekens	 OVX	Galucio 2001: 137ff
Mende	 OVX	Aginsky 1935: passim
Menomini	 No dominant order	Bloomfield 1962: 442
Meyah	 VOX	Gravelle 2004: 189, 203
Mian	 OXV	Fedden 2007: 338 
Mikir	 XOV	Grüssner 1978: 138-139
Mina	 VOX	Frajzyngier and Johnston 2005: 125-177
Minangkabau	 No dominant order	Moussay 1981: 63
Miwok (Southern Sierra)	 No dominant order	Freeland 1951: passim
Mixe (Ayutla)	 No dominant order	
Mixtec (Chalcatongo)	 VOX	Macaulay 1996: 106
Mixtec (Jicaltepec)	 VOX	Bradley 1970: 66-69
Mixtec (Ocotepec)	 VOX	Alexander 1988: 163
Mixtec (Peñoles)	 VOX	Daly 1973: 7, 9, 61-62
Mixtec (Yosondúa)	 VOX	Farris 1992: 12
Miya	 VOX	Schuh 1998: 280
Mizo	 XOV	Chhangte 1989: 150
Mofu-Gudur	 VOX	Barreteau 1988: 36
Mohawk	 No dominant order	
Mondunga	 VOX	De Boeck 1952: 55
Mono-Alu	 No dominant order	Fagan 1986: 84, passim
Mooré	 VOX	Lehr et al. 1966: 203, passim
Moro	 VOX	Black and Black 1971: 33, 36
Moru	 No dominant order	Tucker 1967: 167, 170-176, passim, 311, passim; Andersen 1984: 29
Mufian	 VOX	Alungum et al. 1978: 111-112
Mundang	 VOX	Elders 2000: 414-415
Mupun	 VOX	Frajzyngier 1993: 255ff
Murle	 VOX	Lyth 1971: 48
Murrinh-Patha	 OVX	Street 1980: passim
Muruwari	 No dominant order	Oates 1988: passim
Mussau	 VOX	Ross 2002b: 163
Mwera	 VOX	Harries 1950: 18
Nagatman	 OXV	Campbell and Campbell 1987: 70
Nahuatl (Tetelcingo)	 VOX	Tuggy 1979: 9
Nama	 XOV	Hagman 1977: 61, 97
Nandi	 VOX	Creider and Creider 1989: 123; Hollis 1909: 230
Nasioi	 No dominant order	Hurd and Hurd 1966: passim
Navajo	 OXV	Sapir and Hoijer 1967: 119-121
Ndjébbana	 No dominant order	McKay 2000: 285
Ndut	 VOX	Morgan 1996: 24
Ndyuka	 VOX	Huttar and Huttar 1994: passim 
Nehan	 VOX	Todd 1978: 1201
Nenets	 XOV	Tereshchenko 1966a: 392
Neo-Aramaic (Arbel Jewish)	 OVX	Khan 1999: 352 
Neyo	 No dominant order	Grah 1983: 111
Nez Perce	 No dominant order	Aoki 1979: passim
Ngäbere	 OVX	Alphonse 1956: 51
Ngalakan	 No dominant order	Merlan 1983: passim
Ngambay	 VOX	Thayer 1978: 45ff; Vandame 1963: 110-111
Ngandi	 No dominant order	Heath 1978: passim
Ngankikurungkurr	 No dominant order	Hoddinott and Kofod 1988: 204, 205, 206
Ngbaka (Minagende)	 VOX	GrandEury 1991: 391, 395
Ngiti	 No dominant order	Kutsch Lojenga 1994: passim
Ngiyambaa	 No dominant order	Donaldson 1980: passim
Ngizim	 VOX	Schuh 1972: 33, 49ff
Nhanda	 No dominant order	Blevins 2001: 124 
Nicobarese (Car)	 VOX	Braine 1970: 236
Nisgha	 VOX	Tarpent 1987: 199-200
Niuean	 VOX	Seiter 1980: 56-58
Nkore-Kiga	 VOX	Taylor 1985: 45
Noni	 VOX	Hyman 1981b: 76
Nuaulu	 VOX	Bolton 1990: 101, 112
Nuer	 No dominant order	Crazzolara 1933: 30, 107-108, 132-133, 144
Nunggubuyu	 No dominant order	Heath 1984: 507-513
Nung (in Vietnam)	 VOX	Saul and Wilson 1980: 65
Nupe	 VOX	Smith 1967a: 13
Nuuchahnulth	 VOX	Davidson 2002
Nyishi	 OXV	Hamilton 1900: 52
Obolo	 VOX	Faraclas 1984: 120
Ocuilteco	 VOX	Muntzel 1986: 141
Ojibwa (Eastern)	 No dominant order	Valentine 2001: passim 
One	 VOX	
Oneida	 No dominant order	
Oromo (Harar)	 XOV	Owens 1985: 129
Oromo (Waata)	 OXV	Heine 1981: 24
Otomí (Mezquital)	 VOX	Hess 1968: 84
Pa'a	 VOX	Skinner 1979: 71
Paakantyi	 No dominant order	Hercus 1982: 240
Palauan	 VOX	Josephs 1975: 277
Panará	 No dominant order	Dourado 2001: 86
Panyjima	 No dominant order	Dench 1991: 182
Päri	 OVX	Simeoni 1978: passim; Andersen 1988: 303
Passamaquoddy-Maliseet	 No dominant order	
Patwin	 No dominant order	Whistler 1977: passim
Paumarí	 No dominant order	Chapman and Derbyshire 1991: 170-173
Pirahã	 XOV	Everett 1986: 206
Pitta Pitta	 No dominant order	Blake 1979c: 213
Pohnpeian	 VOX	Rehg 1981: 291-292, 302 
Poko-Rawo	 No dominant order	
Pokot	 VOX	Baroja 1989: 259
Pomo (Southeastern)	 OXV	Moshinsky 1974: passim
Prasuni	 XOV	Morgenstierne 1949: 245
Pungupungu	 No dominant order	Tryon 1974: 203
Quechua (Imbabura)	 XOV	Cole 1982: 71
Rama	 No dominant order	Grinevald 1988: 115
Remo	 XOV	Fernandez 1967: 128-129
Resígaro	 No dominant order	Allin 1976: 313-316, passim
Ritharngu	 No dominant order	Heath 1980a: passim
Rotuman	 VOX	Schmidt 2002: 829
Roviana	 VOX	Corston-Oliver 2002: 492
Saliba (in Papua New Guinea)	 OVX	Mosel 1994a: 3
Salinan	 No dominant order	Mason 1918: passim
Sandawe	 No dominant order	Eaton 2008: 105-106
Sango	 VOX	Samarin 1967b: 185
Sanuma	 XOV	Borgman 1990: 19
Sare	 No dominant order	Sumbuk 1999
Savosavo	 OVX	Wegener 2008: 203
Sedang	 VOX	Smith 1979: 114
Sema	 XOV	Sreedhar 1980: 109, 110, 165
Seme	 OVX	Prost 1964d: 362
Semelai	 VOX	Kruspe 1999: 405 
Seneca	 No dominant order	Chafe 1996: passim
Seri	 XOV	Marlett 1981: passim
Sesotho	 VOX	Paroz 1946: 166
Shasta	 No dominant order	Silver and Wicks 1977: passim
Shoshone	 XOV	Crapo 1976: 19
Sio	 VOX	Clark and Clark 1987: 54-58
Sipakapense	 VOX	Barrett 1999: 235
Sirionó	 OVX	Priest and Priest 1980: passim
Siuslaw	 No dominant order	Frachtenberg 1914: passim
Slave	 XOV	Rice 1989: 997-999
Sobei	 VOX	Sterner and Ross 2002: 183
Spanish	 VOX	
Stieng	 VOX	Miller 1976: 9
Sulka	 VOX	Tharp 1996: 141
Supyire	 OVX	Carlson 1994: 239
Susu	 OVX	Houis 1963: 57
Swedish	 VOX	Holmes and Hinchliffe 1994: 503, 507, 511 
Taba	 VOX	Bowden 1997a: 161
Tabare	 XOV	McVinney and Luzbetak 1954: 15
Tacana	 No dominant order	Ottaviano 1980: passim
Takia	 OXV	Ross 2002h: 238
Tamashek	 VOX	Heath 2005: 15
Tamil	 XOV	Asher 1982: 57
Tapieté	 OVX	Gonzalez 2005: 206
Tarahumara (Central)	 XOV	Cohen 1998: 196
Tarahumara (Western)	 No dominant order	Burgess 1984: passim
Telefol	 XOV	Healey 1965a: 3
Tennet	 VOX	Randal 1998: 222
Tepehuan (Northern)	 No dominant order	Bascom 1982: 273
Tera	 VOX	Newman 1970: 16, 27ff
Tetela	 VOX	Wetshemongo 1996: 44, 433
Tetun	 VOX	van Klinken 1997: passim
Thai	 VOX	
Thompson	 VOX	Thompson and Thompson 1992: 148
Ticuna	 No dominant order	Anderson 1962: passim
Tidore	 VOX	van Staden 2000: 221
Tigak	 VOX	Beaumont 1979: 39, 42
Tiipay (Jamul)	 OXV	Miller 2001: 150
Tikar	 No dominant order	Hagège 1969: 47-49
Tinrin	 No dominant order	Osumi 1995: 211 
Tiwa (Northern)	 No dominant order	Trager 1946: passim
Tiwi	 VOX	Osborne 1974: 65
Tlapanec	 VOX	Suárez 1983a: 271
Tolai	 VOX	Franklin et al. 1974: 125
Tonkawa	 No dominant order	Hoijer 1933-1938: passim
Trique (Copala)	 VOX	Hollenbach 1992: 189-199
Trumai	 No dominant order	Monod-Becquelin 1975: passim
Tsimshian (Coast)	 VOX	Dunn 1979: 61
Tsova-Tush	 No dominant order	Holisky and Gagua 1994: 198
Tucano	 No dominant order	West 1980: passim
Tümpisa Shoshone	 No dominant order	Dayley 1989a: 20, passim
Tunen	 OVX	Dugast 1971: 309
Tunica	 No dominant order	Haas 1940: 99-100
Turkana	 VOX	Dimmendaal 1983a: 78, 347
Turkish	 XOV	Lewis 1967: 240
Tuscarora	 No dominant order	Williams 1976: 47-48
Tzotzil	 VOX	Cowan 1969: 10
Tzutujil	 VOX	Dayley 1985: 310-312
Udi	 No dominant order	Schulze 1982: 198
Uldeme	 VOX	de Colombel 1997: 75
Ulithian	 VOX	Lynch 2002b: 801
Ungarinjin	 OVX	Coate and Oates 1970: passim
Urubú-Kaapor	 No dominant order	Kakumasu 1986: passim
Ute	 No dominant order	Southern Ute Tribe 1980: passim
Vai	 OVX	Welmers 1976: 132
Vietnamese	 VOX	Binh 1971: 156; Nguyen 1975: 13
Wahgi	 XOV	Luzbetak 1954: passim
Wakhi	 OXV	Lorimer 1958: 208-214
Walman	 VOX	
Wan	 OVX	Nikitina 2008: 55 
Wangkumara	 No dominant order	McDonald and Wurm 1979: passim
Waray (in Australia)	 No dominant order	Harvey 1986: 245
Wardaman	 No dominant order	Merlan 1994: 248
Wari'	 VOX	Everett and Kern 1997: 132 
Warlpiri	 No dominant order	Swartz 1988: passim
Warrgamay	 No dominant order	Dixon 1981: passim
Warrwa	 No dominant order	McGregor 1994: 50
Welsh	 VOX	Thomas 1992a: 271; Williams 1980b: 167
Wembawemba	 VOX	Hercus 1986b: 57
West Makian	 VOX	Voorhoeve 1982: 27
Wichí	 VOX	Hunt 1940: 142; Tovar 1981: 220
Wichita	 No dominant order	Rood 1996: 599
Wikchamni	 No dominant order	Gamble 1978: passim
Wintu	 No dominant order	Pitkin 1977: passim
Wiyot	 No dominant order	Reichard 1925: passim
Woleaian	 VOX	Sohn 1975: 252, 261
Wolof	 VOX	Njie 1982: 185, 190
Womo	 OVX	
Wyandot	 No dominant order	Kopris 2001: passim
/Xam	 VOX	Anonymous 4: sec.1
Xârâcùù	 VOX	
Xasonga	 OVX	Koite-Herschel 1981-1982: 48
Yagaria	 XOV	Renck 1975: 193
Yawelmani	 No dominant order	Newman 1944: passim
Yawuru	 No dominant order	Hosokawa 1991: 34
Yidiny	 OVX	Dixon 1977a: 268 
Yimas	 No dominant order	Foley 1991: passim 
Yindjibarndi	 No dominant order	Wordick 1982: 193
Yulu	 VOX	Santandrea 1970: 23
Yup'ik (Central)	 No dominant order	Reed et al. 1977: passim
Yupik (Siberian)	 OVX	de Reuse 1988: 36
Yurok	 No dominant order	Robins 1958: 144-146, passim
Zapotec (Mitla)	 VOX	Briggs 1961: 91
Zarma	 No dominant order	Tersis 1972: passim
