Language	Value	Reference
Ao	 SOV	Coupe 2007: 152
Apache (Western)	 SOV	Edgerton 1963: 104
Apalaí	 No dominant order	Koehn and Koehn 1986: 33
Apatani	 SOV	Abraham 1985: 121
Apinayé	 SOV	Callow 1962: 94-5109
Apurinã	 SVO	Facundes 2000: 560
Arabana	 SOV	Hercus 1994: 261
Arabic (Egyptian)	 SVO	Gary and Gamal-Eldin 1982: 25, 59, 61, 102
Arabic (Gulf)	 SVO	Holes 1990: 3, 107, 117
Arabic (Iraqi)	 SVO	Erwin 1963: passim
Arabic (Kuwaiti)	 SVO
Arabic (Modern Standard)	 VSO	Cowan 1958: 57
Arabic (Syrian)	 No dominant order	Cowell 1964: 380, 407, 411
Arapesh (Abu)	 SVO	Nekitel 1985: 94
Arapesh (Mountain)	 SVO	Conrad and Wogiga 1991: 80
Arbore	 SOV	Hayward 1984: 110
Archi	 SOV	Kibrik et al. 1977: (III) 197
Aribwatsa	 SVO	Holzknecht 1997a: 162
Armenian (Eastern)	 No dominant order
Armenian (Western)	 SOV	Gulian 1965: 103
Arop-Lokep	 SVO	D'Jernes 2002: 264
Arosi	 SVO	Capell 1971: 16
Arrernte (Mparntwe)	 SOV	Wilkins 1989: 432
Asmat	 SOV	Voorhoeve 1965: 190, 192, 200, 210, 214, 252, 196
Assamese	 SOV	Goswami and Tamuli 2003: 431
Asuriní	 OVS	Harrison 1970: 6, 161
Atacameño	 SOV	Adelaar 2004: 380
Athpare	 SOV	Ebert 1997b: 107
Atsugewi	 No dominant order	Walters 1977: passim
Au	 SVO	Scorza 1985: 247
Avar	 SOV	Bokarev 1949b: passim
Avikam	 SVO	Schang 1995: 41-42
Avokaya	 No dominant order	Kilpatrick 1981: 98
Awa	 SOV	McKaughan 1973: passim
Awa Pit	 SOV	Curnow 1997: 50
Awtuw	 SOV	Feldman 1986: 87, 116, passim
Awyi	 SOV	Voorhoeve 1971: 65
Ayiwo	 SVO	Wurm et al. 1985: passim
Aymara (Central)	 SOV	Wexler 1967: 61; Ebbing 1965: 9, passim
Ayoreo	 SVO	Adelaar 2004: 497
Azari (Iranian)	 SOV	Dehghani 2000: 136
Azerbaijani	 SOV	Householder and Lofti 1965: 25
Babole	 SVO	Leitch 1994: passim
Babungo	 SVO	Schaub 1985: 62
Bachamal	 No dominant order	Ford 1990: passim
Badimaya	 SOV	Dunn 1988: 105
Bafut	 SVO	Chumbow and Tamanji 1994: 211
Baga Sitemu	 SVO	Ganong 1998: 5
Bagirmi	 SVO	Stevenson 1969: 83, 86-87, 98
Bagiro	 SVO	Boyeldieu 2000: 205
Baham	 SOV	Flassy et al. 1984: 79
Bai	 SVO	Fitzgerald 1941: 231; Xu and Zhao 1984: 76-78
Bajau (Sama)	 No dominant order	Verheijen 1986: passim
Bajau (West Coast)	 No dominant order	Miller 2007: 157, 194
Baka (in Cameroon)	 SVO	Kilian-Hatz 1995: 26
Baka (in South Sudan)	 SVO	Santandrea 1976: passim
Bakueri	 SVO	Kagaya 1992: 31
Balanta	 SVO	Fudemann 1999: passim
Bali-Vitu	 SVO	Ross 2002c: 380
Balti	 SOV	Read 1934: 69-70
Bambara	 SOV	Bird et al. 1977: 151
Banggi	 SVO	Boutin 1988: 22
Bangime	 SOV	Blench 2005: 11
Bankon	 SVO	Spellenberg 1969: 82
Banoni	 SVO	Lincoln 1976: 68, 118
Bao'an	 SOV	Wu 2003: 343
Baoulé	 SVO	Carteron 1972: 95
Baragaunle	 SOV	Kretschmar 1995: 193
Barai	 SOV	Olson 1975: passim
Barambu	 No dominant order	Tucker and Bryan 1966: 156
Barasano	 No dominant order	Garcia and Sanchez 1975: 102, 122; Jones and Jones 1991: passim
Baré	 SVO	Aikhenvald 1996: 44
Bari	 SVO	Spagnolo 1933: 55, passim 106; Mitterrutzner 1867: 71
Barupu	 SOV	Corris 2005: 108
Basaá	 SVO	Schürle 1912: passim; Hyman 2003: 277
Basque	 SOV	Urbina 1989: 81; Saltarelli et al. 1988: 66; Lafitte 1962: 46; Rebuschi 1984: 68
Batak (Karo)	 No dominant order	Woollams 1996: 186, 191
Batak (Toba)	 VOS	Percival 1981: 80
Baure	 VOS	Baptista and Wallin 1967: 11, 30, 33
Bauzi	 SOV	Briley 1997: 1
Bawm	 SOV	Reichle 1981: 27
Beja	 SOV	Hudson 1974: 115; Reinisch 1893: 65
Bella Coola	 VSO	Davis and Saunders 1978: 38; Nater 1984: 52
Belorussian	 No dominant order	Mayo 1993: 924
Bengali	 SOV	Dasgupta 2003: 375
Bera	 SVO	Meinhof 1938/39: 285
Berber (Chaouia)	 No dominant order	Penchoen 1973a: 8, 61
Berber (Figuig)	 VSO	Kossmann 1997: 300
Berber (Middle Atlas)	 VSO	Abdel-Massih 1971: 122; Penchoen 1973b: 54
Berber (Rif)	 SVO	Kossmann 2000: passim
Beria	 SOV	Crass and Jakobi 2004: 154
Berta	 SVO	Triulzi et al. 1976a: 526; Tucker and Bryan 1966: 351
Betoi	 SOV
Betta Kurumba	 SOV	Coelho 2003: 141
Bhojpuri	 SOV	Shukla 1981: 65-66
Bhumij	 SOV	Ramaswami 1992: 132
Biak	 SVO	van den Heuvel 2006: 283
Bidiya	 SVO	Alio 1986: 341, passim
Bilin	 No dominant order	Reinisch 1882: 93
Biloxi	 SOV	Einaudi 1976: 125
Bilua	 No dominant order	Obata 2003
Bimoba	 SVO	Jacobs 1970: 80, passim
Binandere	 SOV	Wilson 1996: 12
Bini	 SVO	Dunn 1968: 218
Bininj Gun-Wok	 No dominant order	Evans 2004
Biri	 SVO	Terrill 1998: 48
Birom	 SVO	Bouquiaux 1970: 340-341, 346, 348, 352
Bisu	 SOV	Nishida 1973: 67
Blackfoot	 No dominant order
Boazi (Kuni)	 SOV	Boelaars 1950: 56
Bobangi	 SVO	Whitehead 1899: 57
Bokar	 SOV	Megu 1990: 4-5
Boko	 SOV
Bolia	 SVO	Mamet 1960: passim
Bongo	 SVO	Santandrea 1963: 60
Bongu	 SOV	Hanke 1909: 82
Bontok	 No dominant order	Seidenadel 1909: 70
Brao	 SVO	Keller 1976: 12
Breton	 SVO	Ternes 1970: Schapansky 2000
Bribri	 SOV	Margery Peña 1982: passim
Brokskat	 SOV	Ramaswami 1982: 85
Bubi	 SVO	Abad 1928: 87
Budu	 SVO	Asangama 1983: passim
Buduma	 SVO	Lukas and Nachtigal 1939: 74
Bugis	 SVO	Sirk 1983: 81
Bulgarian	 SVO	Hubenova et al. 1968: 31; Dyer 1992: 16, 55, 149 ; Scatton 1984: 374, passim
Buli (in Ghana)	 SVO
Buma	 SVO	Tryon 2002: 582
Bunan	 SOV	Sharma 1989b: 256
Bunuba	 No dominant order	Rumsey 2000: passim
Bunu (Younuo)	 SVO	Mao and Tsu-yao 1972: 250-251
Burarra	 SOV	Glasgow and Garner 1980: 45
Buriat	 SOV	Poppe 1960: 115
Burmese	 SOV	Okell 1969: passim; Wheatley 1982: 49; Stewart 1955: passim
Buru	 SVO	Grimes 1991: 341
Burunge	 SVO	Kiessling 1994: 205, 206
Burushaski	 SOV	Berger 1974: 54 ; Lorimer 1935: 402; Tiffou and Pesot 1989: 70
Busa	 SOV	Wedekind 1972: 26
Bushoong	 SVO	Edmiston 1932: 185
Bwele	 SVO	Twilingiyimana 1984: passim
Cahuilla	 SOV	Seiler 1977: 228
Cakchiquel	 VOS	García Matzar and Rodríguez Guaján 1997: 333
Camling	 SOV	Ebert 1997a: 52
Campa (Axininca)	 No dominant order	Payne 1981: passim
Camsá	 No dominant order	Fabre 2002: 176
Candoshi	 SOV	Anderson and Wise 1963: 75
Canela	 SOV	Popjes and Popjes 1986: 129, 136
Cantonese	 SVO	Matthews and Yip 1994: 68
Carib	 SOV	Hoff 1968: 165-166, passim
Carib (De'kwana)	 SOV	Hall 1988: 46
Cashibo	 SOV	Abreu 1914: 30
Catalan	 SVO	Hualde 1992: 96
Catawba	 SOV	Voorhis 2003: 259
Cavineña	 No dominant order	Guillaume 2004: passim
Cayapa	 SOV	Abrahamson 1962: 223
Cayuvava	 VOS	Key 1967: 50-51, 38-40
Cebuano	 VSO	Wolff 1966: passim
Cèmuhî	 VOS	Lynch 2002c: 761
Chácobo	 No dominant order	Prost 1967: passim
Chaga	 SVO	Raum 1909: 222
Chaha	 SOV	Leslau 1950: 31
Chai	 No dominant order	Last and Lucassen 1998: 409
Chambri	 SOV	Laycock and Z'graggen 1975: 757
Cham (Eastern)	 SVO	Aymonier 1889: 74
Chamorro	 VSO
Cham (Western)	 SVO	Baumgartner 1998: 1
Chang	 SOV	Hutton 1987: 48
Chatino (Sierra Occidental)	 VSO	Pride 1965: 73, 75
Chatino (Yaitepec)	 VSO	Rasch 2002: 143
Chaudangsi	 SOV	Sharma 1989a: 188
Chechen	 SOV	Nichols 1994a: 54, 58; Desheriev 1967: 206, 200
Chemehuevi	 No dominant order	Press 1979: 120
Chepang	 SOV	Caughley 1982: 39
Cherokee	 No dominant order	Scancarelli 1987: 194; Cook 1979: 153; Foley 1980: 45
Chichewa	 SVO	Mchombo 2004: 19
Chinantec (Comaltepec)	 VSO	Anderson 1989: 36
Chinantec (Lealao)	 VOS	Rupp 1989: 38-39
Chinantec (Palantla)	 VSO	Merrifield 1968: 45
Chinantec (Quiotepec)	 VSO	Robbins 1968: 111
Chinook (Lower)	 VOS	Boas 1911b: 647
Chipaya	 SOV	Cerron Palomino 2006: 219
Chipewyan	 SOV	Richardson 1968: 3
Chitimacha	 SOV	Swadesh 1946b: 332
Choctaw	 SOV	Davies 1981c: 15; Broadwell 1986: 1
Cholón	 SOV	Alexander Bakkerus 2005: 147
Chontal Maya	 SVO	Knowles 1984: 310-314
Chrau	 SVO	Thomas 1971: 68-69, 78
Chuj	 VOS	Buenrostro 1991: 34
Chukchi	 No dominant order	Dunn 1999: 81
Chumash (Barbareño)	 VOS	Beeler 1976: 267-268
Chuvash	 SOV	Krueger 1961: 140, 182
Coahuilteco	 SOV	Troike 1967: 324
Cocama	 SVO	Faust 1971: 76; Faust 1972: 27-28
Comanche	 SOV	Charney 1993: 193?; Canonge 1958: passim; Wistrand-Robinson and Armagost 1990: 249
Coos (Hanis)	 No dominant order	Frachtenberg 1913: passim
Coptic	 SVO	Plumley 1948: 148; Lambdin 1983: 123
Cora	 VSO	Casad 1984: 168, 172
Cornish	 SVO	Jenner 1904: 158
Cree (Plains)	 No dominant order	Hive 1948: passim
Cree (Swampy)	 No dominant order
Crow	 SOV	Lowie 1941: 5
Cua	 SVO	Burton 1969: 5, 8
Cubeo	 OVS	Morse and Maxwell 1999a: 142
Cuiba	 SOV	Berg and Kerr 1973: 11, 12
Cuica	 SVO	Adelaar 2004: 127
Cupeño	 SOV	Hill 2005: 429
Czech	 SVO	Harkins 1953: 35, 272
Dadjriwalé	 No dominant order	Gode 2008: 228
Daga	 SOV	Murane 1974: 133
Dagaare	 SVO	Bodomo 1997: 41
Dagbani	 SVO	Olawsky 1999: 37
Dagur	 SOV	Martin 1961: passim
Damana	 No dominant order	Trillos Amaya 1999a: 131-136
Dan	 SOV	Doneux 1968: 77-79
Dani (Lower Grand Valley)	 SOV	Bromley 1981: 96, 321, 323
Danish	 SVO	Bredsdorff 1958: 165, 168; Allan et al. 1995: 481, 484
Dargwa	 SOV	Isaev 2004: A
Darma	 SOV	Sharma 1989a: 95
Dâw	 SOV	Martins 1994: 40, 191
Day	 SVO	Nougayrol 1979: 118
Degema	 SVO	Kari 1997: 59
Desano	 SOV	Miller 1999: 2, 123
Deuri	 SOV	Jacquesson 2005: 102
Dhaasanac	 SOV	Tosco 2001: 259
Dhargari	 No dominant order	Klokeid 1969: 13
Dharumbal	 SOV	Terrill 2002: 47
Dhimal	 SOV	Cooper 1999: 30
Didinga	 VSO	Tucker and Bryan 1966: 389
Diegueño (Mesa Grande)	 SOV	Langdon 1970: 174; Gorbet 1976: 7
Digaro	 SOV	Sastry 1984: 169, 174
Dime	 SOV	Fleming 1990: 572
Dinka	 No dominant order	Andersen 1991; Tucker and Bryan 1966: 437; Nebel 1948: 9, 25, 42, 75, 82
Diola-Fogny	 SVO	Sapir 1965: 25, 45, 100
Diyari	 SOV	Austin 1981: 148
Djabugay	 SOV	Patz 1991: 291
Djambarrpuyngu	 No dominant order	Wilkinson 1991: 605
Djapu	 SOV	Morphy 1983: 81-82
Djaru	 No dominant order	Tsunoda 1981: 211, passim
Djinang	 No dominant order	Waters 1989: 206
Djingili	 SOV	Chadwick 1975: 85
Dla (Proper)	 SOV	Voorhoeve 1971: passim 77
Domari	 No dominant order	Macalister 1914: passim
Dongo	 No dominant order	Tucker and Bryan 1966: 123, 131
Dong (Southern)	 SVO	Long and Zheng 1998: passim
Donno So	 SOV	Kervran and Prost 1969: 51, 105-106
Doyayo	 SVO	Wiering and Wiering 1994: passim
Drehu	 No dominant order	Moyse-Faurie 1983: 143-148
Duala	 SVO	Ittmann 1978: 240
Duka	 SVO	Bendor-Samuel et al. 1973: 54
Duma	 SVO	Adam 1954: 113, 115
Dumo	 SOV	Ross 1980: 98
Duna	 SOV	Voorhoeve 1975: 396
Dutch	 No dominant order	Shetter 1958: passim
Dyirbal	 No dominant order	Dixon 1972: 291
Ebira	 SVO	Adive 1989: 70
Edolo	 SOV	Gossner 1994: 105
Efate (South)	 SVO	Thieberger 2004: 272
Ega	 SVO	Richard 1983: passim
Eipo	 SOV	Heeschen 1998: 287
Ekari	 SOV	Boelaars 1950: 103
Ekoti	 SVO	Schadeberg and Mucanheia 2000: passim
Emai	 SVO	Schaefer and Egbokhare 2007: 9
Émérillon	 SOV	Rose 2003b: 615
Emmi	 No dominant order	Ford 1998: 312
Enets	 SOV	Künnap 1999a: 31
Engenni	 SVO	Thomas 1978: 65
Enggano	 SVO	Kähler 1940: 84
English	 SVO
Epena Pedee	 SOV	Harms 1994: 9, 11
Erromangan	 SVO	Crowley 1998a: 201
Ese Ejja	 SOV	Shoemaker and Shoemaker 1967: 212-213, passim
Estonian	 SVO	de Sivers 1969: 351-352; Tauli 1983: 37
Eudeve	 SOV	Shaul 1991: 92
Even	 SOV	Benzing 1955: 116
Evenki	 SOV	Nedjalkov 1997: 69, 129 ; Konstantinova 1968: 84
Ewe	 SVO	Ameka 1991: 42; Warburton et al. 1968: viii
Ewondo	 SVO	Redden 1979: 163
Fijian	 No dominant order	Dixon 1988: 33, 242
Finnish	 SVO	Sulkala and Karjalainen 1992: 69; Whitney 1973: 241
Foe	 SOV	Rule 1977: 34
Folopa	 SOV
Fongbe	 SVO	Lefebvre and Brousseau 2002: 5
Fore	 SOV	Scott 1978: 113
French	 SVO
Frisian	 No dominant order	Tiersma 1985: 104
Fulfulde (Adamawa)	 SVO	Arnott 1970: 27
Fur	 SOV	Tucker and Bryan 1966: passim; Beaton 1968: passim
Futuna-Aniwa	 SVO	Capell 1958: passim; Dougherty 1983: 43, 115, 118-119
Fyem	 SVO	Nettle 1998: 24, 30
Gã	 SVO	Ablorh-Odjidja 1968: passim
Gadsup	 SOV	Frantz 1973: 424
Gaelic (Scots)	 VSO	Calder 1923: 4
Gahuku	 SOV	Deibler 1976: 9
Galo	 SOV	Das Gupta 1963: 8
Gamo	 SOV	Taylor 1994: 57
Gapapaiwa	 SOV	McGuckin 2002: 312
Garífuna	 VSO	Taylor 1958: 38
Garo	 SOV	Burling 2003: 391
Garrwa	 No dominant order	Mushin 2005: 263
Gbaya (Southwest)	 SVO	Tucker and Bryan 1966: 102
Gbeya Bossangoa	 SVO	Samarin 1966: passim
Gela	 VOS	Crowley 2002a: 534
Gelao	 SVO	Edmondson 2008: 666
Georgian	 SOV	Vogt 1971: 221-222, 224
German	 No dominant order	Lederer 1969: 575ff., own knowledge
Gidabal	 No dominant order	Geytenbeek and Geytenbeek 1971: 41
Gimira	 SOV	Breeze 1990: 46-47
Gitksan	 No dominant order	Rigsby 1986: 254, 260-261, 281-285
Goajiro	 VSO	Ehrman 1972a: 131-132; Olza Zubiri and Jusayú 1978: 9
Goemai	 SVO	Hellwig 2003: 41
Gogodala	 SOV	Voorhoeve 1975: 354
Gokana	 SVO
Golin	 SOV	Bunn 1974: 105, 111-112
Gondi	 SOV	Subrahmanyam 1968: 78, 80; Lincoln 1969: 160
Gooniyandi	 No dominant order	McGregor 1990: passim
Great Andamanese	 SOV	Radcliffe-Brown 1948: 504
Grebo	 SVO	Innes 1966: 100-103
Greek (Modern)	 No dominant order	Mackridge 1985: 236
Greenlandic (West)	 SOV	Fortescue 1984: 93, 96, 181-184
Guahibo	 SOV	Queixalós 2000: 43
Guajajara	 VSO	Bendor-Samuel 1972: 78
Guaraní	 SVO	Gregores and Suarez 1967: 182
Guarijío	 No dominant order	Miller 1996a: 73
Guató	 VSO	Rodrigues 1999b: 188
Gude	 VSO	Hoskison 1983: 1, 89, 106
Gugada	 SOV	Platt 1972: 53, 56, 66; Peile 1971: 40
Guhu-Samane	 SOV	Richert 1975: 794
Gujarati	 SOV	Cardona 1965: 168-171
Gula (in Central African Republic)	 SVO	Nougayrol 1999: 58
Gumawana	 SOV	Olson 1988: 7-8, 96-97, 100
Gumbaynggir	 No dominant order	Eades 1979: passim
Gumuz	 SVO	Bender 1979: 50-51; Uzar 1989: 368
Gunbalang	 SVO	Harris 1969b: 29; Coleman 1982: 51
Gungbe	 SVO	Hazoume 1979: 75, passim
Gunin	 No dominant order	McGregor 1993: 53
Gününa Küne	 No dominant order	Adelaar 2004: 562, 579
Gureng Gureng	 No dominant order	Brasch 1975: 9D
Gurr-goni	 No dominant order	Green 1995: 238
Gurung	 SOV	Glover 1974: 74, 82
Guugu Yimidhirr	 SOV	Haviland 1979: 27, 101
Gwari	 No dominant order	Hyman and Magaji 1970: 92
Gworok	 SVO	Adwiraah 1989: passim
Haida	 SOV	Enrico 2003: 74, 110
Hakka	 SVO	Hashimoto 1973: 523
Halia	 SVO	Allen and Allen 1965: passim
Halkomelem (Upriver)	 VSO	Galloway 1993: 422
Hamtai	 SOV	Oates and Oates 1968: 5
Hanga Hundi	 SOV	Wendel 1993: 104
Hatam	 SVO	Reesink 1999: 78, 89
Hausa	 SVO	Smirnova 1982: 71; Newman 2000: 718; Migeod 1914: 45; Kraft 1963: (Vol. 1) 35, 105, 149, 165
Hawaiian	 VSO	Elbert and Pukui 1979: 39-40
Haya	 SVO	Byarushengo 1977: 13
Hayu	 SOV	Michailovsky 1988: 133
Hdi	 VSO	Frajzyngier and Shay 2002: 5
Hebrew (Modern)	 SVO	Glinert 1989: 413
Hehe	 SVO	Velten 1899a: passim
Heiltsuk	 VSO	Rath 1981: 85
Hemba	 SVO	Vandermeiren 1912: 216-217
Hidatsa	 SOV	Matthews 1965: 59
Hiligaynon	 VSO	Wolfenden 1975: 69, 89, 108
Hindi	 SOV	McGregor 1977: 4
Hixkaryana	 OVS	Derbyshire 1985: 32, 74; Derbyshire 1979: 40
Hlai (Baoding)	 SVO	Ostapirat 2008: 645
Hmong Njua	 SVO	Lyman 1979: 26, passim; Harriehausen 1990: 121, 184
=|Hoan	 SVO	Anonymous 6: passim
Hoava	 VSO	Davis 2003: 185
Holoholo	 SVO	Coupez 1955: 137
Hopi	 SOV	Kalectaca 1978: 33
Hua	 SOV	Haiman 1980: 335
Hualapai	 SOV	Redden 1976: 104; Watahomigie et al. 1982: 49, passim
Huastec	 SVO	Edmonson 1988: 565
Huave (San Mateo del Mar)	 SVO	Stairs and Hollenbach 1981: 335
Huichol	 SOV
Huitoto (Minica)	 SOV	Minor et al. 1982: 40, 64
Huitoto (Murui)	 SOV	Burtch and Wise 1968: 18, 15
Hunde	 SVO	Kahombo 1992: 9, passim 45
Hungarian	 No dominant order	Kenesei et al. 1998: 73
Hunzib	 SOV	van den Berg 1995: passim
Hup	 SOV	Epps 2008: 750
Hupa	 No dominant order	Goddard 1911: 101; Goddard 1903: passim
Iaai	 SVO	Tryon 1968: 20, 21, passim 63
Iatmul	 SOV	Staalsen 1972: 57
Iban	 SVO	Omar 1981: 215
Icelandic	 SVO	Einarsson 1945: 172
Idoma	 No dominant order	Abraham 1951: 18
Iduna	 SOV	Huckett 1974: 113
Ifira-Mele	 SVO
Ifumu	 SVO	Makouta Mboukou 1977: 431-432
Igbo	 SVO	Carrell 1970: 2
Igede	 SVO	Bergman 1981: 23
Iha	 SOV	Voorhoeve 1975: passim
Ijo (Kolokuma)	 SOV	Williamson 1965: 33-35, 71
Ik	 VSO	Serzisko 1989: 387; Tucker 1973: 41
Ika	 SOV	Frank 1990: 3, 115-116, 123
Ila	 SVO	Smith 1907: 234
Ilocano	 VSO	Rubino 1998b: 13
Inanwatan	 No dominant order	de Vries 1996: 52-53
Indonesian	 SVO	Sneddon 1996a: 256 ; Macdonald 1976: 141
Ingessana	 SVO	Bender 1989: 166
Innamincka	 SOV	Breen 2004: 47
Iquito	 SVO	Eastman and Eastman 1963: 158
Iranxe	 SOV	Meader 1967: 60
Iraqw	 SOV	Whiteley 1958: 63; Tucker and Bryan 1966: 590; Nordbustad 1988: 301, 304
Irarutu	 SVO	Matsumura 1991a: 77
Irish	 VSO	Ó Dochartaigh 1992: 37; Stenson 1981: 40
I'saka	 SOV	Donohue and San Roque 2002: 78
Isirawa	 SOV	Oguri 1985: 143
Italian	 SVO	Vincent 1988: 305; Maiden and Robustelli 2000: 354; Sauer 1891: 301
Itelmen	 SOV	Volodin and Zhukova 1968: 347, passim
Itonama	 SVO	Camp and Liccardi 1967: 261, 264
Iwaidja	 SVO	Capell 1962b: 165
Iwam	 SOV	Conrad 1971: passim
Iwoyo	 SVO	Mingas 1994: 44
Ixil	 VSO	Elliot 1960: 134
Izere	 SVO	Lukas and Willms 1961: 11
Izi	 SVO	Meier et al. 1975: 140-141
Jabêm	 SVO	Dempwolff 1939: 57, 68
Jabutí	 SOV	Aikhenvald and Dixon 1999: 358
Jad	 SOV	Sharma 1989c: 74
Jakaltek	 VSO	Craig 1977: 8; Day 1973: 64
Jaminjung	 No dominant order	Schultze-Berndt 2000: 108
Jamsay	 SOV	Heath 2008: 17
Japanese	 SOV	Hinds 1986: 75; Shibatani 1990: 257, 259
Jarawa (in Andamans)	 SOV	Kumar 2003: passim
Jebero	 No dominant order	Bendor-Samuel 1961b: passim
Jingpho	 SOV	Hertz 1917: 4
Jino	 SOV	Gai 1986: 95
Jivaro	 SOV	Beuchat and Rivet 1909: 822
Johari	 SOV	Sharma 1989a: 249
Ju|'hoan	 SVO	Snyman 1970: 182; Dickens 1992: 1
Jukun	 SVO	Welmers 1968b: 27; Shimuzu 1980: 200, 314-315
Jur Mödö	 SVO	Persson 1981: 110; Persson and Persson 1991: 8
Kabardian	 SOV	Colarusso 1989: 332
Kabiyé	 SVO	Lebikaza 1999: 394
Kabyle	 VSO	Chaker 1983: 267, 279, 286
Kachari	 SOV	Endle 1884: 40
Kadazan	 VSO	Antonissen 1958: 37
Kadiwéu	 SVO	Sandalo 1997: 60
Kadugli	 SVO	Kutoado 1969: 56-57; Matsushita 1986: 111, 113
Kaingang	 SOV	Wiesemann 1972: 145
Kairiru	 SOV	Wivell 1981: 138
Kaki Ae	 SOV	Clifton 1997: 21
Kalispel	 VSO	Vogt 1940: 78
Kalkatungu	 SOV	Blake 1969: 66
Kaluli	 SOV	Schieffelin and Feld 1998: xix
Kamaiurá	 SOV	Seki 2000: 154
Kamasau	 SOV	Sanders and Sanders 1994: 5
Kamass	 SOV	Künnap 1999b: 32
Kamba	 SVO	Whiteley and Muli 1962: passim
Kambot	 SOV	Laycock and Z'graggen 1975: 759
Kamoro	 SOV	Boelaars 1950: 92
Kamu	 No dominant order	Harvey 1990: passim
Kana	 SVO	Ikoro 1996: 134
Kanakuru	 SVO	Newman 1974: 16, 19, 63
Kanashi	 SOV	Sharma 1992: 393
Kanembu	 SOV	Lukas 1931: 25
Kannada	 SOV	Sridhar 1990: 137; Schiffman 1983: 95
Kanoê	 SOV	Bacelar 2004: 229
Kanum (Bädi)	 SOV	Boelaars 1950: 38
Kanuri	 SOV	Hutchison 1981: 89; Hutchison 1976: 2-3; Lukas 1937: 13, 149
Karachay-Balkar	 SOV	Seegmiller 1996: 37
Kara (in Central African Republic)	 SVO	Santandrea 1970: 126
Karajá	 SOV	Maia 1998: 28
Karakalpak	 SOV	Wurm 1951: 595
Karankawa	 No dominant order	Gatschet 1891a: 92
Karen (Bwe)	 SVO	Henderson 1997: passim
Karen (Pwo)	 SVO	Kato 2003: 639
Karen (Sgaw)	 SVO	Jones 1961: 30, 55, passim
Karimojong	 VSO	Novelli 1985: 19, 534
Karkar-Yuri	 SOV	Rigden n.d. (a): 92, 94
Karó (Arára)	 SOV	Gabas 1999: 120
Karok	 No dominant order	Bright 1977: passim
Kasem	 SVO	Bonvini 1988: 31
Kashmiri	 SVO	Wali and Koul 1997: 89
Kasong	 SVO	Sunee 2003: 171
Katcha	 SVO	Tucker and Bryan 1966: 311
Kati (in West Papua, Indonesia)	 SOV	Boelaars 1950: 124, 79
Katla	 SVO	Tucker and Bryan 1966: 268
Kaulong	 SVO	Ross 2002i: 404
Kawaiisu	 No dominant order	Zigmond et al. 1990-1991: passim
