Language	Value	Reference
Batak (Toba)	 Noun-Relative clause (NRel) dominant	Nababan 1981: passim; van der Tuuk 1864: passim ; Percival 1981: passim
Baure	 Noun-Relative clause (NRel) dominant	Baptista and Wallin 1967: 42-44
Beja	 Noun-Relative clause (NRel) dominant	Reinisch 1893: 119-120, 157
Bella Coola	 Noun-Relative clause (NRel) dominant	Davis and Saunders 1997: 98-104, passim
Belorussian	 Noun-Relative clause (NRel) dominant	Mayo 1993: 926
Berber (Figuig)	 Noun-Relative clause (NRel) dominant	Kossmann 1997: 317
Berber (Middle Atlas)	 Noun-Relative clause (NRel) dominant	Penchoen 1973b: 67
Berber (Rif)	 Noun-Relative clause (NRel) dominant	Kossmann 2000: 156-157 
Beria	 Noun-Relative clause (NRel) dominant	Crass and Jakobi 2004: 177
Berta	 Noun-Relative clause (NRel) dominant	Triulzi et al. 1976a: 527
Biak	 Noun-Relative clause (NRel) dominant	van den Heuvel 2006: 201-202
Bidiya	 Noun-Relative clause (NRel) dominant	Alio 1986: 222
Bilua	 NRel or RelN	Obata 2003
Bimoba	 Noun-Relative clause (NRel) dominant	Jacobs 1970: 76, 154-155
Bini	 Noun-Relative clause (NRel) dominant	Dunn 1968: 209-210, passim, 213
Biri	 Noun-Relative clause (NRel) dominant	Terrill 1998: 61
Birom	 Noun-Relative clause (NRel) dominant	Bouquiaux 1970: 336, 433
Blackfoot	 NRel or RelN	
Bobangi	 Noun-Relative clause (NRel) dominant	Whitehead 1899: 69-70
Bodo	 NRel or RelN	
Boko	 Noun-Relative clause (NRel) dominant	
Bontok	 Noun-Relative clause (NRel) dominant	Seidenadel 1909: 149-158
Brahui	 Noun-Relative clause (NRel) dominant	Bray 1909: passim
Breton	 Noun-Relative clause (NRel) dominant	Press 1986: 187
Buduma	 Noun-Relative clause (NRel) dominant	Lukas and Nachtigal 1939: 76-77
Bugis	 Noun-Relative clause (NRel) dominant	Samsuri 1965: 154-155
Bulgarian	 Noun-Relative clause (NRel) dominant	Scatton 1984: passim
Buma	 Noun-Relative clause (NRel) dominant	Tryon 2002: 578
Buru	 Noun-Relative clause (NRel) dominant	Grimes 1991: 183
Burunge	 Noun-Relative clause (NRel) dominant	Kiessling 1994: 198, 220-225
Busa	 Noun-Relative clause (NRel) dominant	Wedekind 1972: 23-24, 141-142
Bushoong	 Noun-Relative clause (NRel) dominant	Edmiston 1932: 192
Cahuilla	 Noun-Relative clause (NRel) dominant	Seiler 1977: passim, 228, 181
Cakchiquel	 Noun-Relative clause (NRel) dominant	García Matzar and Rodríguez Guaján 1997: 259
Campa (Axininca)	 Noun-Relative clause (NRel) dominant	Payne 1981: 9, passim
Canamarí	 Noun-Relative clause (NRel) dominant	
Canela	 NRel or internally-headed	Popjes and Popjes 1986: 171
Carib (De'kwana)	 Noun-Relative clause (NRel) dominant	Hall 1988: 53, 79, 108
Catalan	 Noun-Relative clause (NRel) dominant	Hualde 1992: 119
Cavineña	 Noun-Relative clause (NRel) dominant	Guillaume 2004: 422 
Cebuano	 Noun-Relative clause (NRel) dominant	Wolff 1966: passim
Cèmuhî	 Noun-Relative clause (NRel) dominant	Lynch 2002c: 759
Chaldean (Modern)	 Noun-Relative clause (NRel) dominant	Sara 1974: 101
Chamorro	 Noun-Relative clause (NRel) dominant	Topping 1973: 280-282 
Cham (Western)	 Noun-Relative clause (NRel) dominant	Baumgartner 1998: 6
Chatino (Sierra Occidental)	 Noun-Relative clause (NRel) dominant	Pride 1965: 30, 32
Chatino (Yaitepec)	 Noun-Relative clause (NRel) dominant	Rasch 2002: 82
Chemehuevi	 Noun-Relative clause (NRel) dominant	Press 1979: 58, 109-114
Chichewa	 Noun-Relative clause (NRel) dominant	Mchombo 2004: 24 
Chinantec (Comaltepec)	 Noun-Relative clause (NRel) dominant	Anderson 1989: 81
Chinantec (Lealao)	 Noun-Relative clause (NRel) dominant	Rupp 1989: 72, 85
Chinantec (Palantla)	 Noun-Relative clause (NRel) dominant	Merrifield 1968: 55, 100-101
Chinantec (Quiotepec)	 Noun-Relative clause (NRel) dominant	Robbins 1968: 58, passim
Chipewyan	 Noun-Relative clause (NRel) dominant	Carter 1979: 1
Chitimacha	 Noun-Relative clause (NRel) dominant	Swadesh 1946b: 333
Chontal Maya	 Noun-Relative clause (NRel) dominant	Knowles 1984: 348
Chrau	 Noun-Relative clause (NRel) dominant	Thomas 1971: passim, 139
Chuj	 Noun-Relative clause (NRel) dominant	Hopkins 1967: 154-155
Chukchi	 NRel or RelN	Dunn 1999: passim
Comanche	 Noun-Relative clause (NRel) dominant	Wistrand-Robinson and Armagost 1990: 332; Charney 1993: 237-247
Coos (Hanis)	 Noun-Relative clause (NRel) dominant	Frachtenberg 1913: passim
Coptic	 Noun-Relative clause (NRel) dominant	Lambdin 1983: 8, 43-44, 76-77, 86 
Cora	 Noun-Relative clause (NRel) dominant	Casad 1984: 411
Cornish	 Noun-Relative clause (NRel) dominant	Jenner 1904: 109-110
Cubeo	 Noun-Relative clause (NRel) dominant	Morse and Maxwell 1999a: 151
Czech	 Noun-Relative clause (NRel) dominant	Harkins 1953: passim
Dadjriwalé	 Noun-Relative clause (NRel) dominant	Gode 2008: 149ff
Daga	 Noun-Relative clause (NRel) dominant	Murane 1974: 17, 89, 147-148
Dan	 Noun-Relative clause (NRel) dominant	Doneux 1968: 60-61
Dani (Lower Grand Valley)	 Noun-Relative clause (NRel) dominant	Bromley 1981: 262-263
Danish	 Noun-Relative clause (NRel) dominant	Bredsdorff 1958: 86-88; Allan et al. 1995: 201ff 
Day	 Noun-Relative clause (NRel) dominant	Nougayrol 1979: 143ff
Degema	 Noun-Relative clause (NRel) dominant	Kari 1997: 51
Desano	 Noun-Relative clause (NRel) dominant	Miller 1999: 6
Didinga	 Noun-Relative clause (NRel) dominant	Rosato 1980: 13; Tucker and Bryan 1966: 382
Dinka	 Noun-Relative clause (NRel) dominant	Tucker and Bryan 1966: 423; Nebel 1948: passim, CaseTone
Diola-Fogny	 Noun-Relative clause (NRel) dominant	Sapir 1965: 47, 76, 87, 106 
Djambarrpuyngu	 Noun-Relative clause (NRel) dominant	Buchanan 1978: 173
Domari	 Noun-Relative clause (NRel) dominant	Macalister 1914: 23-24
Doyayo	 Noun-Relative clause (NRel) dominant	Wiering and Wiering 1994: 167-169
Drehu	 Noun-Relative clause (NRel) dominant	Tryon 1967a: 60, 63, 65, 67, 83
Duka	 Noun-Relative clause (NRel) dominant	Bendor-Samuel et al. 1973: 68-69, 118, 146
Dutch	 Noun-Relative clause (NRel) dominant	Shetter 1958: 98-99
Dyirbal	 Noun-Relative clause (NRel) dominant	Dixon 1972: passim 
Efate (South)	 Noun-Relative clause (NRel) dominant	
Efik	 Noun-Relative clause (NRel) dominant	Welmers 1968a: 109, 110-111
Emberá (Northern)	 Noun-Relative clause (NRel) dominant	Loewen 1958: 114
Émérillon	 Noun-Relative clause (NRel) dominant	Rose 2003b: 492-502
Engenni	 Noun-Relative clause (NRel) dominant	Thomas 1978: passim
Enggano	 Noun-Relative clause (NRel) dominant	Kähler 1940: 93
English	 Noun-Relative clause (NRel) dominant	
Erromangan	 Noun-Relative clause (NRel) dominant	Crowley 1998a: 161 
Estonian	 Noun-Relative clause (NRel) dominant	de Sivers 1969: 227, 229; Tauli 1983: 257
Eudeve	 Noun-Relative clause (NRel) dominant	Shaul 1991: 106
Ewe	 Noun-Relative clause (NRel) dominant	Ameka 1991: 45, 47-48, 62-63; Warburton et al. 1968: 97
Ewondo	 Noun-Relative clause (NRel) dominant	Redden 1979: passim
Fijian	 Noun-Relative clause (NRel) dominant	Dixon 1988: 43, 251 
Finnish	 Noun-Relative clause (NRel) dominant	Sulkala and Karjalainen 1992: 43, 88
Fongbe	 Noun-Relative clause (NRel) dominant	Lefebvre and Brousseau 2002: 53, 56
French	 Noun-Relative clause (NRel) dominant	
Frisian	 Noun-Relative clause (NRel) dominant	Tiersma 1985: 132
Fulfulde (Adamawa)	 Noun-Relative clause (NRel) dominant	Arnott 1970: 21
Fur	 Noun-Relative clause (NRel) dominant	Beaton 1968: passim
Futuna-Aniwa	 Noun-Relative clause (NRel) dominant	Dougherty 1983: 94-95
Fyem	 Noun-Relative clause (NRel) dominant	Nettle 1998: 53
Ga'anda	 Noun-Relative clause (NRel) dominant	Newman 1971: 89
Gaelic (Scots)	 Noun-Relative clause (NRel) dominant	Calder 1923: 259-260
Gahuku	 NRel or RelN	Deibler 1976: 45
Gapapaiwa	 Noun-Relative clause (NRel) dominant	McGuckin 2002: 305
Garífuna	 Noun-Relative clause (NRel) dominant	Taylor 1958: 37
Gbeya Bossangoa	 Noun-Relative clause (NRel) dominant	Samarin 1966: 65, 121, 123, passim
Gela	 Noun-Relative clause (NRel) dominant	Crowley 2002a: 531
Georgian	 Noun-Relative clause (NRel) dominant	Hewitt 1995: 600ff 
German	 Noun-Relative clause (NRel) dominant	Lederer 1969: 604, 612-613
Gimira	 NRel or RelN	Breeze 1990: 39, 47-48
Godoberi	 NRel or RelN	Kibrik 1996: 161
Gokana	 Noun-Relative clause (NRel) dominant	
Grebo	 Noun-Relative clause (NRel) dominant	Innes 1966: 94
Greek (Modern)	 Noun-Relative clause (NRel) dominant	Mackridge 1985: passim
Greenlandic (West)	 Noun-Relative clause (NRel) dominant	Woodbury 1977: 308; Fortescue 1984: 108
Guahibo	 Noun-Relative clause (NRel) dominant	Queixalós 2000: 311ff
Gude	 Noun-Relative clause (NRel) dominant	Hoskison 1983: 57
Gula (in Central African Republic)	 Noun-Relative clause (NRel) dominant	Nougayrol 1999: 87-89
Gumawana	 NRel or internally-headed	Olson 1988: 91-93
Gumbaynggir	 Noun-Relative clause (NRel) dominant	Eades 1979: 328
Gumuz	 Noun-Relative clause (NRel) dominant	Bender 1979: 56
Gunbalang	 Noun-Relative clause (NRel) dominant	Coleman 1982: 55-56
Gwari	 Noun-Relative clause (NRel) dominant	Hyman and Magaji 1970: 47
Halia	 Noun-Relative clause (NRel) dominant	Allen and Allen 1965: passim
Hatam	 Noun-Relative clause (NRel) dominant	Reesink 1999: 56, 112
Hausa	 Noun-Relative clause (NRel) dominant	Newman 2000: 376; Kraft 1963: Vol. 1:66-Vol. 1:71
Hawaiian	 Noun-Relative clause (NRel) dominant	Elbert and Pukui 1979: passim 
Hawrami	 Noun-Relative clause (NRel) dominant	MacKenzie 1966: 59
Haya	 Noun-Relative clause (NRel) dominant	Byarushengo 1977: 12
Hdi	 Noun-Relative clause (NRel) dominant	Frajzyngier and Shay 2002: 401
Hebrew (Modern)	 Noun-Relative clause (NRel) dominant	Glinert 1989: 359 
Heiltsuk	 Noun-Relative clause (NRel) dominant	Rath 1981: 90
Hidatsa	 Noun-Relative clause (NRel) dominant	Matthews 1965: 49, 167
Hixkaryana	 Noun-Relative clause (NRel) dominant	Derbyshire 1985: 108, 136
Hmong Njua	 Noun-Relative clause (NRel) dominant	Harriehausen 1990: 141; Lyman 1979: passim
Hoan	 Noun-Relative clause (NRel) dominant	Anonymous 6: passim
Hoava	 Noun-Relative clause (NRel) dominant	Davis 2003: 34, 97
Holoholo	 Noun-Relative clause (NRel) dominant	Coupez 1955: 121
Huastec	 Noun-Relative clause (NRel) dominant	Edmonson 1988: 515
Huave (San Mateo del Mar)	 Noun-Relative clause (NRel) dominant	Stairs and Hollenbach 1981: passim
Huichol	 Noun-Relative clause (NRel) dominant	Grimes 1964: 38, passim
Hunde	 Noun-Relative clause (NRel) dominant	Kahombo 1992: 197ff
Hungarian	 NRel or RelN	Kenesei et al. 1998: 38 
Hupa	 Noun-Relative clause (NRel) dominant	Goddard 1903: passim
Iaai	 Noun-Relative clause (NRel) dominant	Tryon 1968: 76
Iau	 Noun-Relative clause (NRel) dominant	Bateman 1986: passim
Iban	 Noun-Relative clause (NRel) dominant	Omar 1981: 198-199, 238-239
Icelandic	 Noun-Relative clause (NRel) dominant	Einarsson 1945: passim, 127
Iduna	 Noun-Relative clause (NRel) dominant	Huckett 1974: 90-91
Ifira-Mele	 Noun-Relative clause (NRel) dominant	
Ifugao (Batad)	 Noun-Relative clause (NRel) dominant	Newell 1993: passim
Igbo	 Noun-Relative clause (NRel) dominant	Emenanjo 1978: 80
Ignaciano	 Noun-Relative clause (NRel) dominant	Ott and Ott 1967b: 100, 102
Ik	 Noun-Relative clause (NRel) dominant	Serzisko 1989: 393; Tucker 1972: 192
Ila	 Noun-Relative clause (NRel) dominant	Smith 1907: 235, 240
Indonesian	 Noun-Relative clause (NRel) dominant	Danusugondo 1975: passim; Sneddon 1996a: 148, 286ff ; Macdonald 1976: 89 
Ingessana	 Noun-Relative clause (NRel) dominant	Bender 1989: 178-179
Iraqw	 Noun-Relative clause (NRel) dominant	Whiteley 1958: passim
Irish	 Noun-Relative clause (NRel) dominant	McCloskey 1979: 180, passim; Stenson 1981: passim; Ó Dochartaigh 1992: 51
I'saka	 Noun-Relative clause (NRel) dominant	Donohue and San Roque 2002: 83, 89
Italian	 Noun-Relative clause (NRel) dominant	Maiden and Robustelli 2000: 130ff
Izi	 Noun-Relative clause (NRel) dominant	Meier et al. 1975: passim
Jabêm	 Noun-Relative clause (NRel) dominant	Dempwolff 1939: 87
Jakaltek	 Noun-Relative clause (NRel) dominant	Day 1973: 66, passim; Craig 1977: 9, 191-192
Jebero	 Noun-Relative clause (NRel) dominant	Bendor-Samuel 1961b: 46, passim
Ju|'hoan	 Noun-Relative clause (NRel) dominant	Snyman 1970: 105; Dickens 1992: 28, 29
Jukun	 Noun-Relative clause (NRel) dominant	Shimuzu 1980: 177; Welmers 1968b: 64, 69
Jur Mödö	 Noun-Relative clause (NRel) dominant	Persson 1981: 17, 25
Kabatei	 Noun-Relative clause (NRel) dominant	Stilo 2005: passim
Kabyle	 Noun-Relative clause (NRel) dominant	Chaker 1983: 379
Kagulu	 Noun-Relative clause (NRel) dominant	Last 1886: 47-49
Kairiru	 Noun-Relative clause (NRel) dominant	Wivell 1981: 39, 185-186
Kamaiurá	 Noun-Relative clause (NRel) dominant	Seki 2000: 117, 176-182
Kamasau	 NRel or RelN	Sanders and Sanders 1994: 5, passim, 48
Kambera	 Noun-Relative clause (NRel) dominant	Klamer 1998: 316
Kana	 Noun-Relative clause (NRel) dominant	Ikoro 1996: 224, passim, 265ff
Kanakuru	 Noun-Relative clause (NRel) dominant	Newman 1974: 94
Kanuri	 Noun-Relative clause (NRel) dominant	Hutchison 1981: 217; Hutchison 1976: 3, 63; Lukas 1937: 155-157
Kanyok	 Noun-Relative clause (NRel) dominant	Mukash Kalel 1982: 260-261
Kapampangan	 Noun-Relative clause (NRel) dominant	Mirikitani 1972: 189
Kara (in Central African Republic)	 Noun-Relative clause (NRel) dominant	Santandrea 1970: passim, 181-182; Boyeldieu 1987: 64
Karen (Bwe)	 Noun-Relative clause (NRel) dominant	Henderson 1997: passim
Karen (Pwo)	 Noun-Relative clause (NRel) dominant	Kato 2003: 641
Karen (Sgaw)	 Noun-Relative clause (NRel) dominant	Jones 1961: 34, passim
Karimojong	 Noun-Relative clause (NRel) dominant	Novelli 1985: 112-113
Kashmiri	 NRel or correlative	Wali and Koul 1997: 54-55 
Katcha	 Noun-Relative clause (NRel) dominant	Stevenson 1957: 63-64
Katla	 Noun-Relative clause (NRel) dominant	Tucker and Bryan 1966: 267
Kaulong	 Noun-Relative clause (NRel) dominant	Ross 2002i: 395
Kawaiisu	 Noun-Relative clause (NRel) dominant	Zigmond et al. 1990-1991: 124
Kayah Li (Eastern)	 Noun-Relative clause (NRel) dominant	Solnit 1986: 298, 352
Kayardild	 Noun-Relative clause (NRel) dominant	Evans 1995: 489, 517
Kele	 Noun-Relative clause (NRel) dominant	Ross 2002k: 135
Kenga	 Noun-Relative clause (NRel) dominant	Vandame 1968: 21-22
Kera	 Noun-Relative clause (NRel) dominant	Ebert 1979: 174
Kete	 Noun-Relative clause (NRel) dominant	Kamba Muzenga 1980: 174-175
Khalaj	 Noun-Relative clause (NRel) dominant	Doerfer 1988: 232 
Kham (Tibetan) (Nangchen)	 Noun-Relative clause (NRel) dominant	Causemann 1989: 118
Khasi	 Noun-Relative clause (NRel) dominant	Nagaraja 1985: 14; Rabel 1961: 51-52, 131-132
Khmer	 Noun-Relative clause (NRel) dominant	Gorgoniev 1966: 121-122; Ehrman 1970: 15-16
Kikuyu	 Noun-Relative clause (NRel) dominant	Barlow 1960: 56
Kilivila	 Noun-Relative clause (NRel) dominant	Senft 1986: 66, 121-122
Kiliwa	 Noun-Relative clause (NRel) dominant	Mixco 1971: 215, 237-238, passim
Kipea	 Noun-Relative clause (NRel) dominant	Adam 1897: passim
Kiribati	 Noun-Relative clause (NRel) dominant	Cowell 1951: 21-22; Groves et al. 1985: passim
Kirma	 Noun-Relative clause (NRel) dominant	Prost 1964b: 46
Kisi	 Noun-Relative clause (NRel) dominant	Childs 1995: 295
Klamath	 Noun-Relative clause (NRel) dominant	Gatschet 1890: 662; Barker 1964: passim
Koegu	 Noun-Relative clause (NRel) dominant	Hieda 1998: 357
Kokota	 Noun-Relative clause (NRel) dominant	Palmer 2002: 505
Koluri	 Noun-Relative clause (NRel) dominant	Stilo 2005: passim
Kombio	 Noun-Relative clause (NRel) dominant	Yi 2008: 13
Konni	 Noun-Relative clause (NRel) dominant	Cahill 1999: 17
Korana	 NRel or RelN	Meinhof 1930: 62
Koreguaje	 Noun-Relative clause (NRel) dominant	Cook and Criswell 1993: iv
Koromfe	 Noun-Relative clause (NRel) dominant	Rennison 1997: 45
Korowai	 NRel or RelN	van Enk and de Vries 1997: passim 
Kosraean	 Noun-Relative clause (NRel) dominant	Lee 1975: 345
Koyraboro Senni	 Noun-Relative clause (NRel) dominant	Heath 1999a: 242; Prost 1956: passim, 56
Koyra Chiini	 Noun-Relative clause (NRel) dominant	Heath 1999b: 186
Kresh	 Noun-Relative clause (NRel) dominant	Tucker and Bryan 1966: 74, 83
Krongo	 Noun-Relative clause (NRel) dominant	Reh 1985: 249, 253-258; Reh 1983: 47
Kugu Nganhcara	 Noun-Relative clause (NRel) dominant	Smith and Johnson 2000: 430
Kulung	 NRel or RelN	Tolsma 1999: 91-92
Kunama	 Noun-Relative clause (NRel) dominant	Tucker and Bryan 1966: 346
Kuot	 Noun-Relative clause (NRel) dominant	Chung and Chung 1996: 16
Kurdish (Central)	 Noun-Relative clause (NRel) dominant	Blau 1980: 156-157
Kuuk Thaayorre	 Noun-Relative clause (NRel) dominant	
Kwangali	 Noun-Relative clause (NRel) dominant	Dammann 1957: 34
Kwaza	 Noun-Relative clause (NRel) dominant	van der Voort 2004: 188 
Kyirong	 NRel or RelN	Huber 2005: 177
Kyuquot	 Noun-Relative clause (NRel) dominant	Rose 1981: 128, 132-134, 135
Labu	 Noun-Relative clause (NRel) dominant	Siegel 1984: 119-120
Lalo	 NRel or RelN	Björverud 1998: 117, passim
Lamaholot	 Noun-Relative clause (NRel) dominant	Nishiyama and Kelen 2007: 126
Lamang	 Noun-Relative clause (NRel) dominant	Wolff 1983: 190-191, 197-198
Lamen	 Noun-Relative clause (NRel) dominant	Early 2002b: 674
Lampung	 Noun-Relative clause (NRel) dominant	Walker 1976: 17-19
Lango	 Noun-Relative clause (NRel) dominant	Noonan 1992: 154
Lao	 Noun-Relative clause (NRel) dominant	Hospitalier 1937: passim; Yates and Sayisthsena 1970: passim
Latvian	 Noun-Relative clause (NRel) dominant	Bielenstein 1863: 414 ; Lazdina 1966: 63
Lega	 Noun-Relative clause (NRel) dominant	Meeussen 1971: 445
Lele	 Noun-Relative clause (NRel) dominant	Frajzyngier 2001: 435
Lenakel	 Noun-Relative clause (NRel) dominant	Lynch 1978: 105-107
Lendu	 NRel or RelN	Tucker 1967: 396
Leti	 Noun-Relative clause (NRel) dominant	van Engelenhoven 1995: 228
Lewo	 Noun-Relative clause (NRel) dominant	Early 1994a: 186
Linda	 Noun-Relative clause (NRel) dominant	Cloarec-Heiss 1986: 248-251
Lithuanian	 Noun-Relative clause (NRel) dominant	Dambriunas et al. 1966: passim
Logoti	 Noun-Relative clause (NRel) dominant	Tucker 1967: 265
Lokono	 NRel or RelN	Pet 1987: 91, 94-100, 103-104
Longgu	 Noun-Relative clause (NRel) dominant	Hill 2002: 546-547
Loniu	 Noun-Relative clause (NRel) dominant	Hamel 1985: 144, 154
Luganda	 Noun-Relative clause (NRel) dominant	Ashton et al. 1954: passim
Lugbara	 Noun-Relative clause (NRel) dominant	Barr 1965: 54-56, 131-132; Crazzolara 1960: 56-60, 149
Luiseño	 Noun-Relative clause (NRel) dominant	Hyde 1971: 169
Lunda	 Noun-Relative clause (NRel) dominant	Kawasha 2003: 348
Luo	 Noun-Relative clause (NRel) dominant	Omondi 1982: 231-232
Luvale	 Noun-Relative clause (NRel) dominant	Horton 1949: 177-179
Ma'anyan	 Noun-Relative clause (NRel) dominant	Gudai 1988: 98
Maasai	 Noun-Relative clause (NRel) dominant	Tucker and Mpaayei 1955: 23, 106-107
Maba	 Noun-Relative clause (NRel) dominant	Trenga 1947: 66
Macushi	 NRel or RelN	Abbott 1991: 70; Carson 1982: 125-126, 168-169
Ma'di	 Noun-Relative clause (NRel) dominant	Tucker 1967: 264, 268-269
Maipure	 Noun-Relative clause (NRel) dominant	Zamponi 2003a: 30
Maithili	 NRel or correlative	Yadav 1996: 354
Majang	 Noun-Relative clause (NRel) dominant	Unseth 1989: 97, passim, 106
Makah	 NRel or RelN	
Makasae	 Noun-Relative clause (NRel) dominant	Huber 2008: 35
Malagasy	 Noun-Relative clause (NRel) dominant	Dez 1980b: 107-108, 117; Domenichini-Ramiaramanana 1977: 96
Maleu	 Noun-Relative clause (NRel) dominant	Haywood 1996: 179
Malgwa	 Noun-Relative clause (NRel) dominant	Löhr 2002: 252
Mam	 Noun-Relative clause (NRel) dominant	England 1983: 149, 290
Mamanwa	 Noun-Relative clause (NRel) dominant	Miller and Miller 1976: 33
Manadonese	 Noun-Relative clause (NRel) dominant	Wantalangi 1993: 51, 89ff
Manam	 Noun-Relative clause (NRel) dominant	Gregersen 1976: 98; Lichtenberk 1983: 260, 553
Mangap-Mbula	 Noun-Relative clause (NRel) dominant	Bugenhagen 1995: 15
Mangarrayi	 Noun-Relative clause (NRel) dominant	Merlan 1982: 15, 17
Manggarai	 Noun-Relative clause (NRel) dominant	Semiun 1993: 41
Mango	 Noun-Relative clause (NRel) dominant	Khamis 1983: 155
Maninka (Western)	 Noun-Relative clause (NRel) dominant	Delafosse 1929: 149-150
Maori	 Noun-Relative clause (NRel) dominant	Bauer 1993: 51, 107 
Margi	 Noun-Relative clause (NRel) dominant	Hoffmann 1963: 277, 280
Maricopa	 NRel or internally-headed	Gordon 1986: 250-265
Marquesan	 Noun-Relative clause (NRel) dominant	Lynch 2002a: 871-872
Masa	 Noun-Relative clause (NRel) dominant	Caitucoli 1986: 46-48
Masakin	 Noun-Relative clause (NRel) dominant	Tucker and Bryan 1966: 282
Masalit	 Noun-Relative clause (NRel) dominant	Edgar 1989: 80
Maung	 Noun-Relative clause (NRel) dominant	Capell and Hinch 1970: passim
Maybrat	 Noun-Relative clause (NRel) dominant	Brown 1990: passim, 47, passim; Dol 1999: 137, 151, 168, 239
Mayogo	 Noun-Relative clause (NRel) dominant	Sawka 2001: 32
Mbara	 Noun-Relative clause (NRel) dominant	Tourneux et al. 1986: 174-175
