Language	Value	Reference
Cayapa	 Final subordinator word	Abrahamson 1962: passim
Cayuvava	 Initial subordinator word	Key 1967: 68
Cèmuhî	 Initial subordinator word	Lynch 2002c: 763
Chácobo	 Subordinating suffix	Prost 1967: passim
Chamorro	 Initial subordinator word	Topping 1973: 147 
Cham (Western)	 Initial subordinator word	Baumgartner 1998: 9-10
Chatino (Sierra Occidental)	 Initial subordinator word	Pride 1965: 148, 154
Chatino (Yaitepec)	 Initial subordinator word	Rasch 2002: 298-309
Chichewa	 Initial subordinator word	Bentley and Kulemeka 2001: 40-43
Chinantec (Comaltepec)	 Initial subordinator word	Anderson 1989: 99-100, passim
Chinantec (Lealao)	 Initial subordinator word	Rupp 1989: 105-107, 50-53
Chinantec (Palantla)	 Initial subordinator word	Merrifield 1968: 75-78, 88
Chinantec (Quiotepec)	 Initial subordinator word	Robbins 1968: 132, 144, passim
Chin (Mara)	 Final subordinator word	Lorrain 1951: passim
Chinook (Lower)	 Initial subordinator word	Boas 1911b: passim
Chin (Siyin)	 Final subordinator word	Naylor 1925: 13, 15, 21, 26, 27, 30
Chin (Tiddim)	 Final subordinator word	Henderson 1965: passim
Chipewyan	 Final subordinator word	Richardson 1968: passim
Chitimacha	 Final subordinator word	Swanton 1919: 17
Choctaw	 Subordinating suffix	Nicklas 1979: 72-74, 78
Cholón	 Subordinating suffix	Alexander Bakkerus 2005: 275ff, 335, 337
Chontal (Huamelultec Oaxaca)	 Initial subordinator word	Waterhouse 1967: 362
Chontal Maya	 Initial subordinator word	Knowles 1984: passim 340-344
Chrau	 Initial subordinator word	Thomas 1971: 173
Chukchi	 Initial subordinator word	Dunn 1999: passim
Chuvash	 Final subordinator word	Krueger 1961: passim
Cocama	 Mixed	Faust 1971: 81-82, 99; Faust 1972: 138-139
Coos (Hanis)	 Initial subordinator word	Frachtenberg 1913: passim; Frachtenberg 1922a: passim
Coptic	 Initial subordinator word	Plumley 1948: 181; Lambdin 1983: 47, 81, 129, 136, 142 
Cornish	 Initial subordinator word	Jenner 1904: 162-163
Czech	 Initial subordinator word	Harkins 1953: passim
Dagur	 Final subordinator word	Martin 1961: passim
Dani (Lower Grand Valley)	 Mixed	Bromley 1981: 43, 88, 234
Danish	 Initial subordinator word	Bredsdorff 1958: 132-136; Allan et al. 1995: 465ff 
Desano	 Final subordinator word	Miller 1999: 151
Dhargari	 Initial subordinator word	Klokeid 1969: 54
Didinga	 Initial subordinator word	Rosato 1980: 14, passim 24, 46-48
Dimasa	 Final subordinator word	Dundas 1908: 17
Dinka	 Initial subordinator word	Nebel 1948: 75-76, 95-97
Diola-Fogny	 Initial subordinator word	Sapir 1965: 106 
Djapu	 Initial subordinator word	Morphy 1983: 127, 131
Dla (Menggwa)	 Subordinating suffix	de Sousa 2006: passim
Domaaki	 Mixed	Lorimer 1939: 127-128
Domari	 Initial subordinator word	Macalister 1914: passim
Donno So	 Final subordinator word	Kervran and Prost 1969: 127-131, 142-144
Drehu	 Initial subordinator word	Moyse-Faurie 1983: 186-188
Duka	 Initial subordinator word	Bendor-Samuel et al. 1973: 6, 14, 16, 21-22, 36
Dulong	 Final subordinator word	LaPolla 2003a: 681
Dutch	 Initial subordinator word	Shetter 1958: 96-97
Efate (South)	 Initial subordinator word	
Efik	 Initial subordinator word	Welmers 1968a: 139
Eipo	 Mixed	Heeschen 1998: 193, passim
Emberá (Northern)	 Subordinating suffix	Loewen 1958: 71, 76
Émérillon	 Subordinating suffix	Rose 2003b: 482ff
Enggano	 Initial subordinator word	Kähler 1940: 114-116
English	 Initial subordinator word	
Epena Pedee	 Mixed	Harms 1994: 16, 152
Ese Ejja	 Final subordinator word	Shoemaker and Shoemaker 1967: passim
Estonian	 Initial subordinator word	Tauli 1983: 245ff; de Sivers 1969: 274, 278
Eudeve	 Mixed	Shaul 1991: 95-96
Evenki	 Subordinating suffix	Nedjalkov 1997: 44ff 
Ewe	 Initial subordinator word	Ameka 1991: 45, 61; Warburton et al. 1968: 163, 203
Ewondo	 Initial subordinator word	Redden 1979: passim
Fijian	 Initial subordinator word	Dixon 1988: 40, 259-260 
Finnish	 Initial subordinator word	Sulkala and Karjalainen 1992: 50, 54-59
French	 Initial subordinator word	
Fulfulde (Adamawa)	 Initial subordinator word	Arnott 1970: 37-38
Fulniô	 Subordinating suffix	Lapenda 1968: 135, 154, 210
Futuna-Aniwa	 Initial subordinator word	Dougherty 1983: passim
Fyem	 Initial subordinator word	Nettle 1998: 56
Gã	 Initial subordinator word	Ablorh-Odjidja 1968: 122
Gaelic (Scots)	 Initial subordinator word	Calder 1923: 206-208, 222
Gahuku	 Subordinating suffix	Deibler 1976: 69
Garífuna	 Initial subordinator word	Taylor 1977: passim; Taylor 1958: passim
Garo	 Subordinating suffix	Burling 1961: 30-31, 34-35, 75
Garrwa	 Initial subordinator word	Furby and Furby 1977: passim
Gavião	 Final subordinator word	Moore 1984: 89
Georgian	 Initial subordinator word	Vogt 1971: 203
German	 Initial subordinator word	Lederer 1969: 412
Gimira	 Final subordinator word	Breeze 1990: 53
Gokana	 Initial subordinator word	
Greek (Modern)	 Initial subordinator word	Mackridge 1985: 271
Guajajara	 Final subordinator word	Bendor-Samuel 1972: passim
Gude	 Initial subordinator word	Hoskison 1983: 129, 133
Gujarati	 Initial subordinator word	Cardona 1965: 107, 152
Gumawana	 Initial subordinator word	Olson 1988: 131-135, passim
Gününa Küne	 Subordinating suffix	Casamiquela 1983: 77-78
Gureng Gureng	 Initial subordinator word	Brasch 1975: 20D
Gurung	 Subordinating suffix	Glover 1974: 117
Gwari	 Initial subordinator word	Hyman and Magaji 1970: 110-111
Haida	 Final subordinator word	Enrico 2003: 963
Halia	 Initial subordinator word	Allen and Allen 1965: passim
Hausa	 Initial subordinator word	Kraft 1963: (Vol. 1) 120, (Vol. 1) 121, 242-254; Kraft and Kirk-Greene 1973: 87; Newman 2000: 556-563
Hawaiian	 Initial subordinator word	Elbert and Pukui 1979: 164-167 
Hayu	 Subordinating suffix	Michailovsky 1988: 182-184, 190-191
Hebrew (Modern)	 Initial subordinator word	Glinert 1989: 338, 341, 351-353 
Hidatsa	 Final subordinator word	Matthews 1965: 97, 102-103
Hindi	 Initial subordinator word	McGregor 1977: 123-127
Hixkaryana	 Final subordinator word	Derbyshire 1985: 38
Hmong Njua	 Initial subordinator word	Lyman 1979: 224-224
Ho	 Final subordinator word	Deeney 1975: 81-84
Hoava	 Initial subordinator word	Davis 2003: 281, 282
Hualapai	 Subordinating suffix	Watahomigie et al. 1982: passim
Huastec	 Initial subordinator word	Edmonson 1988: 583-587
Huave (San Mateo del Mar)	 Initial subordinator word	Stairs and Hollenbach 1981: passim
Huitoto (Minica)	 Final subordinator word	Minor et al. 1982: 55
Huitoto (Murui)	 Final subordinator word	Burtch and Wise 1968: 16
Hunde	 Initial subordinator word	Kahombo 1992: 214-223
Hungarian	 Initial subordinator word	Kenesei et al. 1998: 48-54 
Hunzib	 Subordinating suffix	van den Berg 1995: 97-98
Hup	 Mixed	Epps 2008: 870, 872
Iaai	 Initial subordinator word	Tryon 1968: 36, passim
Iban	 Initial subordinator word	Omar 1981: 137-139, 250-260
Iduna	 Mixed	Huckett 1974: 122
Ifugao (Batad)	 Initial subordinator word	Newell 1993: 84, passim
Ifumu	 Initial subordinator word	Makouta Mboukou 1977: 443
Igbo	 Initial subordinator word	
Ijo (Kolokuma)	 Mixed	Williamson 1965: 79-80 
Ika	 Subordinating suffix	Frank 1990: 92-95
Indonesian	 Initial subordinator word	Sneddon 1996a: 341 ; Danusugondo 1975: passim 121ff
Ingush	 Subordinating suffix	Nichols 1994b
Irish	 Initial subordinator word	Stenson 1981: 41
Italian	 Initial subordinator word	Maiden and Robustelli 2000: 421-427
Itelmen	 Initial subordinator word	Georg and Volodin 1999: 206-213
Iwoyo	 Initial subordinator word	Mingas 1994: 378-389
Izi	 Initial subordinator word	Meier et al. 1975: passim
Jakaltek	 Initial subordinator word	Craig 1977: passim
Jamsay	 Final subordinator word	Heath 2008: 548, 551, 558
Japanese	 Final subordinator word	Hinds 1986: 64, 67, 351
Jaqaru	 Subordinating suffix	Hardman 1966: 71
Jingpho	 Final subordinator word	Hertz 1917: passim
Ju|'hoan	 Initial subordinator word	Snyman 1970: 13, 186; Dickens 1992: 38, 39, 43
Jur Mödö	 Initial subordinator word	Persson and Persson 1991: 24
Kaingang	 Final subordinator word	Wiesemann 1972: 132, 138
Kairiru	 Initial subordinator word	Wivell 1981: 183
Kalispel	 Initial subordinator word	Vogt 1940: 71, 177
Kamaiurá	 Mixed	Seki 2000: 186-194
Kambera	 Initial subordinator word	Klamer 1998: 143
Kana	 Initial subordinator word	Ikoro 1996: 270-279
Kanakuru	 Initial subordinator word	Newman 1974: 105, 110, 111, 113
Kannada	 Mixed	Sridhar 1990: 74, 76, 93; Schiffman 1983: 126ff., 145
Kanoê	 Initial subordinator word	Bacelar 2004: 268-270
Kanuri	 Mixed	Hutchison 1976: 4, 129, 16-17, 103-155; Lukas 1937: 159-165
Karen (Bwe)	 Mixed	Henderson 1997: passim
Karen (Pwo)	 Mixed	Kato 2003: 646-647
Karen (Sgaw)	 Mixed	Jones 1961: 21, 35, 36, passim
Karimojong	 Initial subordinator word	Novelli 1985: passim
Kasong	 Initial subordinator word	Sunee 2003: 174-175
Kati (in West Papua, Indonesia)	 Final subordinator word	Boelaars 1950: 89
Kaulong	 Initial subordinator word	Ross 2002i: 409
Kayabí	 Mixed	Dobson 1997: 127
Kayah Li (Eastern)	 Mixed	Solnit 1986: 311, 339
Kayapó	 Subordinating suffix	Thomson and Stout 1974b: passim
Kera	 Initial subordinator word	Ebert 1979: passim 274, 270, 274
Kewa	 Final subordinator word	Franklin 1971: 114
Khalaj	 Initial subordinator word	Doerfer 1988: 126, 228-230 
Khaling	 Subordinating suffix	Toba 1984: 29
Khalkha	 Final subordinator word	Poppe 1970: 83-84
Kham	 Subordinating suffix	Watters 1973: 643
Khanty	 Initial subordinator word	Filchenko 2007: 173
Kharia	 Mixed	
Khasi	 Initial subordinator word	Nagaraja 1985: 93-95, 97-98; Rabel 1961: 72-73
Khmer	 Initial subordinator word	Gorgoniev 1966: 120-121
Kikuyu	 Initial subordinator word	Barlow 1960: 204-205
Kilivila	 Initial subordinator word	Senft 1986: 119-121
Kiluba	 Initial subordinator word	DeClercq 1929: 78-79
Kiowa	 Subordinating suffix	Watkins 1984: 237-243
Kiribati	 Initial subordinator word	Groves et al. 1985: 99; Cowell 1951: 6
Kirma	 Initial subordinator word	Prost 1964b: 65-66
Kisi	 Initial subordinator word	Childs 1995: 141, 294-298
Klamath	 Initial subordinator word	Gatschet 1890: 658-661
Koegu	 Initial subordinator word	Hieda 1998: 372
Koiali (Mountain)	 Subordinating suffix	Garland and Garland 1975: passim
Kokborok	 Mixed	Karapurkar 1976: passim
Kokota	 Initial subordinator word	Palmer 2002: 522
Kolami	 Subordinating suffix	Emeneau 1955: 91
Kombai	 Final subordinator word	de Vries 1989: 189-190
Komi-Zyrian	 Mixed	Hausenberg 1998: 322
Konkow	 Subordinating suffix	Ultan 1967: 115-118
Korana	 Final subordinator word	Meinhof 1930: 61
Korean	 Final subordinator word	
Korku	 Final subordinator word	Drake 1903: passim
Koromfe	 Initial subordinator word	Rennison 1997: 50
Koryak	 Initial subordinator word	Bogoras 1917: passim
Kosraean	 Initial subordinator word	Lee 1975: 359-361
Koyraboro Senni	 Initial subordinator word	Prost 1956: 146-147
Koyra Chiini	 Initial subordinator word	Heath 1999b: 276
Koyukon	 Final subordinator word	Chapman 1914: passim
Krongo	 Initial subordinator word	Reh 1985: 295, 298, 332, 342-344, 346
Kuku-Yalanji	 Initial subordinator word	Hershberger 1979: 75
Kunimaipa	 Subordinating suffix	Geary 1977: 31, 75, 127
Kurdish (Central)	 Initial subordinator word	Blau 1980: 154-155
Kutenai	 Initial subordinator word	
Kuuk Thaayorre	 Initial subordinator word	
Kuuku Ya'u	 Internal subordinator word	Thompson 1988: 45
Kuvi	 Final subordinator word	Israel 1979: 219-223
Kwangali	 Initial subordinator word	Dammann 1957: 118-119
Kwoma	 Subordinating suffix	Kooyers 1974: 60-62, passim
Laal	 Initial subordinator word	Boyeldieu 1982: passim 191
Lacandón	 Initial subordinator word	Bruce 1968: 84
Lagwan	 Mixed	Lukas 1936: 58-59
Lahu	 Final subordinator word	Matisoff 1973: 172, 174
Lai	 Final subordinator word	Hay-Neave 1953: passim
Lalo	 Final subordinator word	Björverud 1998: 149-150
Lamaholot	 Initial subordinator word	Arndt 1937: 111-117
Lamang	 Initial subordinator word	Wolff 1983: 247, 249
Lamani	 Final subordinator word	Trail 1970: 32, 76
Lamba	 Initial subordinator word	Doke 1922: 146-147
Lampung	 Initial subordinator word	Walker 1976: 13-14
Lao	 Initial subordinator word	Yates and Sayisthsena 1970: 112, 124, 169
Latvian	 Initial subordinator word	Lazdina 1966: 227
Lavukaleve	 Mixed	Terrill 1999: 389, 16.1.5, 390, 16.1.6, etc. 
Lele	 Initial subordinator word	Frajzyngier 2001: 408, 409, 413
Lelemi	 Initial subordinator word	Höftmann 1971: 57
Lenakel	 Initial subordinator word	Lynch 1978: 116, 118
Lendu	 Final subordinator word	Tucker 1967: 412
Lepcha	 Final subordinator word	Mainwaring 1876: 86
Lezgian	 Subordinating suffix	Haspelmath 1993: 376ff
Limbu	 Subordinating suffix	Weidert and Subba 1985: passim
Linda	 Initial subordinator word	Cloarec-Heiss 1986: 512-523
Lithuanian	 Initial subordinator word	Dambriunas et al. 1966: passim
Longgu	 Initial subordinator word	Hill 2002: 559
Loniu	 Initial subordinator word	Hamel 1985: 245-247, 253-262
Lou	 Initial subordinator word	Stutzman 1997: 14, passim
Luganda	 Initial subordinator word	Ashton et al. 1954: 228, 288, 319
Lugbara	 Mixed	Crazzolara 1960: 104-110; Barr 1965: 96-98, 135
Lunda	 Initial subordinator word	Kawasha 2003: 414, 418, 419, 422
Lusi	 Initial subordinator word	Counts 1969: 129-131
Luvale	 Initial subordinator word	Horton 1949: 158-163, 204
Maasai	 Initial subordinator word	Tucker and Mpaayei 1955: 103
Maba	 Mixed	Tucker and Bryan 1966: 114-116
Macushi	 Final subordinator word	Williams 1932: passim; Abbott 1991: 73
Ma'di	 Internal subordinator word	
Magar	 Initial subordinator word	Shepherd and Shepherd 1973: passim
Maithili	 Initial subordinator word	Davis 1973a: 271-274, 290-292, 294
Majang	 Mixed	Unseth 1989: 116-118
Malagasy	 Initial subordinator word	Dez 1980b: 150-156, 163
Maleu	 Initial subordinator word	Haywood 1996: 178
Malgwa	 Initial subordinator word	Löhr 2002: 253-256
Mam	 Initial subordinator word	England 1983: passim
Mamanwa	 Initial subordinator word	Miller and Miller 1976: 92
Manadonese	 Initial subordinator word	Wantalangi 1993: 77ff
Manchu	 Final subordinator word	Haenisch 1961: 49
Mandan	 Subordinating suffix	Kennard 1936: 21
Mandinka (Gambian)	 Initial subordinator word	Rowlands 1959: 5
Mangarrayi	 Initial subordinator word	Merlan 1982: 32, 33, 35
Mangbetu	 Initial subordinator word	Tucker and Bryan 1966: 313-314
Manggarai	 Initial subordinator word	Semiun 1993: 38, 87ff
Mangghuer	 Final subordinator word	Slater 2003: 263
Maninka (Western)	 Final subordinator word	Delafosse 1929: 257
Mano	 Initial subordinator word	Becker-Donner 1965: passim
Manobo (Western Bukidnon)	 Initial subordinator word	Elkins 1970: 44-46
Mansi	 Mixed	Murphy 1968: 146, 158-159
Maori	 Initial subordinator word	Bauer 1993: 62ff 
Mara	 Initial subordinator word	Heath 1981: 295-296, 298-299
Marathi	 Subordinating suffix	
Margi	 Initial subordinator word	Hoffmann 1963: 277, 283, 288
Maricopa	 Mixed	Gordon 1986: 266-277
Marquesan	 Initial subordinator word	Lynch 2002a: 876
Maru	 Final subordinator word	Clerk 1911: 20
Masalit	 Subordinating suffix	Edgar 1989: 79
Mauka	 Initial subordinator word	Ebermann 1986a: 122-125, 136-137, 176-177
Maung	 Initial subordinator word	Capell and Hinch 1970: 91, 101-102
Maybrat	 Initial subordinator word	Dol 1999: 136, 262-263, 267
Mayogo	 Initial subordinator word	Sawka 2001: 151-154
Mazatec (Huautla)	 Initial subordinator word	Pike 1967: 322
Mbara	 Initial subordinator word	Tourneux et al. 1986: 194
Mbum	 Initial subordinator word	Hagège 1970: 339-341
Me'en	 Initial subordinator word	Will 1989: 148
Mehri	 Initial subordinator word	Simeone-Senelle 1997: 415, 417
Meithei	 Mixed	Chelliah 1997: 172ff
Mekens	 Initial subordinator word	Galucio 2001: 198, 199
Mekeo	 Mixed	Jones 1998a: 496-497
Mende	 Initial subordinator word	Aginsky 1935: passim
Menomini	 Initial subordinator word	Bloomfield 1962: 485
Meryam Mir	 Initial subordinator word	Piper 1989: 201
Meyah	 Initial subordinator word	
Mian	 Subordinating suffix	Fedden 2007: 451 
Mikasuki	 Subordinating suffix	Boynton 1982: 174-175
Mikir	 Subordinating suffix	Jeyapaul 1987: 159
Mina	 Initial subordinator word	Frajzyngier and Johnston 2005: 410, 412, 420
Minangkabau	 Initial subordinator word	Moussay 1981: 286ff
Miskito	 Final subordinator word	Anonymous 1985: 195
Mixe (Coatlán)	 Initial subordinator word	Van Haitsma and Van Haitsma 1976: 58
Mixtec (Chalcatongo)	 Initial subordinator word	Macaulay 1996: 160, 167, 168
Mixtec (Jicaltepec)	 Initial subordinator word	Bradley 1970: 40, 68
Mixtec (Ocotepec)	 Initial subordinator word	Alexander 1988: 284-248
Mixtec (Peñoles)	 Initial subordinator word	Daly 1973: 65
Miya	 Initial subordinator word	Schuh 1998: 370
Mizo	 Final subordinator word	Chhangte 1989: passim
Mocoví	 Initial subordinator word	Grondona 1998: 167-169
Moghol	 Initial subordinator word	Weiers 2003: 261
Mohawk	 Initial subordinator word	Bonvillain 1973: passim
Mokilese	 Initial subordinator word	Harrison and Albert 1976: 263
Mon	 Initial subordinator word	Bauer 1982a: 339, 440-441, 449, 452
Mondunga	 Initial subordinator word	De Boeck 1952: 59-60
Mooré	 Internal subordinator word	Lehr et al. 1966: xxiv-xxxv 132
Moro	 Initial subordinator word	Black and Black 1971: 109
Moru	 Mixed	Andersen 1986: passim; Tucker 1967: 256, 313-314
Movima	 Initial subordinator word	Haude 2006: 504-508
Muna	 Mixed	van den Berg 1989b: passim 249-252, 258-263
Mundari	 Mixed	Sinha 1975: 137-138; Osada 1992: 122, 133
Mungaka	 Mixed	Tischhauser 1992: 26-28
Mupun	 Initial subordinator word	Frajzyngier 1993: 474, 480, 483, 494
Musgu	 Initial subordinator word	Meyer-Bahlburg 1972: 227-233
Musqueam	 Initial subordinator word	Suttles 2004: 92
Mussau	 Initial subordinator word	Ross 2002b: 166
Mutsun	 Initial subordinator word	Okrand 1977: 309-310, 341
Naga (Mao)	 Subordinating suffix	Giridhar 1994: 460-463
Naga (Tangkhul)	 Mixed	Pettigrew 1918: 28, 62
Nahuatl (Huasteca)	 Initial subordinator word	Beller and Beller 1979: 295
Nahuatl (Michoacán)	 Initial subordinator word	Sischo 1979: 313, 367-369
Nahuatl (Tetelcingo)	 Initial subordinator word	Tuggy 1979: passim
Nama	 Final subordinator word	Hagman 1977: 127-130
Namia	 Final subordinator word	Feldpausch and Feldpausch 1992: 48-49
Nandi	 Initial subordinator word	Creider and Creider 1989: 149-150
Nasioi	 Mixed	Hurd and Hurd 1966: passim
Navajo	 Initial subordinator word	Young and Morgan 1980: 65-66
Ndonga	 Initial subordinator word	Viljoen and Amakali 1978: 144-145; Fivaz 1986: 133
Ndut	 Initial subordinator word	Morgan 1996: 121-122
Ndyuka	 Initial subordinator word	Huttar and Huttar 1994: 110 
Neo-Aramaic (Arbel Jewish)	 Initial subordinator word	Khan 1999: 402 
Nepali	 Final subordinator word	Meerendonk 1949: 163
Nevome	 Mixed	Shaul 1982: 120-129
Newar (Dolakha)	 Mixed	Genetti 1990: 215-223 
Newari (Kathmandu)	 Mixed	Malla 1985: 93
Nez Perce	 Initial subordinator word	Aoki 1970: 140
Ngad'a	 Initial subordinator word	Arndt 1933b: 30
Ngambay	 Initial subordinator word	Thayer 1978: 86-99
Ngiti	 Final subordinator word	Kutsch Lojenga 1994: 396-399
Ngizim	 Mixed	Schuh 1972: 329-336, 351-359
Ngoni	 Initial subordinator word	Ngonyani 2003: 82-85
Nias	 Initial subordinator word	Brown 2001
Nicobarese (Car)	 Initial subordinator word	Braine 1970: 224
Nisgha	 Initial subordinator word	Tarpent 1987: 302, 343, 416, 420-421, 426-433
Niuean	 Initial subordinator word	Seiter 1980: passim
Nkem	 Initial subordinator word	Sibomana 1986: 283-285
Nkonya	 Initial subordinator word	Reineke 1972: 59-61
Nkore-Kiga	 Internal subordinator word	Taylor 1985: 26
Noni	 Initial subordinator word	Hyman 1981b: 102-103
Noon	 Initial subordinator word	Soukka 2000: 252
Norwegian	 Initial subordinator word	Olson 1901: 107-109
Nuaulu	 Initial subordinator word	Bolton 1990: 143, 146, 151, 154
Nubian (Dongolese)	 Subordinating suffix	Armbruster 1960: 299-306
Nubian (Kunuz)	 Subordinating suffix	Hofmann 1983: 180-183
Nuer	 Initial subordinator word	Crazzolara 1933: 193-195
Nunggubuyu	 Internal subordinator word	Heath 1984: 442, 508
Nung (in Vietnam)	 Mixed	Saul and Wilson 1980: 103-104
Nyimang	 Initial subordinator word	Tucker and Bryan 1966: passim
Obolo	 Initial subordinator word	Faraclas 1984: 111
Ocuilteco	 Initial subordinator word	Muntzel 1986: 151
Ojibwa (Eastern)	 Initial subordinator word	Nichols 1988: passim
Olo	 Initial subordinator word	Staley n.d.: 223; Staley 1995: 74
Oneida	 Initial subordinator word	
O'odham	 Mixed	Zepeda 1983: 107; Saxton 1982: 130-133, 257-261
Oromo (Harar)	 Initial subordinator word	Owens 1985: 142-143, 149-150
Osage	 Final subordinator word	Quintero 1997: 357
