Language	Value
Athpare	 OV and AdjN
Au	 VO and NAdj
Avar	 OV and AdjN
Avokaya	 Other
Awa	 OV and AdjN
Awa Pit	 OV and AdjN
Awtuw	 OV and NAdj
Awyi	 OV and NAdj
Ayiwo	 VO and NAdj
Aymara (Central)	 OV and AdjN
Ayomán	 VO and NAdj
Azerbaijani	 OV and AdjN
Babole	 VO and NAdj
Babungo	 VO and NAdj
Bachamal	 Other
Badimaya	 OV and NAdj
Bafut	 VO and NAdj
Bagirmi	 VO and NAdj
Baham	 OV and NAdj
Bai	 VO and AdjN
Bajau (Sama)	 VO and NAdj
Bajau (West Coast)	 VO and NAdj
Baka (in Cameroon)	 VO and AdjN
Baka (in South Sudan)	 VO and AdjN
Bakueri	 VO and NAdj
Balanta	 VO and NAdj
Bali-Vitu	 VO and NAdj
Balti	 OV and AdjN
Bambara	 OV and NAdj
Bandjalang	 OV and AdjN
Bangime	 OV and NAdj
Bankon	 VO and NAdj
Banoni	 VO and NAdj
Baoulé	 VO and NAdj
Baragaunle	 OV and NAdj
Barai	 OV and NAdj
Barambu	 VO and AdjN
Barasano	 Other
Baré	 VO and NAdj
Bari	 VO and NAdj
Barupu	 OV and NAdj
Baruya	 OV and NAdj
Basaá	 VO and NAdj
Basari	 OV and NAdj
Bashkir	 OV and AdjN
Basque	 OV and NAdj
Batak (Karo)	 VO and NAdj
Batak (Toba)	 VO and NAdj
Baure	 VO and NAdj
Bawm	 OV and NAdj
Beja	 Other
Belhare	 OV and AdjN
Bella Coola	 VO and AdjN
Belorussian	 Other
Bena-Lulua	 VO and NAdj
Berber (Chaouia)	 VO and NAdj
Berber (Figuig)	 VO and NAdj
Berber (Middle Atlas)	 VO and NAdj
Berber (Rif)	 VO and NAdj
Beria	 OV and NAdj
Berta	 VO and NAdj
Bhojpuri	 OV and AdjN
Bhumij	 OV and AdjN
Biak	 VO and NAdj
Bidiya	 VO and NAdj
Bikol	 Other
Bila	 VO and NAdj
Bilin	 OV and NAdj
Biloxi	 OV and NAdj
Bilua	 VO and AdjN
Binandere	 OV and NAdj
Bini	 VO and NAdj
Bininj Gun-Wok	 Other
Biri	 VO and AdjN
Birom	 VO and NAdj
Bisu	 OV and NAdj
Blackfoot	 VO and AdjN
Bodo	 OV and AdjN
Boko	 OV and NAdj
Bongo	 Other
Bongu	 OV and NAdj
Bontok	 Other
Bori	 Other
Brao	 VO and NAdj
Breton	 VO and NAdj
Bribri	 OV and NAdj
Brokskat	 OV and AdjN
Bubi	 VO and NAdj
Budu	 VO and NAdj
Buduma	 VO and NAdj
Bugun	 Other
Buin	 OV and NAdj
Bulgarian	 VO and AdjN
Buma	 VO and NAdj
Bunan	 OV and NAdj
Bunuba	 Other
Bunu (Younuo)	 VO and NAdj
Burarra	 Other
Buriat	 OV and AdjN
Burmese	 OV and NAdj
Buru	 VO and NAdj
Burunge	 VO and NAdj
Burushaski	 OV and AdjN
Busa	 OV and NAdj
Bushoong	 VO and NAdj
Byansi	 OV and AdjN
Cahuilla	 OV and AdjN
Cakchiquel	 VO and AdjN
Campa (Axininca)	 VO and NAdj
Camsá	 Other
Canela	 OV and NAdj
Cantonese	 VO and AdjN
Carib	 OV and AdjN
Carib (De'kwana)	 OV and NAdj
Cashibo	 OV and NAdj
Catalan	 VO and NAdj
Catawba	 OV and NAdj
Cavineña	 Other
Cayapa	 OV and AdjN
Cayuvava	 VO and AdjN
Cèmuhî	 VO and NAdj
Chácobo	 OV and NAdj
Chaga	 VO and NAdj
Chaha	 OV and AdjN
Chai	 Other
Chambri	 OV and NAdj
Cham (Eastern)	 VO and NAdj
Chamorro	 VO and AdjN
Cham (Western)	 VO and NAdj
Chang	 Other
Chantyal	 OV and AdjN
Chatino (Sierra Occidental)	 VO and NAdj
Chatino (Yaitepec)	 VO and NAdj
Chaudangsi	 OV and AdjN
Chechen	 OV and AdjN
Chemehuevi	 Other
Chepang	 OV and AdjN
Cherokee	 OV and AdjN
Chichewa	 VO and NAdj
Chimariko	 OV and NAdj
Chinantec (Comaltepec)	 VO and NAdj
Chinantec (Lealao)	 VO and NAdj
Chinantec (Palantla)	 VO and NAdj
Chinantec (Quiotepec)	 VO and NAdj
Chin (Mara)	 OV and NAdj
Chinook (Lower)	 VO and AdjN
Chin (Siyin)	 Other
Chin (Tiddim)	 OV and NAdj
Chipaya	 OV and AdjN
Chitimacha	 OV and NAdj
Choctaw	 Other
Cholón	 OV and AdjN
Chontal (Huamelultec Oaxaca)	 VO and AdjN
Chontal Maya	 VO and AdjN
Chrau	 VO and NAdj
Chukchi	 OV and AdjN
Chuvash	 OV and AdjN
Cocama	 VO and NAdj
Comanche	 OV and AdjN
Coos (Hanis)	 Other
Coptic	 VO and NAdj
Cora	 VO and NAdj
Cornish	 VO and NAdj
Crow	 OV and NAdj
Cubeo	 OV and AdjN
Cuiba	 OV and NAdj
Cuica	 Other
Cupeño	 OV and NAdj
Czech	 VO and AdjN
Dadjriwalé	 Other
Daga	 OV and NAdj
Dagaare	 VO and NAdj
Dagbani	 VO and NAdj
Dagur	 OV and AdjN
Damana	 Other
Dan	 OV and NAdj
Danish	 VO and AdjN
Dargwa	 OV and AdjN
Darma	 OV and AdjN
Dâw	 OV and NAdj
Day	 VO and NAdj
Degema	 Other
Desano	 OV and AdjN
Deuri	 OV and AdjN
Dhaasanac	 OV and NAdj
Dhargari	 Other
Dhimal	 OV and AdjN
Didinga	 VO and NAdj
Diegueño (Mesa Grande)	 Other
Digaro	 OV and NAdj
Dimasa	 OV and NAdj
Dime	 OV and NAdj
Dinka	 Other
Diola-Fogny	 VO and NAdj
Diyari	 OV and NAdj
Djambarrpuyngu	 Other
Djaru	 Other
Djinang	 Other
Djingili	 OV and NAdj
Dla (Menggwa)	 Other
Dla (Proper)	 Other
Domaaki	 OV and AdjN
Domari	 VO and AdjN
Dongo	 Other
Dong (Southern)	 VO and NAdj
Donno So	 OV and NAdj
Doyayo	 VO and NAdj
Drehu	 VO and NAdj
Duala	 VO and NAdj
Duka	 VO and NAdj
Dulong	 Other
Duma	 VO and NAdj
Dumi	 OV and AdjN
Dumo	 OV and NAdj
Duna	 OV and NAdj
Dutch	 Other
Dyirbal	 OV and NAdj
Edolo	 OV and NAdj
Efate (South)	 VO and NAdj
Ega	 VO and NAdj
Eipo	 OV and AdjN
Emberá (Northern)	 OV and NAdj
Émérillon	 OV and NAdj
Emmi	 Other
Enets	 OV and AdjN
Engenni	 VO and NAdj
Enggano	 VO and NAdj
English	 VO and AdjN
Epena Pedee	 OV and NAdj
Erromangan	 VO and NAdj
Ese Ejja	 OV and NAdj
Esmeraldeño	 Other
Estonian	 VO and AdjN
Even	 OV and AdjN
Evenki	 OV and AdjN
Ewe	 VO and NAdj
Ewondo	 VO and NAdj
Fasu	 OV and NAdj
Fijian	 VO and NAdj
Finnish	 VO and AdjN
Foe	 OV and NAdj
Folopa	 Other
Fongbe	 VO and NAdj
Fore	 OV and AdjN
French	 VO and NAdj
Frisian	 Other
Fulfulde (Adamawa)	 VO and NAdj
Fulfulde (Nigerian)	 VO and NAdj
Fulniô	 OV and NAdj
Fur	 OV and NAdj
Futuna-Aniwa	 VO and NAdj
Fyem	 VO and NAdj
Gã	 VO and NAdj
Ga'anda	 VO and NAdj
Gadsup	 OV and AdjN
Gaelic (Scots)	 VO and NAdj
Gahuku	 Other
Galo	 OV and AdjN
Gamo	 OV and AdjN
Garífuna	 VO and NAdj
Garo	 OV and NAdj
Garrwa	 VO and NAdj
Gavião	 OV and NAdj
Gbaya (Northwest)	 VO and AdjN
Gbeya Bossangoa	 VO and AdjN
Gela	 VO and NAdj
Gelao	 VO and NAdj
Georgian	 OV and AdjN
German	 Other
Gidabal	 Other
Gimira	 Other
Gitksan	 Other
Goajiro	 VO and NAdj
Godoberi	 OV and AdjN
Goemai	 VO and NAdj
Gokana	 VO and AdjN
Golin	 OV and NAdj
Gondi	 OV and AdjN
Gooniyandi	 OV and NAdj
Great Andamanese	 OV and NAdj
Grebo	 VO and NAdj
Greek (Modern)	 VO and AdjN
Greenlandic (West)	 OV and NAdj
Guajajara	 VO and NAdj
Guaraní	 VO and NAdj
Guarijío	 Other
Guató	 VO and NAdj
Gude	 VO and AdjN
Gugada	 OV and NAdj
Guhu-Samane	 OV and NAdj
Gujarati	 OV and AdjN
Gula (in Central African Republic)	 VO and NAdj
Gumawana	 OV and NAdj
Gumbaynggir	 Other
Gumuz	 Other
Gunbalang	 VO and AdjN
Gungbe	 VO and NAdj
Gunin	 Other
Gureng Gureng	 Other
Gurr-goni	 Other
Gurung	 OV and AdjN
Guugu Yimidhirr	 OV and NAdj
Gwari	 Other
Gyarong (Cogtse)	 OV and NAdj
Haida	 OV and NAdj
Halia	 VO and NAdj
Halkomelem (Upriver)	 VO and AdjN
Hamtai	 OV and NAdj
Hanga Hundi	 OV and AdjN
Hani	 Other
Haruai	 OV and NAdj
Hatam	 VO and NAdj
Hausa	 VO and AdjN
Hawaiian	 VO and NAdj
Haya	 VO and NAdj
Hayu	 OV and AdjN
Hdi	 VO and NAdj
Hebrew (Modern)	 VO and NAdj
Hehe	 VO and NAdj
Heiltsuk	 VO and AdjN
Hemba	 VO and NAdj
Hidatsa	 OV and NAdj
Hiligaynon	 Other
Hindi	 OV and AdjN
Hixkaryana	 OV and NAdj
Hlai (Baoding)	 VO and NAdj
Hmar	 OV and NAdj
Hmong Njua	 VO and NAdj
Ho	 OV and AdjN
Err:509	 VO and NAdj
Hoava	 VO and NAdj
Holoholo	 VO and NAdj
Hopi	 OV and AdjN
Hua	 OV and AdjN
Hualapai	 OV and NAdj
Huastec	 VO and AdjN
Huave (San Mateo del Mar)	 VO and AdjN
Huitoto (Minica)	 OV and AdjN
Huitoto (Murui)	 OV and AdjN
Hunde	 VO and NAdj
Hungarian	 VO and AdjN
Hunzib	 OV and AdjN
Hup	 OV and NAdj
Hupa	 Other
Iaai	 VO and AdjN
Iban	 VO and NAdj
Icelandic	 VO and AdjN
Idoma	 Other
Idu	 OV and AdjN
Iduna	 OV and NAdj
Ifira-Mele	 VO and NAdj
Ifugao (Batad)	 VO and AdjN
Ifumu	 VO and NAdj
Igbo	 VO and NAdj
Igede	 VO and NAdj
Ijo (Kolokuma)	 OV and AdjN
Ik	 VO and NAdj
Ika	 OV and NAdj
Ila	 VO and NAdj
Ilocano	 VO and AdjN
Imonda	 OV and NAdj
Inanwatan	 Other
Indonesian	 VO and NAdj
Ingessana	 VO and NAdj
Innamincka	 OV and NAdj
Iquito	 VO and NAdj
Iranxe	 OV and NAdj
Iraqw	 OV and NAdj
Irarutu	 VO and NAdj
Irish	 VO and NAdj
I'saka	 OV and NAdj
Italian	 VO and NAdj
Itelmen	 Other
Itonama	 Other
Iwaidja	 VO and AdjN
Iwoyo	 VO and NAdj
Izere	 VO and NAdj
Izi	 Other
Jabêm	 VO and NAdj
Jabutí	 OV and NAdj
Jad	 OV and NAdj
Jakaltek	 VO and AdjN
Jaminjung	 Other
Jamsay	 OV and NAdj
Japanese	 OV and AdjN
Jarawa (in Andamans)	 OV and NAdj
Jebero	 Other
Jingpho	 OV and NAdj
Jino	 OV and NAdj
Jivaro	 OV and AdjN
Johari	 OV and AdjN
Jugli	 Other
Ju|'hoan	 VO and NAdj
Jukun	 VO and NAdj
Jur Mödö	 VO and NAdj
Kabatei	 OV and AdjN
Kabiyé	 VO and NAdj
Kabyle	 VO and NAdj
Kachari	 Other
Kadazan	 VO and NAdj
Kagulu	 VO and NAdj
Kaingang	 OV and NAdj
Kairiru	 OV and NAdj
Kaki Ae	 OV and NAdj
Kalam	 OV and NAdj
Kalkatungu	 OV and NAdj
Kalmyk	 OV and AdjN
Kaluli	 OV and NAdj
Kamaiurá	 OV and NAdj
Kamasau	 OV and NAdj
Kamass	 OV and AdjN
Kamba	 VO and NAdj
Kambera	 VO and NAdj
Kambot	 OV and NAdj
Kamu	 Other
Kana	 Other
Kanakuru	 Other
Kannada	 OV and AdjN
Kanoê	 OV and NAdj
Kanuri	 OV and NAdj
Kapampangan	 Other
Karachay-Balkar	 OV and AdjN
Karadjeri	 Other
Kara (in Central African Republic)	 VO and NAdj
Karajá	 OV and NAdj
Karakalpak	 OV and AdjN
Karankawa	 Other
Karen (Bwe)	 VO and NAdj
Karen (Pwo)	 VO and NAdj
Karen (Sgaw)	 VO and NAdj
Karimojong	 VO and NAdj
Karkar-Yuri	 Other
Karó (Arára)	 OV and NAdj
Karok	 Other
Kashmiri	 VO and AdjN
Kasong	 VO and NAdj
Katcha	 VO and NAdj
Katla	 VO and NAdj
Kaulong	 VO and NAdj
Kawaiisu	 Other
Kayabí	 OV and NAdj
Kayah Li (Eastern)	 VO and NAdj
Kayardild	 Other
Kele	 VO and NAdj
Kemant	 OV and AdjN
Kera	 VO and NAdj
Ket	 OV and AdjN
Kete	 VO and NAdj
Kewa	 OV and AdjN
Khalaj	 OV and AdjN
Khaling	 OV and AdjN
Khalkha	 OV and AdjN
Kham	 OV and AdjN
Kham (Dege)	 OV and NAdj
Kham (Tibetan) (Nangchen)	 OV and NAdj
Khanty	 OV and AdjN
Khasi	 VO and NAdj
Khmer	 VO and NAdj
Khmu'	 VO and NAdj
Khowar	 OV and AdjN
Kikuyu	 VO and NAdj
Kilivila	 VO and NAdj
Kiliwa	 OV and NAdj
Kinga	 VO and NAdj
Kinnauri	 OV and AdjN
Kinyarwanda	 VO and NAdj
Kipea	 VO and NAdj
Kire	 OV and NAdj
Kiribati	 VO and NAdj
Kirma	 VO and NAdj
Kisi	 Other
Kiwai (Southern)	 OV and AdjN
Klamath	 Other
Klao	 Other
Klikitat	 VO and AdjN
Koasati	 OV and NAdj
Kobon	 OV and NAdj
Koegu	 VO and NAdj
Koiali (Mountain)	 OV and NAdj
Koita	 OV and NAdj
Kokborok	 OV and NAdj
Kokota	 VO and NAdj
Kolami	 OV and AdjN
Koluri	 OV and AdjN
Kombai	 OV and NAdj
Kombio	 VO and NAdj
Komi-Permyak	 OV and AdjN
Komi-Zyrian	 VO and AdjN
Komo	 VO and NAdj
Kongo	 VO and NAdj
Korana	 OV and AdjN
Korean	 OV and AdjN
Koreguaje	 VO and NAdj
Korku	 OV and AdjN
Koromfe	 VO and NAdj
Korowai	 OV and AdjN
Koryak	 OV and AdjN
Kosraean	 VO and NAdj
Koya	 OV and AdjN
Koyraboro Senni	 OV and NAdj
Koyra Chiini	 VO and NAdj
Koyukon	 OV and NAdj
Krahô	 OV and NAdj
Krenak	 OV and NAdj
Kresh	 VO and AdjN
Krongo	 VO and NAdj
Kryz	 OV and AdjN
Kugu Nganhcara	 OV and NAdj
Kuku-Yalanji	 OV and NAdj
Kulung	 OV and AdjN
Kuman	 OV and NAdj
Kumauni	 OV and AdjN
Kunama	 OV and NAdj
Kunimaipa	 OV and NAdj
Kuot	 VO and NAdj
Kurdish (Central)	 OV and NAdj
Kutenai	 Other
Kuuk Thaayorre	 OV and NAdj
Kuuku Ya'u	 OV and NAdj
Kuvi	 OV and AdjN
Kwaio	 VO and NAdj
Kwakw'ala	 VO and AdjN
Kwangali	 VO and NAdj
Kwaza	 OV and NAdj
Kwerba	 OV and NAdj
Kwoma	 OV and AdjN
Kwomtari	 Other
Kxoe	 OV and AdjN
Kyaka	 OV and NAdj
Kyirong	 OV and NAdj
Laal	 VO and NAdj
Labu	 VO and NAdj
Lacandón	 VO and AdjN
Ladakhi	 OV and NAdj
Lafofa	 Other
Lagwan	 VO and NAdj
Lahu	 Other
Lai	 Other
Lak	 OV and AdjN
Lakhota	 OV and NAdj
Lalo	 OV and NAdj
Lamaholot	 VO and NAdj
Lamang	 VO and NAdj
Lamani	 OV and AdjN
Lamen	 Other
Lampung	 VO and NAdj
Langi	 VO and NAdj
Lango	 VO and NAdj
Lao	 VO and NAdj
Laragia	 OV and NAdj
Latvian	 VO and AdjN
Lavukaleve	 OV and NAdj
Lebeo	 VO and NAdj
Leggbó	 VO and NAdj
Leko	 Other
Lele	 VO and NAdj
Lelemi	 VO and NAdj
Lenakel	 VO and NAdj
Lendu	 Other
Lepcha	 OV and NAdj
Lese	 Other
Leti	 VO and NAdj
Lewo	 VO and NAdj
Lezgian	 OV and AdjN
Lillooet	 VO and AdjN
Limbu	 OV and AdjN
Limilngan	 Other
Linda	 VO and AdjN
Lingala	 VO and NAdj
Lisu	 OV and NAdj
Lithuanian	 VO and AdjN
Logoti	 Other
Lokono	 VO and AdjN
Londo	 VO and NAdj
Longgu	 VO and NAdj
Loniu	 VO and NAdj
Lotha	 OV and NAdj
Lou	 VO and NAdj
Lucazi	 VO and NAdj
Lugbara	 Other
Luiseño	 Other
Lunda	 VO and NAdj
Lungchang	 Other
Luo	 VO and NAdj
Lusi	 VO and NAdj
Luvale	 VO and NAdj
Ma	 VO and AdjN
Ma'anyan	 VO and NAdj
Maasai	 VO and NAdj
Maba	 OV and NAdj
Macedonian	 VO and AdjN
Machiguenga	 Other
Macushi	 OV and NAdj
Mada (in Cameroon)	 VO and NAdj
Ma'di	 Other
Madimadi	 VO and AdjN
Mae	 VO and NAdj
Maidu (Northeast)	 OV and AdjN
Maipure	 VO and NAdj
Maisin	 OV and NAdj
Maithili	 OV and AdjN
Majang	 VO and AdjN
Makaa	 VO and NAdj
Makah	 Other
Makasae	 OV and NAdj
Makonde	 VO and NAdj
Makua	 VO and NAdj
Malagasy	 VO and NAdj
Malakmalak	 OV and NAdj
Malayalam	 OV and AdjN
Maleu	 VO and NAdj
Malgwa	 VO and NAdj
Malto	 OV and AdjN
Mam	 Other
Mamanwa	 Other
Mambila	 VO and NAdj
Mamvu	 VO and NAdj
Manadonese	 VO and NAdj
Manam	 OV and NAdj
Manange	 Other
Manchu	 OV and AdjN
Mandan	 OV and NAdj
Mandarin	 VO and AdjN
Mandinka (Gambian)	 OV and NAdj
Mangap-Mbula	 VO and NAdj
Mangarrayi	 OV and NAdj
Mangbetu	 VO and NAdj
Manggarai	 VO and NAdj
Mangghuer	 OV and AdjN
Maninka (Western)	 OV and NAdj
Mano	 OV and NAdj
Manobo (Western Bukidnon)	 VO and AdjN
Mansi	 OV and AdjN
Maori	 VO and NAdj
Mapudungun	 VO and AdjN
Mara	 Other
Maranungku	 OV and NAdj
Marathi	 OV and AdjN
Marchha	 OV and AdjN
Margi	 VO and NAdj
Maricopa	 OV and NAdj
Mari (Meadow)	 OV and AdjN
Maringarr	 OV and NAdj
Marquesan	 VO and NAdj
Marrithiyel	 OV and NAdj
Martuthunira	 VO and NAdj
Maru	 OV and NAdj
Masa	 VO and NAdj
Masakin	 VO and NAdj
Masalit	 OV and NAdj
Massachusett	 Other
Matis	 OV and NAdj
Matngele	 OV and NAdj
Matsés	 OV and NAdj
Matuumbi	 VO and NAdj
Mauka	 OV and NAdj
Maung	 VO and AdjN
Maybrat	 VO and NAdj
Mayogo	 VO and AdjN
Mazatec (Chiquihuitlán)	 VO and NAdj
Mazatec (Huautla)	 Other
Mba	 VO and NAdj
Mbara	 VO and NAdj
Mbay	 VO and NAdj
Mbere	 VO and NAdj
Mbili	 VO and NAdj
Mbodomo	 VO and AdjN
Mbole	 VO and NAdj
Mbosi	 VO and NAdj
Mbum	 VO and NAdj
Me'en	 VO and NAdj
Mehri	 VO and NAdj
Meithei	 Other
Mekens	 OV and NAdj
Mekeo	 OV and NAdj
Mende	 OV and NAdj
Menomini	 Other
Menya	 OV and NAdj
Meryam Mir	 OV and AdjN
Meyah	 VO and NAdj
Mian	 OV and NAdj
Mien	 VO and NAdj
Miisiirii	 OV and NAdj
Miju	 OV and NAdj
Mikir	 Other
Milang	 OV and AdjN
Mina	 VO and NAdj
Minangkabau	 Other
Minaveha	 OV and NAdj
Miriwung	 Other
Mising	 OV and AdjN
Miskito	 OV and NAdj
Miwok (Southern Sierra)	 Other
Mixe (Ayutla)	 Other
Mixtec (Chalcatongo)	 VO and NAdj
Mixtec (Jicaltepec)	 VO and NAdj
Mixtec (Ocotepec)	 VO and NAdj
Mixtec (Peñoles)	 VO and NAdj
Mixtec (Yosondúa)	 VO and NAdj
Miya	 VO and NAdj
Mizo	 OV and NAdj
Mlabri (Minor)	 VO and NAdj
Mocoví	 Other
Mofu-Gudur	 VO and NAdj
Mohawk	 Other
Mokilese	 VO and NAdj
Mon	 VO and NAdj
Mondunga	 VO and NAdj
Mongo	 VO and NAdj
Mono-Alu	 Other
Monumbo	 OV and NAdj
Mooré	 VO and NAdj
Mor	 VO and NAdj
Mordvin (Erzya)	 VO and AdjN
Moro	 VO and NAdj
Moru	 Other
Mosetén	 Other
Motu	 OV and NAdj
Motuna	 OV and NAdj
Mpongwe	 VO and NAdj
Mpur	 VO and NAdj
Mufian	 VO and NAdj
Muisca	 OV and NAdj
Mumuye	 VO and NAdj
Muna	 VO and NAdj
Mundang	 VO and NAdj
Mundari	 OV and AdjN
Mungaka	 VO and NAdj
Mupun	 VO and NAdj
Murle	 VO and NAdj
Murrinh-Patha	 OV and NAdj
Mursi	 VO and NAdj
Muruwari	 Other
Musgu	 VO and NAdj
Musom	 VO and NAdj
Musqueam	 VO and AdjN
Mussau	 VO and AdjN
Mwera	 VO and NAdj
Mwotlap	 VO and NAdj
Nabak	 OV and NAdj
Nadroga	 VO and NAdj
Naga (Mao)	 OV and NAdj
Naga (Tangkhul)	 OV and NAdj
Nagatman	 Other
Naga (Zeme)	 OV and NAdj
Nahuatl (Huasteca)	 VO and NAdj
Nahuatl (Michoacán)	 VO and NAdj
Nahuatl (North Puebla)	 Other
Nahuatl (Tetelcingo)	 VO and NAdj
Nai	 Other
Nakanai	 VO and NAdj
Nalik	 VO and NAdj
Nama	 OV and AdjN
Namia	 OV and NAdj
Nancowry	 VO and NAdj
Nandi	 VO and NAdj
Nankina	 OV and NAdj
Nara (in Ethiopia)	 OV and NAdj
Nar-Phu	 OV and NAdj
Nasioi	 Other
Natchez	 OV and NAdj
Nauruan	 VO and NAdj
Navajo	 OV and NAdj
Ncàm	 VO and NAdj
Ndebele	 VO and NAdj
Ndjébbana	 OV and NAdj
Ndonga	 VO and NAdj
Ndumu	 VO and NAdj
Ndut	 VO and NAdj
Ndyuka	 VO and AdjN
Nehan	 VO and NAdj
Nend	 OV and NAdj
Nenets	 OV and AdjN
Neo-Aramaic (Arbel Jewish)	 OV and NAdj
Nepali	 OV and AdjN
Nevome	 OV and AdjN
Newar (Dolakha)	 OV and AdjN
Newari (Kathmandu)	 OV and AdjN
Neyo	 Other
Nez Perce	 Other
Ngaanyatjarra	 OV and NAdj
Ngäbere	 OV and NAdj
Ngad'a	 VO and NAdj
Ngadjumaja	 OV and NAdj
Ngalakan	 Other
Ngalkbun	 OV and NAdj
Ngambay	 VO and NAdj
Nganasan	 OV and AdjN
Ngandi	 OV and NAdj
Ngan'gityemerri	 OV and NAdj
Ngankikurungkurr	 Other
Ngawun	 Other
Ngbandi	 VO and NAdj
Ngiti	 Other
Ngiyambaa	 Other
Ngizim	 VO and NAdj
Ngoni	 VO and NAdj
Nguna	 VO and NAdj
Nhanda	 Other
Nias	 VO and NAdj
Nicobarese (Car)	 VO and AdjN
Nisenan	 OV and AdjN
Nisgha	 VO and AdjN
Niuafo'ou	 VO and NAdj
Niuean	 VO and NAdj
Nivkh	 OV and AdjN
Nkem	 Other
Nkonya	 VO and NAdj
Nkore-Kiga	 VO and NAdj
Nocte	 OV and NAdj
Noghay	 OV and AdjN
Noni	 VO and NAdj
Noon	 VO and NAdj
Norwegian	 VO and AdjN
Nsenga	 VO and NAdj
Ntomba	 VO and NAdj
Nuaulu	 VO and NAdj
Nubian (Dongolese)	 OV and NAdj
Nubian (Kunuz)	 OV and NAdj
Nuer	 Other
Nunggubuyu	 Other
Nung (in Vietnam)	 VO and NAdj
Nuosu	 OV and NAdj
Nupe	 VO and NAdj
Nusu	 OV and NAdj
Nuuchahnulth	 Other
Nyamkad	 OV and NAdj
Nyamwezi	 VO and NAdj
Nyangumarda	 Other
Nyimang	 OV and NAdj
Nyishi	 OV and AdjN
Nzakara	 VO and AdjN
Obolo	 Other
Ocuilteco	 VO and AdjN
Ogbronuagum	 VO and AdjN
Oksapmin	 Other
Olo	 VO and NAdj
Omaha	 OV and NAdj
Ömie	 OV and NAdj
O'odham	 VO and AdjN
Ordos	 OV and AdjN
Orig	 OV and NAdj
Orok	 OV and NAdj
Orokaiva	 OV and NAdj
Oromo (Harar)	 OV and NAdj
Oromo (Waata)	 OV and NAdj
Orya	 OV and NAdj
Osage	 OV and NAdj
Ossetic	 OV and AdjN
Otomí (Mezquital)	 VO and AdjN
Otoro	 VO and NAdj
Pa'a	 VO and AdjN
Paakantyi	 VO and AdjN
Paamese	 VO and NAdj
Páez	 OV and NAdj
Paiute (Northern)	 OV and AdjN
Paiwan	 VO and NAdj
Palauan	 VO and AdjN
Palaung	 VO and NAdj
Palikur	 VO and NAdj
Pame	 VO and NAdj
Panará	 Other
Pangasinan	 Other
Pangwa	 VO and NAdj
Panjabi	 OV and AdjN
Panyjima	 Other
Pare	 VO and NAdj
Päri	 OV and NAdj
Pashto	 OV and AdjN
Patep	 VO and NAdj
Pattani	 OV and AdjN
Paulohi	 VO and NAdj
Paumarí	 Other
Pawaian	 OV and AdjN
Pero	 VO and NAdj
Persian	 OV and NAdj
Piaroa	 OV and NAdj
Pilagá	 VO and NAdj
Pima Bajo	 OV and AdjN
Pipil	 VO and AdjN
Pirahã	 OV and NAdj
