Language	Value	Reference
Gahuku	 RelN or NRel	Deibler 1976: 45
Galo	 Relative clause-Noun (RelN) dominant	Das Gupta 1963: 16, 21
Gamo	 Relative clause-Noun (RelN) dominant	Taylor 1994: 57
Garo	 Relative clause-Noun (RelN) dominant	Burling 2003: 392
Gimira	 RelN or NRel	Breeze 1990: 39, 47-48
Godoberi	 RelN or NRel	Kibrik 1996: 161
Gurung	 Relative clause-Noun (RelN) dominant	Glover 1974: 96
Gyarong (Cogtse)	 Relative clause-Noun (RelN) dominant	Nagano 2003: 472
Hakka	 Relative clause-Noun (RelN) dominant	Hashimoto 1973: 442, 448 
Hanga Hundi	 Relative clause-Noun (RelN) dominant	Wendel 1993: 119
Hani	 Relative clause-Noun (RelN) dominant	Lewis and Bibo 1996: passim, 154-155
Haruai	 RelN or internally-headed	
Hayu	 Relative clause-Noun (RelN) dominant	Michailovsky 1988: 186-187
Ho	 Relative clause-Noun (RelN) dominant	Deeney 1975: 74
Hua	 Relative clause-Noun (RelN) dominant	Haiman 1980: 257, 262 
Huitoto (Murui)	 Relative clause-Noun (RelN) dominant	Burtch and Wise 1968: 28
Hungarian	 RelN or NRel	Kenesei et al. 1998: 38 
Hunzib	 Relative clause-Noun (RelN) dominant	van den Berg 1995: 92-93, 117-118
Hup	 Relative clause-Noun (RelN) dominant	Moore and Franklin 1979: 11; Epps 2008: 828
Ijo (Kolokuma)	 Relative clause-Noun (RelN) dominant	Williamson 1965: 66-67, 71 
Imonda	 RelN or internally-headed	Seiler 1985: 65-66
Ingush	 Relative clause-Noun (RelN) dominant	Nichols 1994b: 116, 125, 131
Japanese	 Relative clause-Noun (RelN) dominant	Hinds 1986: 59, 61; Shibatani 1990: 257 
Jingpho	 Relative clause-Noun (RelN) dominant	Hertz 1917: 11
Kabardian	 Relative clause-Noun (RelN) dominant	Colarusso 1989: 330, 343-344
Kalmyk	 Relative clause-Noun (RelN) dominant	Street 1959: 77-78
Kamasau	 RelN or NRel	Sanders and Sanders 1994: 5, passim, 48
Kannada	 RelN or correlative	Sridhar 1990: 47-54, 98; Schiffman 1983: 130-133; Bright 1958: 39
Karachay-Balkar	 Relative clause-Noun (RelN) dominant	Seegmiller 1996: 31
Karakalpak	 Relative clause-Noun (RelN) dominant	Wurm 1951: passim
Kemant	 Relative clause-Noun (RelN) dominant	Appleyard 1975: 344
Kewa	 RelN or internally-headed	Franklin 1971: 77-78, 92
Khaling	 Relative clause-Noun (RelN) dominant	Toba 1984: 5
Khalkha	 Relative clause-Noun (RelN) dominant	Poppe 1970: 143, 145; Binnick 1979: 20, 89
Kham	 Relative clause-Noun (RelN) dominant	Watters 1998: 390; Watters 1973: 185-186
Kham (Dege)	 Relative clause-Noun (RelN) dominant	Häsler 1999: 238
Khanty	 Relative clause-Noun (RelN) dominant	Filchenko 2007: 302, 365
Kharia	 RelN or correlative	
Khowar	 Relative clause-Noun (RelN) dominant	Bashir 2000: passim
Koasati	 RelN or internally-headed	Kimball 1991: 525
Kobon	 RelN or double-headed	Davies 1981b: 29, 58
Kolami	 Relative clause-Noun (RelN) dominant	Emeneau 1955: 123
Korana	 RelN or NRel	Meinhof 1930: 62
Korean	 Relative clause-Noun (RelN) dominant	Sohn 1999: 293 
Korku	 Relative clause-Noun (RelN) dominant	Drake 1903: 141, 145, passim
Korowai	 RelN or NRel	van Enk and de Vries 1997: passim 
Koya	 Relative clause-Noun (RelN) dominant	Tyler 1969: 66
Kulung	 RelN or NRel	Tolsma 1999: 91-92
Kuvi	 Relative clause-Noun (RelN) dominant	Israel 1979: 201, 255, 259ff
Kwoma	 Relative clause-Noun (RelN) dominant	Kooyers 1974: 63-66
Kwomtari	 Relative clause-Noun (RelN) dominant	Spencer 2008: 151
Kyirong	 Relative clause-Noun (RelN) dominant	Huber 2005: 177
Lahu	 Relative clause-Noun (RelN) dominant	Matisoff 1973: 473
Lai	 RelN or internally-headed	Hay-Neave 1953: passim
Lalo	 RelN or NRel	Björverud 1998: 117, passim
Lamani	 Relative clause-Noun (RelN) dominant	Trail 1970: 83, 87
Lendu	 RelN or NRel	Tucker 1967: 396
Lezgian	 Relative clause-Noun (RelN) dominant	Haspelmath 1993: 6, passim, 251, 261-262, 340ff
Limbu	 Relative clause-Noun (RelN) dominant	Weidert and Subba 1985: passim
Lisu	 Relative clause-Noun (RelN) dominant	Bradley 2003: 229
Lokono	 RelN or NRel	Pet 1987: 91, 94-100, 103-104
Macushi	 RelN or NRel	Abbott 1991: 70; Carson 1982: 125-126, 168-169
Maidu (Northeast)	 Relative clause-Noun (RelN) dominant	Shipley 1964: 35
Makah	 RelN or NRel	
Malayalam	 Relative clause-Noun (RelN) dominant	Asher and Kumari 1997: 133
Manange	 Relative clause-Noun (RelN) dominant	Hildebrandt 2004: 113
Mandarin	 Relative clause-Noun (RelN) dominant	Li and Thompson 1981: 124
Mangghuer	 Relative clause-Noun (RelN) dominant	Slater 2003: 233
Mansi	 Relative clause-Noun (RelN) dominant	Murphy 1968: 136, 138, 144
Marathi	 Relative clause-Noun (RelN) dominant	
Maru	 Relative clause-Noun (RelN) dominant	Clerk 1911: 14, passim
Meithei	 Relative clause-Noun (RelN) dominant	Chelliah 1997: 80
Mising	 Relative clause-Noun (RelN) dominant	Prasad 1991: passim
Mundari	 Relative clause-Noun (RelN) dominant	Osada 1992: 121; Sinha 1975: 117-118
Naga (Mao)	 Relative clause-Noun (RelN) dominant	Giridhar 1994: 453
Naga (Tangkhul)	 Relative clause-Noun (RelN) dominant	Pettigrew 1918: 24, 66; Arokianathan 1987: 145
Nahuatl (North Puebla)	 RelN or NRel	Brockway 1979: 182
Nama	 Relative clause-Noun (RelN) dominant	Hagman 1977: 121-125
Namia	 RelN or NRel	Feldpausch and Feldpausch 1992: 61
Nar-Phu	 Relative clause-Noun (RelN) dominant	Noonan 2003a: 348
Newar (Dolakha)	 Relative clause-Noun (RelN) dominant	Genetti 1990: 224, 228-229, 260-263 
Newari (Kathmandu)	 Relative clause-Noun (RelN) dominant	Malla 1985: passim
Nivkh	 Relative clause-Noun (RelN) dominant	Panfilov 1962: passim
Nocte	 Relative clause-Noun (RelN) dominant	Das Gupta 1971: passim
Panjabi	 RelN or internally-headed	Gill and Gleason 1963: passim
Pumi	 Relative clause-Noun (RelN) dominant	Ding 1998: 170-171
Purki	 Relative clause-Noun (RelN) dominant	Rangan 1979: 125
Qafar	 Relative clause-Noun (RelN) dominant	Bliese 1981: 19, passim, 24
Qiang	 Relative clause-Noun (RelN) dominant	LaPolla 2003b: 39
Quechua (Huallaga)	 Relative clause-Noun (RelN) dominant	Weber 1989: 280
Quechua (Imbabura)	 Relative clause-Noun (RelN) dominant	Cole 1982: 49
Rawang	 Relative clause-Noun (RelN) dominant	Barnard 1934: 9
Rukai (Tanan)	 RelN or NRel	Zeitoun 2007: 310-311
Rumu	 Relative clause-Noun (RelN) dominant	Petterson 1999: passim
Santali	 RelN or correlative	Neukom 2001: 197-201
Sare	 Relative clause-Noun (RelN) dominant	Sumbuk 1999
Savosavo	 Relative clause-Noun (RelN) dominant	Wegener 2008: 118, 120, 254
Shekhawati	 RelN or correlative	Gusain 2001: 60
Sidaama	 Relative clause-Noun (RelN) dominant	Kawachi 2007: 517
Sikkimese	 Relative clause-Noun (RelN) dominant	Sandberg 1888: 38
Sinaugoro	 Relative clause-Noun (RelN) dominant	Tauberschmidt 1999: 74
Squamish	 RelN or NRel	Kuipers 1967: 175-176
Tamang (Eastern)	 Relative clause-Noun (RelN) dominant	Mazaudon 2003: 299; Mazaudon 1976: 15
Tamil	 Relative clause-Noun (RelN) dominant	Asher 1982: 65, 26, passim
Tarahumara (Western)	 RelN or NRel	Burgess 1984: 131-132
Tatar	 Relative clause-Noun (RelN) dominant	Poppe 1968: 113
Tauya	 RelN or NRel	MacDonald 1990: 109, 266-268
Telugu	 Relative clause-Noun (RelN) dominant	Lisker 1963: 228-229, passim
Thulung	 Relative clause-Noun (RelN) dominant	Allen 1975b: 110, passim
Tibetan (Drokpa)	 RelN or NRel	Kretschmar 1986: 91
Tibetan (Modern Literary)	 Relative clause-Noun (RelN) dominant	Goldstein 1991: 137-138, passim
Tibetan (Shigatse)	 RelN or internally-headed	Haller 2000: 114
Tibetan (Standard Spoken)	 Relative clause-Noun (RelN) dominant	DeLancey 2003: 276
Tigré	 Relative clause-Noun (RelN) dominant	Raz 1983: 43
Tlingit	 Relative clause-Noun (RelN) dominant	Naish 1979: 102
Tsafiki	 Relative clause-Noun (RelN) dominant	Dickinson 2002: 73
Tshangla	 Relative clause-Noun (RelN) dominant	Das Gupta 1968: 37, 38; Andvik 2003: 441, 442; Andvik 1999: 126 
Tsova-Tush	 Relative clause-Noun (RelN) dominant	Holisky and Gagua 1994: 190, 198, 205-206
Tucano	 Relative clause-Noun (RelN) dominant	West 1980: 199-201, 201
Tümpisa Shoshone	 RelN or NRel	Dayley 1989a: 366
Turkish	 Relative clause-Noun (RelN) dominant	Underhill 1976: 276
Turkmen	 Relative clause-Noun (RelN) dominant	Clark 1998b: 487, passim 
Ubykh	 Relative clause-Noun (RelN) dominant	Charachidze 1989: 418-419
Udihe	 RelN or internally-headed	Nikolaeva and Tolskaya 2001: 674
Una	 Relative clause-Noun (RelN) dominant	Louwerse 1988: 92
Urarina	 Relative clause-Noun (RelN) dominant	Olawsky 2006: 325
Uyghur	 Relative clause-Noun (RelN) dominant	Hahn 1998: 394
Uzbek	 Relative clause-Noun (RelN) dominant	Sjoberg 1963: 140, passim
Wambon	 RelN or internally-headed	de Vries 1989: 76-77, 95, 110-111
Waorani	 RelN or NRel	Peeke 1994: 269
Warrgamay	 RelN or NRel	Dixon 1981: passim
Yagaria	 Relative clause-Noun (RelN) dominant	Renck 1975: 173, 206-208
Yakut	 Relative clause-Noun (RelN) dominant	Stachowski and Menz 1998: 427
Yale (Kosarek)	 Relative clause-Noun (RelN) dominant	Heeschen 1992: passim, 35
Yareba	 Relative clause-Noun (RelN) dominant	Weimer and Weimer 1975: passim
Yukaghir (Kolyma)	 Relative clause-Noun (RelN) dominant	Maslova 1999: 10, 14, 179-180, 350, 506ff, 642 
Yurok	 RelN or NRel	Robins 1958: 64
Zayse	 Relative clause-Noun (RelN) dominant	Hayward 1990b: 319, 342-343
