Language	Value	Reference
Aari	 OV and NRel
Beria	 OV and NRel
Berta	 VO and NRel
Biak	 VO and NRel
Bidiya	 VO and NRel
Bilua	 Other
Bimoba	 VO and NRel
Bini	 VO and NRel
Biri	 VO and NRel
Birom	 VO and NRel
Blackfoot	 Other
Bobangi	 VO and NRel
Bodo	 OV and RelN
Boko	 OV and NRel
Bontok	 VO and NRel
Brahui	 Other
Breton	 VO and NRel
Buduma	 VO and NRel
Bugis	 VO and NRel
Bulgarian	 VO and NRel
Buma	 VO and NRel
Bunuba	 Other
Burmese	 OV and RelN
Buru	 VO and NRel
Burunge	 VO and NRel
Burushaski	 OV and RelN
Busa	 OV and NRel
Bushoong	 VO and NRel
Byansi	 Other
Cahuilla	 OV and NRel
Cakchiquel	 VO and NRel
Camling	 OV and RelN
Campa (Axininca)	 VO and NRel
Camsá	 Other
Canamarí	 Other
Canela	 Other
Cantonese	 VO and RelN
Carib (De'kwana)	 OV and NRel
Catalan	 VO and NRel
Cavineña	 Other
Cebuano	 VO and NRel
Cèmuhî	 VO and NRel
Chaha	 OV and RelN
Chai	 Other
Chaldean (Modern)	 Other
Chamorro	 VO and NRel
Cham (Western)	 VO and NRel
Chang	 Other
Chantyal	 OV and RelN
Chatino (Sierra Occidental)	 VO and NRel
Chatino (Yaitepec)	 VO and NRel
Chechen	 OV and RelN
Chemehuevi	 Other
Chepang	 OV and RelN
Cherokee	 OV and RelN
Chichewa	 VO and NRel
Chimariko	 Other
Chinantec (Comaltepec)	 VO and NRel
Chinantec (Lealao)	 VO and NRel
Chinantec (Palantla)	 VO and NRel
Chinantec (Quiotepec)	 VO and NRel
Chin (Mara)	 Other
Chin (Siyin)	 OV and RelN
Chipaya	 OV and RelN
Chipewyan	 OV and NRel
Chitimacha	 OV and NRel
Choctaw	 Other
Chontal Maya	 VO and NRel
Chrau	 VO and NRel
Chuj	 VO and NRel
Chukchi	 Other
Chuvash	 OV and RelN
Comanche	 OV and NRel
Coos (Hanis)	 Other
Coptic	 VO and NRel
Cora	 VO and NRel
Cornish	 VO and NRel
Cubeo	 OV and NRel
Czech	 VO and NRel
Dadjriwalé	 Other
Daga	 OV and NRel
Dagur	 OV and RelN
Damana	 Other
Dan	 OV and NRel
Dani (Lower Grand Valley)	 OV and NRel
Danish	 VO and NRel
Dargwa	 OV and RelN
Darma	 Other
Day	 VO and NRel
Degema	 VO and NRel
Desano	 OV and NRel
Dhargari	 Other
Dhimal	 OV and RelN
Didinga	 VO and NRel
Diegueño (Mesa Grande)	 Other
Digaro	 OV and RelN
Dimasa	 OV and RelN
Dinka	 Other
Diola-Fogny	 VO and NRel
Diyari	 Other
Djambarrpuyngu	 Other
Djaru	 Other
Djinang	 Other
Dla (Menggwa)	 Other
Domari	 VO and NRel
Dongo	 Other
Donno So	 Other
Doyayo	 VO and NRel
Drehu	 VO and NRel
Duka	 VO and NRel
Dutch	 Other
Dyirbal	 OV and NRel
Efate (South)	 VO and NRel
Efik	 Other
Eipo	 OV and RelN
Emberá (Northern)	 OV and NRel
Émérillon	 OV and NRel
Emmi	 Other
Engenni	 VO and NRel
Enggano	 VO and NRel
English	 VO and NRel
Epena Pedee	 Other
Erromangan	 VO and NRel
Estonian	 VO and NRel
Eudeve	 OV and NRel
Even	 OV and RelN
Evenki	 OV and RelN
Ewe	 VO and NRel
Ewondo	 VO and NRel
Fijian	 VO and NRel
Finnish	 VO and NRel
Fongbe	 VO and NRel
French	 VO and NRel
Frisian	 Other
Fulfulde (Adamawa)	 VO and NRel
Fulfulde (Nigerian)	 VO and NRel
Fur	 OV and NRel
Futuna-Aniwa	 VO and NRel
Fyem	 VO and NRel
Ga'anda	 VO and NRel
Gaelic (Scots)	 VO and NRel
Gahuku	 Other
Galo	 OV and RelN
Gamo	 OV and RelN
Gapapaiwa	 OV and NRel
Garífuna	 VO and NRel
Garo	 OV and RelN
Gbeya Bossangoa	 VO and NRel
Gela	 VO and NRel
Georgian	 OV and NRel
German	 Other
Gidabal	 Other
Gimira	 Other
Gitksan	 Other
Godoberi	 Other
Gokana	 VO and NRel
Grebo	 VO and NRel
Greek (Modern)	 VO and NRel
Greenlandic (West)	 OV and NRel
Guahibo	 OV and NRel
Guarijío	 Other
Gude	 VO and NRel
Gula (in Central African Republic)	 VO and NRel
Gumawana	 Other
Gumbaynggir	 Other
Gumuz	 VO and NRel
Gunbalang	 VO and NRel
Gunin	 Other
Gureng Gureng	 Other
Gurr-goni	 Other
Gurung	 OV and RelN
Gwari	 Other
Gyarong (Cogtse)	 OV and RelN
Haida	 Other
Hakka	 VO and RelN
Halia	 VO and NRel
Hanga Hundi	 OV and RelN
Hani	 OV and RelN
Haruai	 Other
Hatam	 VO and NRel
Hausa	 VO and NRel
Hawaiian	 VO and NRel
Hawrami	 Other
Haya	 VO and NRel
Hayu	 OV and RelN
Hdi	 VO and NRel
Hebrew (Modern)	 VO and NRel
Heiltsuk	 VO and NRel
Hidatsa	 OV and NRel
Hindi	 Other
Hixkaryana	 OV and NRel
Hmong Njua	 VO and NRel
Ho	 OV and RelN
Err:509	 VO and NRel
Hoava	 VO and NRel
Holoholo	 VO and NRel
Hua	 OV and RelN
Huastec	 VO and NRel
Huave (San Mateo del Mar)	 VO and NRel
Huichol	 OV and NRel
Huitoto (Murui)	 OV and RelN
Hunde	 VO and NRel
Hungarian	 Other
Hunzib	 OV and RelN
Hup	 OV and RelN
Hupa	 Other
Iaai	 VO and NRel
Iau	 OV and NRel
Iban	 VO and NRel
Icelandic	 VO and NRel
Idoma	 Other
Iduna	 OV and NRel
Ifira-Mele	 VO and NRel
Ifugao (Batad)	 VO and NRel
Igbo	 VO and NRel
Ignaciano	 VO and NRel
Ijo (Kolokuma)	 OV and RelN
Ik	 VO and NRel
Ika	 Other
Ila	 VO and NRel
Imonda	 Other
Inanwatan	 Other
Indonesian	 VO and NRel
Ingessana	 VO and NRel
Iraqw	 OV and NRel
Irish	 VO and NRel
I'saka	 OV and NRel
Italian	 VO and NRel
Izi	 VO and NRel
Jabêm	 VO and NRel
Jakaltek	 VO and NRel
Jaminjung	 Other
Jamsay	 Other
Japanese	 OV and RelN
Jebero	 Other
Jingpho	 OV and RelN
Ju|'hoan	 VO and NRel
Jukun	 VO and NRel
Jur Mödö	 VO and NRel
Kabardian	 OV and RelN
Kabatei	 OV and NRel
Kabyle	 VO and NRel
Kagulu	 VO and NRel
Kairiru	 OV and NRel
Kalmyk	 OV and RelN
Kamaiurá	 OV and NRel
Kamasau	 Other
Kambera	 VO and NRel
Kamu	 Other
Kana	 VO and NRel
Kanakuru	 VO and NRel
Kannada	 Other
Kanuri	 OV and NRel
Kanyok	 Other
Kapampangan	 VO and NRel
Karachay-Balkar	 OV and RelN
Kara (in Central African Republic)	 VO and NRel
Karakalpak	 OV and RelN
Karankawa	 Other
Karen (Bwe)	 VO and NRel
Karen (Pwo)	 VO and NRel
Karen (Sgaw)	 VO and NRel
Karimojong	 VO and NRel
Karok	 Other
Kashmiri	 Other
Katcha	 VO and NRel
Katla	 VO and NRel
Kaulong	 VO and NRel
Kawaiisu	 Other
Kayah Li (Eastern)	 VO and NRel
Kayardild	 Other
Kele	 VO and NRel
Kemant	 OV and RelN
Kenga	 VO and NRel
Kera	 VO and NRel
Kete	 VO and NRel
Kewa	 Other
Khalaj	 OV and NRel
Khaling	 OV and RelN
Khalkha	 OV and RelN
Kham	 OV and RelN
Kham (Dege)	 OV and RelN
Kham (Tibetan) (Nangchen)	 OV and NRel
Khanty	 OV and RelN
Kharia	 Other
Khasi	 VO and NRel
Khmer	 VO and NRel
Khowar	 OV and RelN
Kikuyu	 VO and NRel
Kilivila	 VO and NRel
Kiliwa	 OV and NRel
Kiowa	 Other
Kipea	 VO and NRel
Kiribati	 VO and NRel
Kirma	 VO and NRel
Kisi	 Other
Klamath	 Other
Koasati	 Other
Kobon	 Other
Koegu	 VO and NRel
Kokota	 VO and NRel
Kolami	 OV and RelN
Koluri	 OV and NRel
Kombai	 Other
Kombio	 VO and NRel
Konni	 VO and NRel
Korana	 Other
Korean	 OV and RelN
Koreguaje	 VO and NRel
Korku	 OV and RelN
Koromfe	 VO and NRel
Korowai	 Other
Kosraean	 VO and NRel
Koya	 OV and RelN
Koyraboro Senni	 OV and NRel
Koyra Chiini	 VO and NRel
Kresh	 VO and NRel
Krongo	 VO and NRel
Kugu Nganhcara	 OV and NRel
Kuikúro	 Other
Kuku-Yalanji	 Other
Kulung	 Other
Kunama	 OV and NRel
Kuot	 VO and NRel
Kurdish (Central)	 OV and NRel
Kutenai	 Other
Kuuk Thaayorre	 OV and NRel
Kuvi	 OV and RelN
Kwangali	 VO and NRel
Kwaza	 OV and NRel
Kwoma	 OV and RelN
Kwomtari	 OV and RelN
Kyirong	 OV and RelN
Kyuquot	 VO and NRel
Labu	 VO and NRel
Lahu	 OV and RelN
Lai	 Other
Lakhota	 Other
Lalo	 Other
Lamaholot	 VO and NRel
Lamang	 VO and NRel
Lamani	 OV and RelN
Lamen	 VO and NRel
Lampung	 VO and NRel
Lango	 VO and NRel
Lao	 VO and NRel
Latvian	 VO and NRel
Lavukaleve	 Other
Lega	 VO and NRel
Leko	 Other
Lele	 VO and NRel
Lenakel	 VO and NRel
Lendu	 Other
Lese	 Other
Leti	 VO and NRel
Lewo	 VO and NRel
Lezgian	 OV and RelN
Limbu	 OV and RelN
Limilngan	 Other
Linda	 VO and NRel
Lisu	 OV and RelN
Lithuanian	 VO and NRel
Logoti	 Other
Lokono	 Other
Longgu	 VO and NRel
Loniu	 VO and NRel
Luganda	 Other
Lugbara	 Other
Luiseño	 Other
Lunda	 VO and NRel
Luo	 VO and NRel
Luvale	 VO and NRel
Ma'anyan	 VO and NRel
Maasai	 VO and NRel
Maba	 OV and NRel
Macushi	 Other
Ma'di	 Other
Maidu (Northeast)	 OV and RelN
Maipure	 VO and NRel
Maisin	 Other
Maithili	 Other
Majang	 VO and NRel
Makah	 Other
Makasae	 OV and NRel
Malagasy	 VO and NRel
Malayalam	 OV and RelN
Maleu	 VO and NRel
Malgwa	 VO and NRel
Mam	 VO and NRel
Mamanwa	 VO and NRel
Manadonese	 VO and NRel
Manam	 OV and NRel
Manange	 OV and RelN
Mandarin	 VO and RelN
Mangap-Mbula	 VO and NRel
Mangarrayi	 OV and NRel
Manggarai	 VO and NRel
Mangghuer	 OV and RelN
Mango	 Other
Maninka (Western)	 OV and NRel
Mansi	 OV and RelN
Maori	 VO and NRel
Mara	 Other
Marathi	 OV and RelN
Margi	 VO and NRel
Maricopa	 Other
Marquesan	 VO and NRel
Martuthunira	 Other
Maru	 OV and RelN
Masa	 VO and NRel
Masakin	 VO and NRel
Masalit	 OV and NRel
Massachusett	 Other
Mauka	 Other
Maung	 VO and NRel
Maybrat	 VO and NRel
Mayogo	 VO and NRel
Mazatec (Huautla)	 Other
Mbara	 VO and NRel
Mbay	 VO and NRel
Mbodomo	 VO and NRel
Mbum	 VO and NRel
Me'en	 VO and NRel
Mehri	 VO and NRel
Meithei	 OV and RelN
Mekens	 Other
Menomini	 Other
Meyah	 VO and NRel
Mian	 Other
Mina	 VO and NRel
Minangkabau	 Other
Mising	 OV and RelN
Miwok (Southern Sierra)	 Other
Mixe (Ayutla)	 Other
Mixe (Coatlán)	 Other
Mixtec (Chalcatongo)	 VO and NRel
Mixtec (Ocotepec)	 VO and NRel
Mixtec (Peñoles)	 VO and NRel
Mixtec (Yosondúa)	 VO and NRel
Miya	 VO and NRel
Mocoví	 VO and NRel
Mofu-Gudur	 VO and NRel
Mohawk	 Other
Mokilese	 VO and NRel
Mondunga	 VO and NRel
Mongo	 VO and NRel
Mono-Alu	 Other
Mono (in United States)	 OV and NRel
Moro	 VO and NRel
Moru	 Other
Mosetén	 VO and NRel
Motuna	 OV and NRel
Mpur	 VO and NRel
Mufian	 VO and NRel
Mumuye	 VO and NRel
Muna	 VO and NRel
Mundang	 VO and NRel
Mundani	 Other
Mundari	 OV and RelN
Mupun	 VO and NRel
Murle	 VO and NRel
Murrinh-Patha	 Other
Mursi	 VO and NRel
Muruwari	 Other
Musgu	 VO and NRel
Musom	 VO and NRel
Mussau	 VO and NRel
Mutsun	 VO and NRel
Mwotlap	 VO and NRel
Nadroga	 VO and NRel
Naga (Mao)	 OV and RelN
Naga (Tangkhul)	 OV and RelN
Nahuatl (Huasteca)	 VO and NRel
Nahuatl (Michoacán)	 VO and NRel
Nahuatl (North Puebla)	 Other
Nahuatl (Tetelcingo)	 VO and NRel
Nai	 OV and NRel
Nalik	 VO and NRel
Nama	 OV and RelN
Namia	 Other
Nandi	 VO and NRel
Nanerge	 Other
Nara (in Ethiopia)	 OV and NRel
Nar-Phu	 OV and RelN
Natchez	 OV and NRel
Navajo	 Other
Ncàm	 VO and NRel
Ndonga	 VO and NRel
Ndut	 VO and NRel
Ndyuka	 VO and NRel
Nehan	 VO and NRel
Neo-Aramaic (Arbel Jewish)	 OV and NRel
Newar (Dolakha)	 OV and RelN
Newari (Kathmandu)	 OV and RelN
Neyo	 Other
Nez Perce	 Other
Ngalakan	 Other
Ngambay	 VO and NRel
Ngankikurungkurr	 Other
Ngiti	 Other
Ngiyambaa	 Other
Ngizim	 VO and NRel
Ngoni	 VO and NRel
Nhanda	 Other
Nias	 VO and NRel
Niuafo'ou	 VO and NRel
Niuean	 VO and NRel
Nivkh	 OV and RelN
Nkonya	 VO and NRel
Nkore-Kiga	 VO and NRel
Nocte	 OV and RelN
Noni	 VO and NRel
Noon	 VO and NRel
Norwegian	 VO and NRel
Nuaulu	 VO and NRel
Nubian (Dongolese)	 OV and NRel
Nubian (Kunuz)	 OV and NRel
Nuer	 Other
Nunggubuyu	 Other
Nung (in Vietnam)	 VO and NRel
Nupe	 VO and NRel
Nzakara	 VO and NRel
Obolo	 VO and NRel
Ogbronuagum	 VO and NRel
Ojibwa (Eastern)	 VO and NRel
Olo	 VO and NRel
Oneida	 Other
O'odham	 VO and NRel
Oriya	 Other
Oromo (Harar)	 OV and NRel
Oromo (Waata)	 OV and NRel
Osage	 Other
Otomí (Mezquital)	 VO and NRel
Pa'a	 VO and NRel
Paamese	 VO and NRel
Paiute (Northern)	 OV and NRel
Paiwan	 VO and NRel
Palauan	 VO and NRel
Palaung	 VO and NRel
Panará	 Other
Panjabi	 Other
Panyjima	 Other
Pare	 VO and NRel
Päri	 OV and NRel
Pashto	 OV and NRel
Patep	 VO and NRel
Pattani	 OV and NRel
Paulohi	 VO and NRel
Paumarí	 Other
Pero	 VO and NRel
Persian	 OV and NRel
Pilagá	 VO and NRel
Pima Bajo	 OV and NRel
Pipil	 VO and NRel
Pitjantjatjara	 Other
Pitta Pitta	 Other
Podoko	 VO and NRel
Pohnpeian	 VO and NRel
Poko-Rawo	 Other
Pokot	 VO and NRel
Polish	 VO and NRel
Port Sandwich	 VO and NRel
Portuguese	 VO and NRel
Puluwat	 VO and NRel
Purépecha	 VO and NRel
Purki	 OV and RelN
Qafar	 OV and RelN
Quechua (Huallaga)	 OV and RelN
Quechua (Imbabura)	 OV and RelN
Raga	 VO and NRel
Rapanui	 VO and NRel
Rawang	 OV and RelN
Resígaro	 Other
Retuarã	 Other
rGyalrong (Caodeng)	 Other
Ritharngu	 Other
Romanian	 VO and NRel
Romani (Welsh)	 VO and NRel
Romansch (Sursilvan)	 VO and NRel
Ron	 VO and NRel
Rotuman	 VO and NRel
Roviana	 VO and NRel
Rukai (Tanan)	 Other
Rumu	 OV and RelN
Runga	 OV and NRel
Runyankore	 VO and NRel
Russian	 VO and NRel
Sahu	 VO and NRel
Sakao	 VO and NRel
Saliba (in Papua New Guinea)	 OV and NRel
Samba Leko	 VO and NRel
Samoan	 VO and NRel
Sandawe	 OV and NRel
Sango	 VO and NRel
Sangu	 VO and NRel
Santali	 Other
Sanuma	 Other
Sarcee	 OV and NRel
Sardinian	 VO and NRel
Sare	 OV and RelN
Savosavo	 OV and RelN
Sedang	 VO and NRel
Seediq	 VO and NRel
Semelai	 VO and NRel
Seneca	 Other
Seri	 Other
Sesotho	 VO and NRel
Shabo	 OV and NRel
Shatt	 VO and NRel
Shekhawati	 Other
Shona	 VO and NRel
Siar	 VO and NRel
Sidaama	 OV and RelN
Sikaritai	 OV and NRel
Sikkimese	 OV and RelN
Sinaugoro	 OV and RelN
Sinhala	 OV and NRel
Sio	 VO and NRel
Sipakapense	 VO and NRel
Siroi	 OV and NRel
Sisiqa	 VO and NRel
Slave	 Other
So	 VO and NRel
Sobei	 VO and NRel
Somali	 OV and NRel
Sougb	 VO and NRel
Southeast Ambrym	 VO and NRel
Southern Toussian	 Other
Spanish	 VO and NRel
Squamish	 Other
Sre	 VO and NRel
Sudest	 VO and NRel
Sulka	 VO and NRel
Sundanese	 VO and NRel
Supyire	 Other
Swahili	 VO and NRel
Swati	 VO and NRel
Swedish	 VO and NRel
Taba	 VO and NRel
Tagalog	 VO and NRel
Tahitian	 VO and NRel
Taiof	 VO and NRel
Tajik	 OV and NRel
Takia	 OV and NRel
Talysh (Southern)	 OV and NRel
Tamabo	 VO and NRel
Tamang (Eastern)	 OV and RelN
Tamashek	 VO and NRel
Tamil	 OV and RelN
Tapieté	 OV and NRel
Tarahumara (Central)	 OV and NRel
Tarahumara (Western)	 Other
Tariana	 OV and NRel
Tatana'	 VO and NRel
Tatar	 OV and RelN
Tauya	 Other
Tawala	 OV and NRel
Tboli	 VO and NRel
Telugu	 OV and RelN
Temiar	 VO and NRel
Temne	 VO and NRel
Tennet	 VO and NRel
Tenyer	 OV and NRel
Teop	 VO and NRel
Tepehua (Huehuetla)	 VO and NRel
Tepehuan (Northern)	 VO and NRel
Tepehua (Tlachichilco)	 VO and NRel
Tera	 VO and NRel
Teribe	 OV and NRel
Teso	 VO and NRel
Tetun	 VO and NRel
Tetun Dili	 VO and NRel
Thai	 VO and NRel
Thulung	 OV and RelN
Tibetan (Drokpa)	 Other
Tibetan (Modern Literary)	 OV and RelN
Tibetan (Shigatse)	 Other
Tibetan (Standard Spoken)	 OV and RelN
Ticuna	 Other
Tidore	 VO and NRel
Tigak	 VO and NRel
Tigré	 OV and RelN
Tiipay (Jamul)	 Other
Tikar	 Other
Timugon	 VO and NRel
Tinrin	 VO and NRel
Tirmaga	 VO and NRel
Tiwa (Northern)	 Other
Tiwi	 VO and NRel
Tlapanec	 VO and NRel
Tlingit	 OV and RelN
Tobati	 OV and NRel
Tokelauan	 VO and NRel
Tolai	 VO and NRel
Tondano	 VO and NRel
Tonga (in Zambia)	 VO and NRel
Tongan	 VO and NRel
Totonac (Xicotepec de Juárez)	 VO and NRel
Trique (Copala)	 VO and NRel
Trumai	 Other
Tsafiki	 OV and RelN
Tshangla	 OV and RelN
Tsimshian (Coast)	 VO and NRel
Tsova-Tush	 OV and RelN
Tuareg (Air)	 VO and NRel
Tubu	 OV and NRel
Tucano	 OV and RelN
Tugun	 VO and NRel
Tukang Besi	 Other
Tümpisa Shoshone	 Other
Tunen	 OV and NRel
Tungak	 VO and NRel
Tunica	 OV and NRel
Turkana	 VO and NRel
Turkish	 OV and RelN
Turkmen	 OV and RelN
Tuscarora	 Other
Tuvaluan	 OV and NRel
Tzutujil	 VO and NRel
Ubykh	 OV and RelN
Udihe	 Other
Ukrainian	 VO and NRel
Uldeme	 VO and NRel
Ulithian	 VO and NRel
Una	 OV and RelN
Ungarinjin	 OV and NRel
Urak Lawoi'	 VO and NRel
Urarina	 OV and RelN
Urat	 VO and NRel
Urdu	 Other
Ute	 OV and NRel
Uyghur	 OV and RelN
Uzbek	 OV and RelN
Vafsi	 OV and NRel
Vai	 Other
Vietnamese	 VO and NRel
Vinmavis	 VO and NRel
Wahgi	 OV and NRel
Wakhi	 OV and NRel
Walman	 VO and NRel
Wambon	 Other
Wangkumara	 Other
Waorani	 Other
Wappo	 Other
Wardaman	 Other
Wari'	 VO and NRel
Warlpiri	 Other
Warrgamay	 Other
Warrwa	 Other
Welsh	 VO and NRel
West Makian	 VO and NRel
Wichí	 VO and NRel
Wichita	 OV and NRel
Wikchamni	 Other
Wintu	 Other
Wiyot	 Other
Woleaian	 VO and NRel
Wolio	 VO and NRel
Wolof	 VO and NRel
Xasonga	 Other
Xhosa	 VO and NRel
!Xóõ	 VO and NRel
Yagaria	 OV and RelN
Yagua	 VO and NRel
Yakut	 OV and RelN
Yale (Kosarek)	 OV and RelN
Yapese	 VO and NRel
Yaqui	 OV and NRel
Yareba	 OV and RelN
Yawuru	 Other
Yidiny	 Other
Yoruba	 VO and NRel
Yuchi	 OV and NRel
Yukaghir (Kolyma)	 OV and RelN
Yukulta	 OV and NRel
Yulu	 VO and NRel
Yup'ik (Central)	 Other
Yurok	 Other
Yuwaalaraay	 Other
Zapotec (Isthmus)	 VO and NRel
Zapotec (Zoogocho)	 VO and NRel
Zarma	 Other
Zayse	 OV and RelN
Zhuang (Northern)	 VO and NRel
Zoque (Chimalapa)	 VO and NRel
Zulu	 VO and NRel
