Language	Value	Reference
Arrernte (Western)	 Postpositions	Strehlow 1944: 199-207
Asmat	 No adpositions	Voorhoeve 1965: passim
Asuriní	 Postpositions	Harrison 1970: 37
Atakapa	 Postpositions	Gatschet and Swanton 1932: passim
Atayal	 Prepositions	Egerod 1965: passim
Au	 Prepositions	Scorza 1985: 242-243
Avar	 Postpositions	Bokarev 1949b: passim
Avokaya	 Postpositions	Kilpatrick 1981: passim
Awa Pit	 Postpositions	Curnow 1997: 86, 104, 133ff., passim
Awtuw	 Postpositions	Feldman 1986: 107, passim
Ayiwo	 Prepositions	Wurm et al. 1985: passim
Aymara (Central)	 Postpositions	Ebbing 1965: passim; Wexler 1967: 2
Babole	 Prepositions	Leitch 1994: 192
Babungo	 Prepositions	Schaub 1985: 67
Bachamal	 Postpositions	Ford 1990: 73, 90, 91
Bafia	 Prepositions	Guarisma 1973: 226
Bafut	 Prepositions	Chumbow and Tamanji 1994: 212
Baga Sitemu	 Postpositions	Ganong 1998: 33
Bagirmi	 Prepositions	Stevenson 1969: 62-66
Bagiro	 No dominant order	Boyeldieu 2000: 136-147
Bai	 No dominant order	Fitzgerald 1941: passim; Xu and Zhao 1984: passim
Bajau (Sama)	 Prepositions	Verheijen 1986: passim
Bajau (West Coast)	 Prepositions	Miller 2007: 105 
Baka (in Cameroon)	 Prepositions	Kilian-Hatz 1995: 31
Baka (in South Sudan)	 Prepositions	Santandrea 1976: 81-83
Bali-Vitu	 Prepositions	Ross 2002c: 381
Balti	 Postpositions	Read 1934: 68
Bambara	 Postpositions	Bird et al. 1977: 27
Bankon	 Prepositions	Spellenberg 1969: 74-75
Banoni	 Prepositions	Lincoln 1976: 76, 91, 204, 213
Bao'an	 Postpositions	
Baoulé	 Postpositions	Carteron 1972: 81
Barai	 Postpositions	Olson 1975: 486
Barambu	 Prepositions	Santandrea 1965b: 58-63
Barasano	 Postpositions	Jones and Jones 1991: 3, 37; Garcia and Sanchez 1975: 105; Smith 1973: 21-22, 25
Baré	 Postpositions	Aikhenvald 1996: 25, 40
Bari	 Prepositions	Mitterrutzner 1867: 89 ; Spagnolo 1933: 55, 209
Baruya	 Postpositions	Lloyd 1992: 656-657; Lloyd 1989: 4, 6-11, 26ff
Basaá	 Prepositions	Schürle 1912: 85
Bashkir	 Postpositions	Poppe 1964: 40, 86
Basque	 Postpositions	Lafitte 1962: 45; Saltarelli et al. 1988: 80, passim; Rebuschi 1984: 110; Arotcarena 1976: 61
Batak (Karo)	 Prepositions	Woollams 1996: 152
Batak (Toba)	 Prepositions	van der Tuuk 1864: 296-307 ; Nababan 1981: 80; Percival 1981: 88
Bauzi	 Postpositions	Briley 1997: 26
Bawm	 Postpositions	Reichle 1981: passim 115-116, 119
Beja	 Postpositions	Hudson 1974: 122; Reinisch 1893: 76-80
Bella Coola	 Prepositions	Davis and Saunders 1997: 40
Bena-Lulua	 Prepositions	DeClercq 1897: 65
Benga	 Prepositions	Mackey and Nassau 1892: 57
Bera	 Prepositions	Meinhof 1938/39: 279
Berber (Ayt Seghrouchen Middle Atlas)	 Prepositions	Bentolila 1981: 213
Berber (Figuig)	 Prepositions	Kossmann 1997: 213, 285
Berber (Middle Atlas)	 Prepositions	Penchoen 1973b: 28; Abdel-Massih 1971: 145-147
Berber (Mzab)	 Prepositions	Lounis 1897: 152
Berber (Rif)	 Prepositions	Kossmann 2000: 97 
Berber (Siwa)	 Prepositions	Vycichl 1991: 82, 142; Basset 1890: 18
Beria	 Postpositions	Crass and Jakobi 2004: 157-163
Betoi	 Postpositions	Zamponi 2003b: 34
Betta Kurumba	 Postpositions	Coelho 2003: 192
Bhojpuri	 Postpositions	Shukla 1981: 97, 99
Biak	 Prepositions	van den Heuvel 2006: 110ff
Bidiya	 Prepositions	Alio 1986: 150
Bikol	 Prepositions	Mintz 1971a: 115
Bilin	 Postpositions	Reinisch 1882: 102
Biloxi	 Postpositions	Einaudi 1976: 129-133
Bilua	 Postpositions	Obata 2003
Bimoba	 No dominant order	Jacobs 1970: 143-149
Binandere	 Postpositions	Wilson 1996: 13, 39
Bini	 Prepositions	Dunn 1968: 211-212
Bininj Gun-Wok	 No dominant order	Evans 2004
Birom	 Prepositions	Bouquiaux 1970: 288-293
Blackfoot	 No adpositions	Uhlenbeck 1938: 26
Boazi (Kuni)	 Postpositions	Boelaars 1950: 59
Bobangi	 Prepositions	Whitehead 1899: 27
Bobo Madaré (Northern)	 Postpositions	Prost 1983: 82-84
Boko	 Postpositions	
Bolia	 Prepositions	Mamet 1960: passim
Bongo	 Prepositions	Santandrea 1963: 30-31
Bongu	 Postpositions	Hanke 1909: 72
Bontok	 Prepositions	Seidenadel 1909: 196-207; Waterman 1932: 66
Bori	 Postpositions	Megu 1988: 3, passim
Brahui	 Postpositions	Bray 1909: 203-209
Brao	 Prepositions	Keller 1976: 38
Breton	 Prepositions	Press 1986: 187; Ternes 1970: 224-225, 310-312
Bribri	 Postpositions	Margery Peña 1982: lxxiff
Budu	 Prepositions	Asangama 1983: 400-403
Buduma	 Prepositions	Lukas and Nachtigal 1939: 66, 70
Bulgarian	 Prepositions	Scatton 1984: 355
Buma	 Prepositions	Tryon 2002: 582
Bunuba	 Inpositions	Rumsey 2000: 35, 115
Bunu (Younuo)	 No adpositions	Mao and Tsu-yao 1972: 247
Burarra	 Postpositions	Glasgow 1984: passim; Glasgow and Garner 1980: 59, passim
Buriat	 Postpositions	Poppe 1960: 40, 80
Burmese	 Postpositions	Wheatley 1982: 46-48; Stewart 1955: 15, 17, 19
Buru	 Prepositions	Grimes 1991: 249
Burunge	 No dominant order	Kiessling 1994: 84, 192
Burushaski	 Postpositions	Lorimer 1935: 63; Tiffou and Pesot 1989: 22
Busa	 Postpositions	Wedekind 1972: 25, 87
Bushoong	 Prepositions	Edmiston 1932: 173
Bwele	 Prepositions	Twilingiyimana 1984: 77
Byansi	 Postpositions	Trivedi 1991: 42-43, passim
Cahuilla	 Postpositions	Seiler 1977: 206-209, 201
Cakchiquel	 Prepositions	García Matzar and Rodríguez Guaján 1997: 206
Campa (Axininca)	 No adpositions	Payne 1981: passim
Camsá	 Postpositions	Adelaar 2004: 154 
Canamarí	 Postpositions	
Canela	 Postpositions	Popjes and Popjes 1986: 178
Cantonese	 No dominant order	Matthews and Yip 1994: 60, 62 
Carib	 Postpositions	Hoff 1968: passim
Carib (De'kwana)	 Postpositions	Hall 1988: 48, 296
Cashibo	 Postpositions	Abreu 1914: 14
Catalan	 Prepositions	Hualde 1992: 236
Catawba	 Postpositions	Voorhis 2003: 257
Cavineña	 Postpositions	Guillaume 2004: 75-76 
Cayuvava	 Prepositions	Key 1967: 51, 65-66
Cebuano	 Prepositions	Wolff 1966: passim
Cèmuhî	 Prepositions	Lynch 2002c: 761
Chácobo	 Postpositions	Prost 1967: 318-320
Chaha	 No dominant order	Leslau 1950: 17, 22, passim
Chai	 Postpositions	Last and Lucassen 1998: 406
Chaldean (Modern)	 Prepositions	Sara 1974: 87
Chamorro	 Prepositions	Topping 1973: 119 
Chang	 Postpositions	Hutton 1987: 9-10, 46
Chantyal	 Postpositions	Noonan 2003b: 318
Chatino (Sierra Occidental)	 Prepositions	Pride 1965: 36-38
Chatino (Yaitepec)	 Prepositions	Rasch 2002: 69, 82
Chechen	 Postpositions	Desheriev 1967: 205; Nichols 1994a: 28, 58
Chemehuevi	 Postpositions	Press 1979: 82-83, 128
Cherokee	 Postpositions	Foley 1980: 27, 45; Scancarelli 1987: 174; Scancarelli 1986: 226
Chichewa	 Prepositions	Price 1966: 81-83
Chimariko	 Postpositions	Dixon 1910: 335
Chinantec (Comaltepec)	 Prepositions	Anderson 1989: 99, passim
Chinantec (Lealao)	 Prepositions	Rupp 1989: 105, 109
Chinantec (Palantla)	 Prepositions	Merrifield 1968: passim
Chinantec (Quiotepec)	 Prepositions	Robbins 1968: 127, 131-133
Chin (Mara)	 Postpositions	Lorrain 1951: 9ff., 53
Chinook (Lower)	 Prepositions	Boas 1911b: passim
Chin (Siyin)	 Postpositions	Naylor 1925: 3, 19
Chin (Tiddim)	 Postpositions	Henderson 1965: 104, passim
Chipewyan	 Postpositions	Richardson 1968: 10
Chiquitano	 Prepositions	Adam and Henry 1880: 27, 29; Adelaar 2004: 482 
Chitimacha	 Postpositions	Swadesh 1946b: 328
Choctaw	 Postpositions	Broadwell 1986: 2; Nicklas 1979: 39, 42; Davies 1981c: 36
Cholón	 Postpositions	Adelaar 2004: 471 
Chontal Maya	 Prepositions	Knowles 1984: 232, 304
Chrau	 Prepositions	Thomas 1971: 58, 98, 169, 224
Chuj	 Prepositions	Buenrostro 1991: 42
Chukchi	 Postpositions	Dunn 1999: 77
Chumash (Barbareño)	 Prepositions	Kroeber 1904: 38
Chuvash	 Postpositions	Krueger 1961: 168
Cocama	 Postpositions	Faust 1972: 11
Coeur d'Alene	 Prepositions	Doak 1997: 48-49
Comanche	 Postpositions	Wistrand-Robinson and Armagost 1990: 289
Comox	 Prepositions	Hagège 1981: 53, 147-149
Coos (Hanis)	 Postpositions	Frachtenberg 1913: passim
Coptic	 Prepositions	Lambdin 1983: 3, 57 ; Plumley 1948: 122
Cora	 Postpositions	Casad 1984: 238
Cornish	 Prepositions	Jenner 1904: 81, 149
Cree (Plains)	 No adpositions	Wolfart 1973: passim
Cubeo	 Postpositions	Morse and Maxwell 1999a: 134-136
Cuica	 Prepositions	Adelaar 2004: 128 
Cupeño	 Postpositions	Hill 2005: 192
Czech	 Prepositions	Harkins 1953: 28-29, 57-58
Daga	 Postpositions	Murane 1974: 18, 20-21
Dagaare	 Postpositions	Bodomo 1997: 101
Dagbani	 Postpositions	Olawsky 1999: 19
Dagur	 Postpositions	Martin 1961: 35
Dan	 Postpositions	Doneux 1968: 38-39
Dani (Lower Grand Valley)	 Postpositions	Bromley 1981: 78, 80-88
Danish	 Prepositions	Bredsdorff 1958: 68, 140-161; Allan et al. 1995: 378 ; Koefoed 1958: 196
Dargwa	 Postpositions	Isaev 2004: 324, 327
Darma	 Postpositions	Sharma 1989a: 50-52
Dâw	 Postpositions	Martins 1994: 145-146, 191
Desano	 Postpositions	Miller 1999: 3, 54, 57
Dhargari	 No adpositions	Klokeid 1969: passim
Dhimal	 Postpositions	Cooper 1999: 30
Didinga	 Prepositions	Rosato 1980: 45
Diegueño (Mesa Grande)	 Postpositions	Couro and Langdon 1975: 85; Langdon 1970: 150-156
Digaro	 Postpositions	Sastry 1984: 82ff., 169
Dimasa	 Postpositions	Dundas 1908: 3, 5, 16
Dime	 Postpositions	Fleming 1990: 519
Ding	 Prepositions	Mertens 1934: 320-335
Dinka	 No dominant order	Nebel 1948: 14-15
Diola-Fogny	 Prepositions	Sapir 1965: 88 
Djingili	 Postpositions	Chadwick 1975: 41
Dla (Menggwa)	 Postpositions	de Sousa 2006: passim
Dla (Proper)	 Postpositions	Voorhoeve 1971: 75
Domaaki	 Postpositions	Lorimer 1939: 68-72
Domari	 Prepositions	Macalister 1914: 42, passim
Dong (Southern)	 Prepositions	Long and Zheng 1998: 141
Donno So	 Postpositions	Kervran and Prost 1969: 32, 99-105
Doyayo	 No dominant order	Wiering and Wiering 1994: 198-207, 213
Drehu	 Prepositions	Tryon 1967a: 66, 83
Duka	 Prepositions	Bendor-Samuel et al. 1973: 155
Dulong	 Postpositions	Sun 1982: passim
Dumi	 Postpositions	van Driem 1993: 62ff., passim
Duna	 Postpositions	
Dutch	 Prepositions	Shetter 1958: passim
Dyirbal	 No adpositions	Dixon 1972: passim 
Edolo	 Postpositions	Gossner 1994: 102
Efate (South)	 Prepositions	Thieberger 2004: 87, 280
Eipo	 Postpositions	Heeschen 1998: 156
Emai	 Prepositions	Schaefer and Egbokhare 2007: 10, 16, passim
Emberá (Northern)	 Postpositions	Loewen 1958: 82, 114
Émérillon	 Postpositions	Rose 2003b: 310-311, 556
Emmi	 Postpositions	Ford 1998: 103
Enets	 Postpositions	Künnap 1999a: 30
Engenni	 Prepositions	Thomas 1978: 166
Enggano	 Prepositions	Kähler 1940: 182, 186
English	 Prepositions	
Epena Pedee	 Postpositions	Harms 1994: 9, 15, 29, 35
Erromangan	 Prepositions	Crowley 1998a: 151 
Ese Ejja	 Postpositions	Shoemaker and Shoemaker 1967: 252
Esmeraldeño	 Prepositions	Adelaar 2004: 158 
Estonian	 Postpositions	Tauli 1973: 113; de Sivers 1969: 166-172, 179-188; Tauli 1983: 23
Eudeve	 Postpositions	Shaul 1991: 91-92
Even	 Postpositions	Benzing 1955: 70
Evenki	 Postpositions	Nedjalkov 1997: 79 ; Konstantinova 1968: 82, passim, 83
Ewe	 Postpositions	Warburton et al. 1968: 48; Ameka 1991: 51
Ewondo	 Prepositions	Redden 1979: 155
Fasu	 Postpositions	Loeweke and May 1980: 49
Fijian	 Prepositions	Dixon 1988: 8 
Finnish	 Postpositions	Neuvonen 1935: 68; Sulkala and Karjalainen 1992: 83
Folopa	 Postpositions	
Fongbe	 No dominant order	Lefebvre and Brousseau 2002: 299, 322
Fore	 Postpositions	Scott 1978: passim 104
French	 Prepositions	
Frisian	 Prepositions	Tiersma 1985: 93
Fulfulde (Adamawa)	 Prepositions	Arnott 1970: 24
Fulniô	 Postpositions	Lapenda 1968: 133-134, 154, 210
Fur	 Postpositions	Beaton 1968: 157-158
Futuna-Aniwa	 Prepositions	Dougherty 1983: passim; Capell 1958: 144
Fyem	 Prepositions	Nettle 1998: 24
Gaagudju	 Postpositions	Harvey 2002: 259, 263
Ga'anda	 Prepositions	Newman 1971: 81, 116-117
Gaelic (Scots)	 Prepositions	Calder 1923: 288-307
Gamo	 Postpositions	Taylor 1994: 57
Gapapaiwa	 Postpositions	McGuckin 2002: 313-315
Garífuna	 Prepositions	Taylor 1958: passim
Garo	 Postpositions	Burling 1961: 69-70, passim
Garrwa	 Prepositions	Furby and Furby 1977: 33-34
Gavião	 Postpositions	Moore 1984: 40-41
Gbeya Bossangoa	 Prepositions	Samarin 1966: 73, 123, 126-127
Gela	 Prepositions	Crowley 2002a: 534
Gelao	 Prepositions	Edmondson 2008: 667
Georgian	 Postpositions	Vogt 1971: 75
German	 Prepositions	Lederer 1969: 356-357
Gimira	 Postpositions	Breeze 1990: 38, 40
Gitksan	 Prepositions	Rigsby 1986: 421, passim
Giziga	 Prepositions	Lukas 1970: 45
Goajiro	 Prepositions	Ehrman 1972a: 117, passim; Holmer 1949b: 154ff
Goemai	 Prepositions	Hellwig 2003: 36
Gokana	 Prepositions	
Golin	 Postpositions	Bunn 1974: passim
Gondi	 Postpositions	Subrahmanyam 1968: 42; Lincoln 1969: 91-95, 176-178
Gooniyandi	 Inpositions	McGregor 1990: 173ff., 276ff. 
Great Andamanese	 Postpositions	Radcliffe-Brown 1948: 503
Grebo	 Postpositions	Innes 1966: 42ff
Greek (Modern)	 Prepositions	Mackridge 1985: 203
Greenlandic (West)	 Postpositions	Fortescue 1984: 106
Guahibo	 Postpositions	Queixalós 2000: 90
Guajajara	 Postpositions	Bendor-Samuel 1972: 136, 139
Guaraní	 Postpositions	Gregores and Suarez 1967: 160ff
Guarijío	 Postpositions	Miller 1996a: 82
Guató	 Prepositions	Rodrigues 1999b: 189
Gude	 Prepositions	Hoskison 1983: 75
Gujarati	 Postpositions	Cardona 1965: 145-147
Gula (in Central African Republic)	 No dominant order	Nougayrol 1999: 150ff
Gumawana	 Postpositions	Olson 1988: 7-8, 37, 87
Gumuz	 Prepositions	Uzar 1989: passim; Bender 1979: 54
Gunbalang	 Prepositions	Harris 1969b: 28; Coleman 1982: 54
Gungbe	 No dominant order	Hazoume 1979: passim
Gunin	 Postpositions	McGregor 1993: 36
Gününa Küne	 Prepositions	Casamiquela 1983: passim
Gurung	 Postpositions	Glover 1974: 95, 129-130
Gwari	 No dominant order	Hyman and Magaji 1970: 93-97
Gworok	 Prepositions	Adwiraah 1989: passim
Gyarong (Cogtse)	 Postpositions	Lin 1993: 336
Haida	 Postpositions	Enrico 2003: 34, 961, passim
Halia	 Prepositions	Allen and Allen 1965: passim
Halkomelem (Upriver)	 Prepositions	Galloway 1993: 339
Hamtai	 Postpositions	Oates and Oates 1968: 76
Hanga Hundi	 Postpositions	Wendel 1993: 129
Hani	 Postpositions	Li 1990: 125-127
Hatam	 Prepositions	Reesink 1999: 63
Hausa	 Prepositions	Migeod 1914: 44; Newman 2000: 466
Hawaiian	 Prepositions	Elbert and Pukui 1979: passim 
Hawrami	 Prepositions	MacKenzie 1966: 54-55
Haya	 Prepositions	Trithart 1977: 89ff
Hayu	 Postpositions	Michailovsky 1988: 128
Hdi	 Prepositions	Frajzyngier and Shay 2002: 225
Hebrew (Modern)	 Prepositions	Glinert 1989: 150, 199, 497 
Hehe	 Prepositions	Velten 1899a: 190
Heiltsuk	 Prepositions	Rath 1981: 85
Hemba	 Prepositions	Vandermeiren 1912: 185-186
Hidatsa	 Postpositions	Matthews 1965: 29, 171
Hiligaynon	 Prepositions	Wolfenden 1975: 26-27
Hindi	 Postpositions	McGregor 1977: 3, 30-32, 49-52
Hixkaryana	 Postpositions	Derbyshire 1979: 41; Derbyshire 1985: 15
Hlai (Baoding)	 Prepositions	Ostapirat 2008: 647
Hmar	 Postpositions	Dutta Baruah and Bapui 1996: 45, 58, 85-89
Hmong Njua	 Prepositions	Harriehausen 1990: 64-68, 74-77, 82-90; Lyman 1979: passim
Ho	 Postpositions	Deeney 1975: ix 5, 94, passim
Err:509	 No dominant order	Anonymous 6: passim
Hoava	 Prepositions	Davis 2003: 219
Hopi	 Postpositions	Kalectaca 1978: 113
Hua	 Postpositions	Haiman 1980: 271, 336 
Hualapai	 Postpositions	Watahomigie et al. 1982: passim
Huastec	 Prepositions	Edmonson 1988: 522-527
Huave (San Mateo del Mar)	 Prepositions	Stairs and Hollenbach 1981: 340
Huitoto (Murui)	 Postpositions	Burtch and Wise 1968: 27-28
Hungarian	 Postpositions	Kiefer 1967: 24; Kenesei et al. 1998: 86 ; Benkö and Imre 1972: 132
Hunzib	 Postpositions	van den Berg 1995: 64ff
Hup	 Postpositions	Epps 2008: 179, 184
Hupa	 Postpositions	Golla 1970: passim; Goddard 1911: 103, 150
Iaai	 Prepositions	Tryon 1968: 77-78, passim
Iau	 Postpositions	Bateman 1986: passim
Iban	 Prepositions	Omar 1981: 144-149, 207-209
Icelandic	 Prepositions	Jonsson 1927: 39
Idu	 Postpositions	Pulu 1978: passim
Iduna	 Postpositions	Huckett 1974: 98
Ifugao (Batad)	 Prepositions	Newell 1993: passim
Ifumu	 Prepositions	Makouta Mboukou 1977: passim
Igbo	 Prepositions	Emenanjo 1978: 83
Ignaciano	 Prepositions	Ott and Ott 1967b: passim
Ik	 Prepositions	Serzisko 1989: 394-395
Ika	 Postpositions	Frank 1990: 33, 35
Ila	 Prepositions	Smith 1907: 220, 224
Ilocano	 Prepositions	Rubino 1998b: 20
Imonda	 Postpositions	Seiler 1985: 33, 39-41, 70-74, passim
Inanwatan	 Postpositions	de Vries 1996: 47, 54-56
Indonesian	 Prepositions	Sneddon 1996a: 129, 189 ; Macdonald 1976: 112-115 
Ingessana	 Prepositions	Bender 1989: 176-177
Ingush	 Postpositions	Nichols 1994b
Innamincka	 Postpositions	Breen 2004: 77-84, 101
Iquito	 Postpositions	Eastman and Eastman 1963: 175
Iraqw	 Prepositions	Tucker and Bryan 1966: 590; Nordbustad 1988: 194; Whiteley 1958: 60
Irarutu	 Prepositions	Matsumura 1991a: 91-92
Irish	 Prepositions	Stenson 1981: 31; Ó Dochartaigh 1992: 58
I'saka	 No dominant order	Donohue and San Roque 2002: 49, 50
Italian	 Prepositions	Sauer 1891: 21, 285-287
Itelmen	 No adpositions	Volodin 1976: 343
Iwaidja	 No dominant order	Capell 1962b: 159-160
Iwoyo	 Prepositions	Mingas 1994: passim
Ixil	 Prepositions	Elliot 1960: passim
Izere	 Prepositions	Lukas and Willms 1961: 11, 35
Izi	 Prepositions	Meier et al. 1975: 175
Jabêm	 No dominant order	Dempwolff 1939: 36, 73, 75
Jabutí	 Postpositions	Aikhenvald and Dixon 1999: 358
Jakaltek	 Prepositions	Craig 1977: 9
Jamsay	 Postpositions	Heath 2008: 16
Japanese	 Postpositions	Hinds 1986: 80, 350
Jeli	 Postpositions	Tröbs 1998: 123-136
Jingpho	 Postpositions	Hertz 1917: 8, 14-15
Jino	 Postpositions	Gai 1986: 94, 97
Johari	 Postpositions	Sharma 1989a: 223
Jugli	 Postpositions	Rekhung 1988a: passim
Ju|'hoan	 Postpositions	Dickens 1992: 48; Snyman 1970: passim
Jukun	 Prepositions	Welmers 1968b: passim; Shimuzu 1980: 296
Jur Mödö	 Prepositions	Persson 1981: 113; Persson and Persson 1991: 12
Kabardian	 Postpositions	Colarusso 1989: 294
Kabatei	 Postpositions	Stilo 2005: passim
Kabiyé	 Prepositions	Lebikaza 1999: 503-504
Kabyle	 Prepositions	Chaker 1983: 280
Kachari	 Postpositions	Endle 1884: 34, 40
Kadazan	 Prepositions	Antonissen 1958: 21
Kadiwéu	 No adpositions	Sandalo 1997: 121
Kagulu	 Prepositions	Last 1886: 88
Kaingang	 Postpositions	Wiesemann 1972: 105, 138, passim; Henry 1948: 202
Kairiru	 No dominant order	Wivell 1981: 57, 141, 143-144
Kalam	 Postpositions	Pawley 1966: 80, 115-119
Kalmyk	 Postpositions	Street 1959: 94-96
Kaluli	 Postpositions	Schieffelin and Feld 1998: xix, xx
Kamaiurá	 Postpositions	Seki 2000: 71
Kamasau	 Postpositions	Sanders and Sanders 1994: 5
Kamass	 Postpositions	Künnap 1999b: 26
Kambera	 Prepositions	Klamer 1998: 122ff
Kambot	 Postpositions	Laycock and Z'graggen 1975: 759
Kami	 Prepositions	Velten 1899b: 24
Kamu	 Postpositions	Harvey 1990: 32, passim 94, passim
Kana	 Prepositions	Ikoro 1996: 235
Kanakuru	 Prepositions	Newman 1974: 91
Kanashi	 Postpositions	Sharma 1992: 346ff
Kannada	 Postpositions	Bright 1958: passim; Schiffman 1983: 34, passim; Sridhar 1990: 92
Kanum (Bädi)	 Postpositions	Boelaars 1950: 43
Kanuri	 Postpositions	Hutchison 1981: 257; Lukas 1937: 142-142, 24; Hutchison 1976: 3, passim
Kanyok	 Prepositions	Mukash Kalel 1982: 251
Kapampangan	 Prepositions	Mirikitani 1972: 32, 90
Karachay-Balkar	 Postpositions	Seegmiller 1996: passim
Karadjeri	 Postpositions	Capell 1962b: 62
Kara (in Central African Republic)	 Prepositions	Boyeldieu 1987: 80-84; Santandrea 1970: 134-136
Karajá	 Postpositions	Maia 1998: 31
Karakalpak	 Postpositions	Wurm 1951: 564
Karen (Bwe)	 Prepositions	Henderson 1997: passim
Karen (Pwo)	 Prepositions	Kato 2003: 635
Karen (Sgaw)	 Prepositions	Jones 1961: 21, 33, 56
Karimojong	 Prepositions	Novelli 1985: 19, 163
Karkar-Yuri	 Postpositions	Rigden n.d. (a): 9, 14, 88ff
Karó (Arára)	 Postpositions	Gabas 1999: 69, 139, 148, 164
Karok	 Postpositions	Bright 1957: passim
Kashmiri	 Postpositions	Wali and Koul 1997: 96 
Kati (in West Papua, Indonesia)	 Postpositions	Boelaars 1950: 89
Katu	 Prepositions	Costello 1969: 30
Kaulong	 Prepositions	Ross 2002i: 404
Kawaiisu	 Postpositions	Zigmond et al. 1990-1991: 56
Kayabí	 Postpositions	Gomes 2007: 67; Dobson 1997: 97-98
Kayah Li (Eastern)	 No dominant order	Solnit 1986: 307, 311
Kayardild	 No adpositions	Evans 1995: passim
Kele	 Prepositions	Ross 2002k: 143
Kemant	 Postpositions	Appleyard 1975: 328
Kenga	 No dominant order	Vandame 1968: 56, 59-60
Kera	 Prepositions	Ebert 1979: 192, 196-197, 201-205
Keresan (Santa Ana)	 Postpositions	Davis 1964: 123; Davis 1960: 25, 108
